,V1,V2,V3,V4,V5,cl_k3
reader and writer,0.735856528812987,-0.520411872444669,2.91873002695055,-1.54896147797668,-0.0987180306627018,2
reviewer and writer,2.07703461587805,-0.571909968220309,1.33684278550565,-0.677666402715977,-0.574115731526729,2
sugar daddy and sugar baby,1.28361871541493,0.435090178559621,0.713839871926141,-2.6903472383854,-1.22547461395372,2
director and performer,0.818370312219934,-0.906592146459933,-0.13444246153416,0.35660883754171,-0.204884419726366,2
psychologist and client,1.93081317882319,-0.480678226974377,1.59607437412835,-0.211630968078569,-0.769255605860042,2
judge and contestant,1.01380639414621,0.45738525819212,1.0741322505954,0.0173813431538317,0.45723631787475,2
man and god,-0.0252503755068165,1.2837286752302,2.97558097646782,0.792996340534418,-1.65546824205171,1
university student and administrator,0.922778989844881,-0.222807185275205,1.28034852122761,0.0973666370340079,0.866741396487484,2
student and dorm resident assistant,0.132372965300236,0.247757016468624,0.579400699307561,0.529177581967987,0.242770140325785,2
athletic trainer and trainee,1.38626179208743,-0.311234734874714,1.23360720804544,-0.342175456217783,-0.329182482571268,2
researcher and research subject,1.54755712257601,0.29299370394864,1.33279679207692,-0.127391341604552,-0.187942116477047,2
peers,-1.09975188453815,-0.454090274352555,0.826988179633335,0.300007786976946,1.19689143052312,0
classmates,-0.493388687148033,-0.771222574694401,0.461803380346014,0.556406869026571,1.19644476124468,0
bride and bridesmaid,-0.273902664660491,-0.93935052412865,-0.0984834301376762,0.660018255288956,-1.08895543483077,0
guest and host,0.478608662808743,-0.0902824197889082,0.594072433702025,-0.404940449179773,0.230355821903325,2
television host and guest,0.544869111328035,0.18780413167427,0.455762552277852,0.186615135996312,0.791294360598393,2
volunteer and organizer,0.450597901103359,-0.896073580971866,0.0340486172409462,0.952349127966392,0.361437807388022,2
bully and victim,-0.319029911479415,2.47231025778419,0.706666451809737,0.500591004027772,-0.748402582382516,1
a person and their social media follower,0.440942888210838,-0.312177496605671,1.03892036705818,-0.198183242555505,0.245508778671476,2
childhood friends,-1.05169852283739,-0.710520119778579,0.998824258974082,0.228336813366933,-0.103049935163956,0
pen friends,-0.554439820254644,-0.600698726955244,1.62516884902745,0.344916511160201,-0.355773169454822,0
friends with benefits,-0.577260589692783,-0.327795680422314,0.597474868129114,-0.469922972559811,-0.442807652670627,0
life partners,-1.38068536639054,-0.660215728329104,-1.26351285338549,-0.478378540626401,-1.54828318188879,0
soul mates,-1.4173348481155,-0.787233412501034,-1.05671920154432,-0.792540369958558,-1.31748264639259,0
church members,-0.864180952648597,-0.490250619006354,0.593175236887736,0.133018741382836,0.873086292219978,0
fans of the same sports team,-1.2580182054986,-0.781593012283206,0.630458080855522,0.0668854953621636,1.6333599980025,0
fans of opposing sports teams,-0.834582395383744,0.941321418983387,1.94640742045954,-0.123694032765234,0.434216590405183,1
superior and subordinate,0.852659604181158,1.37768208205795,0.445773433727595,0.424148691306149,-0.335038865270908,1
a monarch and their minister,0.74453427873335,0.760714342453802,-1.45413398652492,-1.09818391751513,0.42296882682689,2
cousins,-0.754010440736237,-0.503492921558742,0.560635264309608,-0.353488512676652,-0.256552621776496,0
parent and infant,-0.526012808493996,-0.497710762879861,-1.99970524517105,0.720012031441656,-2.22354706780189,0
step parent and step child,-0.76402414942959,-0.228686204632994,-0.96694167788194,0.842615112735688,-1.62138588128267,0
bride and groom,-0.776028783600724,-0.499522476482346,-1.04235005047036,-2.05726996333516,-1.57597108800014,0
man wife and man mistress,-0.834828090201368,2.50580234902063,-0.01815956594185,0.827655570953617,-1.22677077927791,1
brother and sister,-0.947553913846269,-0.423441828673768,-0.307507084540343,-1.06264802943501,-1.09632038832848,0
close relatives,-0.903220729598725,-0.727580310164717,-0.0606054486086925,-0.464344518075826,-0.902881731038662,0
a person and their deceased spouse,-0.468176687333253,0.0407941741795129,2.92405356007195,1.51653278234733,-2.81891020970829,0
foreman and laborer,1.26854263777973,-0.48558383141188,-0.682695490071335,0.263236161622091,0.473567396977389,2
owner and manager,1.67426661219649,-0.775225927913343,-0.139740733431559,0.889594444854947,-0.411191550722034,2
chief and deputy,1.0299514396824,-0.901509997685901,-0.350462668491547,1.25076641467654,0.137772664356706,2
supervisor and subordinate,1.10520156956618,-0.318375344801324,-1.36907319165672,0.88093317397621,0.800440928106569,2
boss and secretary,1.68477678258893,-0.621644395918775,-1.09673678930768,0.831275535299935,-0.240374751806247,2
intern and employee,0.901607549776882,-0.722551035500109,-1.02772468153065,1.02701288274406,0.503711036685326,2
lawyer and client,1.41092533163545,-0.655829829509547,-1.19029092308674,-0.455951780871941,0.623748490117322,2
judge and lawyer,0.488352694585754,0.453460128809187,-1.6434574071415,0.572078127551438,0.472294502145426,1
victim and criminal,0.0090755414917466,2.5652200862961,-1.07443861274671,0.208898561731652,-0.250989726277585,1
criminal and hostage,-0.483794765171152,2.27660838806506,-1.17004674974338,1.2312521815157,0.106300242924773,1
defendant and plaintiff,-0.230944121507526,1.76782229068338,-1.85642659740291,-1.7906057550346,1.19039879934176,1
police officer and offender,0.0057371153312173,2.30635734825048,-1.27570925507172,1.36696796912158,-0.0158508792580193,1
