,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
刑案中的施害者-受害者,3.0,38.66666666666666,58.77777777777778,59.333333333333336,15.666666666666666,86.22222222222223,22.11111111111111,3.888888888888889,15.555555555555555,37.888888888888886,4.666666666666667,51.0,31.55555555555556,12.555555555555555,12.333333333333334,2.0,2.2222222222222223,18.444444444444443,23.33333333333333,67.66666666666667,2.7777777777777777,2.111111111111111,52.888888888888886,12.333333333333334,7.444444444444445,3.2222222222222223,17.555555555555557,79.33333333333333,60.11111111111112,37.333333333333336,96.33333333333331,2.7777777777777777,9.666666666666666,15.666666666666666,14.666666666666666
刑案中的受害者-旁观（目击）者,53.25,55.0,43.0,65.5,23.75,51.125,13.75,14.125,15.0,53.75,15.125,60.625,7.75,31.125,23.0,16.5,4.375,23.5,18.25,81.75,11.75,7.5,34.625,31.5,4.875,37.625,18.875,42.625,65.875,14.5,42.75,31.5,8.875,55.0,12.75
房东-租户,57.375,30.0,61.25,97.625,94.0,40.0,58.375,22.0,3.875,32.25,68.125,54.625,36.0,52.875,12.25,74.375,10.75,31.25,25.375,76.625,14.625,13.0,87.875,34.0,5.625,34.5,33.875,78.875,73.125,95.25,32.5,74.375,61.0,63.25,6.875
夫妻之间,89.88888888888889,18.22222222222222,40.77777777777778,62.22222222222222,30.55555555555556,34.22222222222222,55.333333333333336,94.44444444444444,94.11111111111111,91.55555555555556,26.0,58.77777777777778,92.22222222222224,90.44444444444444,91.66666666666669,55.55555555555556,79.66666666666667,11.77777777777778,88.0,77.11111111111111,91.55555555555556,98.0,23.444444444444443,94.55555555555556,98.77777777777776,92.11111111111111,2.2222222222222223,84.77777777777777,58.77777777777778,8.88888888888889,20.11111111111111,57.77777777777778,7.0,73.0,5.0
伙计-顾客,60.3,20.0,81.0,90.7,89.2,23.5,49.7,17.0,7.9,5.3,94.1,50.5,8.0,39.2,7.2,52.4,6.6,48.1,33.7,52.1,12.8,9.0,63.8,42.6,2.5,27.2,32.7,75.8,89.7,91.8,31.9,56.3,92.1,55.1,13.7
父母-子女,91.0,19.625,25.375,42.875,25.125,27.375,86.875,93.5,79.375,86.0,70.375,69.5,93.25,89.75,83.875,44.375,94.125,90.125,93.25,69.5,88.875,80.0,19.375,84.0,49.625,71.125,18.625,90.75,55.25,10.5,18.125,18.0,12.375,86.25,20.25
义父母-义子女,77.125,14.875,34.0,34.125,24.125,27.25,63.125,75.375,69.75,79.0,40.75,32.25,82.5,80.75,78.5,47.0,73.5,83.25,70.5,43.0,73.25,69.0,26.875,65.875,38.875,75.625,8.75,70.875,65.125,13.625,11.25,39.375,7.5,83.0,4.5
婆婆-儿媳,50.875,11.625,55.875,57.125,23.375,55.125,63.25,83.125,51.875,77.5,62.25,44.0,88.75,45.875,48.125,39.0,48.875,91.5,56.0,57.75,55.5,45.75,47.75,57.0,39.25,57.375,4.125,90.5,48.25,25.125,58.375,22.5,16.625,55.5,96.625
主人-家丁,48.77777777777778,3.2222222222222223,65.55555555555556,59.55555555555556,61.22222222222222,56.11111111111112,53.44444444444444,61.44444444444444,16.555555555555557,38.55555555555556,91.88888888888889,43.55555555555556,73.11111111111111,66.55555555555556,25.666666666666668,51.55555555555556,28.0,67.88888888888889,51.11111111111112,69.22222222222223,38.77777777777778,34.22222222222222,55.0,50.333333333333336,6.555555555555555,61.77777777777778,40.888888888888886,83.88888888888889,70.0,78.66666666666667,27.11111111111111,41.66666666666666,70.0,64.33333333333333,6.444444444444445
店主-伙计,71.625,12.375,58.5,90.875,84.875,45.875,82.625,60.75,7.625,34.25,90.0,60.125,48.0,63.5,11.875,71.875,14.5,42.625,29.875,79.75,15.75,22.875,80.5,45.875,4.625,74.875,47.875,76.75,81.875,94.5,30.0,43.25,96.875,60.875,4.875
官员-行贿者,65.8,9.8,31.1,83.8,90.4,68.1,57.2,30.5,5.5,42.3,71.3,49.7,15.3,30.2,14.5,66.7,11.8,62.6,41.8,45.3,19.4,12.2,83.0,68.2,2.5,56.1,75.3,48.9,9.1,93.9,61.2,51.7,57.4,5.1,5.5
状元-榜眼-探花,37.25,24.875,78.25,51.625,27.25,18.0,47.25,42.875,39.75,70.5,21.875,80.375,60.375,37.625,13.25,71.75,10.375,8.375,23.625,77.875,9.25,16.375,76.25,43.25,5.375,42.75,97.375,39.875,94.5,16.25,46.625,50.125,72.0,79.625,16.875
绿林好汉的头领-属下(喽啰),59.4,18.9,45.9,56.5,39.3,52.0,66.9,51.5,35.4,32.2,44.8,44.2,45.0,60.4,36.1,47.2,27.4,51.8,45.3,51.2,41.2,32.8,58.6,49.9,5.8,78.2,78.9,78.5,69.6,37.4,45.4,32.0,65.7,36.8,5.6
继父母-子女,67.25,14.125,55.0,40.375,29.25,26.0,51.0,71.125,59.375,81.125,41.25,28.375,81.375,55.125,59.125,36.5,54.75,83.875,55.875,48.375,64.25,66.25,39.375,59.625,26.875,66.25,15.125,78.625,68.375,11.5,46.75,39.25,10.125,62.25,10.5
继祖父母-继孙,70.44444444444444,5.444444444444445,41.22222222222222,32.22222222222222,24.55555555555556,21.444444444444443,35.44444444444444,68.88888888888889,76.44444444444444,81.77777777777777,25.55555555555556,29.77777777777778,67.77777777777777,81.0,77.44444444444444,47.55555555555556,78.66666666666667,85.22222222222223,71.33333333333333,37.888888888888886,74.88888888888889,78.55555555555556,19.11111111111111,67.0,21.0,76.0,3.888888888888889,81.33333333333333,67.0,15.555555555555555,16.0,38.66666666666666,6.888888888888889,77.22222222222223,8.666666666666666
养父母-子女,73.66666666666667,10.22222222222222,46.66666666666666,48.77777777777778,38.0,15.333333333333334,41.888888888888886,82.66666666666667,74.66666666666667,80.22222222222223,32.55555555555556,37.77777777777778,86.22222222222223,81.77777777777777,81.33333333333333,47.11111111111112,76.77777777777777,87.0,79.11111111111111,43.55555555555556,75.33333333333333,73.11111111111111,12.22222222222222,76.88888888888889,41.0,74.66666666666667,5.666666666666667,81.11111111111111,61.22222222222222,35.22222222222222,22.11111111111111,47.55555555555556,8.333333333333334,85.55555555555556,11.555555555555555
师生之间,95.55555555555556,8.666666666666666,61.55555555555556,27.88888888888889,17.22222222222222,13.555555555555555,95.77777777777776,85.66666666666667,82.55555555555556,58.44444444444444,54.888888888888886,76.33333333333333,88.66666666666667,92.22222222222224,76.0,34.22222222222222,85.55555555555556,88.88888888888889,83.0,83.77777777777777,82.77777777777777,60.888888888888886,10.11111111111111,90.77777777777776,2.555555555555556,87.33333333333333,36.11111111111112,90.0,88.77777777777777,11.11111111111111,7.888888888888889,35.77777777777778,85.55555555555556,91.55555555555556,13.0
家庭私塾教师-学生,74.0,21.1,75.1,33.4,32.1,32.9,70.3,66.7,27.9,48.4,65.5,63.5,40.3,64.5,20.1,52.3,39.7,79.2,62.7,59.7,56.7,45.0,52.8,83.0,6.1,66.2,51.9,88.4,80.3,48.5,23.4,55.8,77.5,82.1,10.9
小人之交,39.2,56.4,13.8,65.2,72.9,59.0,63.7,32.9,11.1,20.7,44.4,22.4,11.2,19.2,20.6,69.9,4.6,18.1,25.0,51.9,21.5,16.9,73.3,39.9,2.9,42.4,51.2,45.3,28.3,50.8,59.9,52.5,20.8,11.7,16.8
佛教徒之间,71.25,50.875,55.25,17.375,7.25,12.75,65.875,60.25,65.875,24.125,45.625,33.25,55.625,56.5,51.375,27.5,33.875,26.25,37.5,60.5,44.875,33.875,32.75,66.125,6.25,70.75,52.25,58.5,77.0,14.75,17.5,58.25,35.625,68.5,12.125
发小之间,96.0,88.66666666666667,2.0,45.11111111111112,11.0,1.4444444444444444,90.44444444444444,85.77777777777777,88.77777777777777,85.88888888888889,4.666666666666667,19.444444444444443,79.33333333333333,91.0,92.11111111111111,63.333333333333336,83.11111111111111,1.6666666666666667,78.77777777777777,50.55555555555556,80.11111111111111,87.66666666666667,8.88888888888889,84.22222222222223,23.22222222222222,82.66666666666667,12.444444444444445,90.11111111111111,61.44444444444444,8.222222222222221,8.222222222222221,72.11111111111111,3.333333333333333,82.0,16.333333333333332
土籍人士-客籍人士,48.125,38.0,29.75,63.875,44.125,39.625,51.0,36.875,32.625,19.5,34.875,66.5,57.25,34.125,41.25,70.75,15.75,27.75,17.75,36.875,16.5,11.875,70.25,36.0,9.25,24.75,25.25,58.875,86.625,37.0,60.375,52.5,21.5,59.0,9.25
外公外婆-外孙/外孙女,95.5,11.0,37.0,30.0,7.125,12.75,66.125,78.125,80.5,83.75,39.625,47.375,95.625,88.875,88.25,30.25,91.375,95.75,82.875,54.0,87.125,92.625,10.875,70.125,45.875,83.25,8.25,74.5,66.0,4.25,9.625,44.375,4.875,91.75,4.0
门当户对的订婚男女之间,78.25,63.625,72.625,40.0,46.25,25.875,66.5,61.875,44.5,73.875,45.375,43.875,81.625,72.75,68.625,68.375,66.375,5.5,81.25,82.875,79.125,73.5,52.25,66.375,91.75,83.5,4.375,62.25,71.25,30.75,17.25,66.0,12.875,92.375,4.5
同门师兄弟之间,78.88888888888889,54.44444444444444,35.888888888888886,29.11111111111111,8.222222222222221,17.333333333333332,74.77777777777777,81.0,82.11111111111111,64.44444444444444,17.333333333333332,47.44444444444444,78.77777777777777,77.0,75.22222222222223,29.666666666666668,66.88888888888889,37.888888888888886,67.11111111111111,85.88888888888889,72.88888888888889,66.44444444444444,13.88888888888889,84.44444444444444,2.333333333333333,85.77777777777777,87.55555555555556,72.44444444444444,82.44444444444444,5.888888888888889,15.11111111111111,60.77777777777778,26.77777777777778,75.11111111111111,7.111111111111111
学府书院的负责人与教师之间,74.22222222222223,26.0,83.55555555555556,72.44444444444444,48.888888888888886,24.77777777777778,42.77777777777778,36.44444444444444,38.44444444444444,34.55555555555556,61.11111111111112,51.888888888888886,54.22222222222222,64.77777777777777,10.555555555555555,49.22222222222222,5.555555555555555,35.333333333333336,31.77777777777778,66.55555555555556,25.11111111111111,18.33333333333333,62.55555555555556,67.44444444444444,2.6666666666666665,65.22222222222223,69.22222222222223,75.11111111111111,88.22222222222223,52.66666666666666,14.88888888888889,53.888888888888886,93.11111111111111,73.33333333333333,9.0
同父同母的子女之间,74.875,52.125,21.875,40.875,19.875,15.625,80.125,85.0,71.125,84.0,63.375,56.5,90.625,78.0,75.375,36.625,80.375,10.375,75.875,73.375,77.75,73.125,25.625,80.625,39.625,65.0,19.125,82.25,52.75,10.25,28.875,70.625,13.5,80.875,25.0
戏班-剧作者,72.125,44.125,72.375,63.625,58.5,30.375,66.375,41.75,23.5,34.75,74.125,47.25,41.625,70.75,27.5,70.0,27.75,32.125,44.5,69.625,30.5,21.5,78.125,63.0,6.0,68.5,43.625,64.0,76.25,70.875,31.625,76.25,91.375,67.625,11.375
戏子-观众,76.44444444444444,23.55555555555556,62.66666666666666,79.66666666666667,68.11111111111111,12.77777777777778,57.77777777777778,13.88888888888889,7.666666666666667,4.555555555555555,94.33333333333331,32.111111111111114,8.11111111111111,21.77777777777778,25.0,42.11111111111112,10.11111111111111,29.33333333333333,18.33333333333333,85.11111111111111,12.77777777777778,9.22222222222222,50.55555555555556,35.888888888888886,9.22222222222222,28.88888888888889,17.333333333333332,82.44444444444444,79.88888888888889,90.66666666666669,15.555555555555555,28.77777777777778,91.55555555555556,60.0,20.22222222222222
音乐曲艺人-听众,91.55555555555556,48.66666666666666,43.333333333333336,53.55555555555556,44.11111111111112,3.4444444444444446,82.77777777777777,23.22222222222222,21.33333333333333,19.22222222222222,89.55555555555556,26.55555555555556,24.0,46.888888888888886,27.666666666666668,58.11111111111112,21.11111111111111,11.11111111111111,30.11111111111111,94.44444444444444,20.77777777777778,24.22222222222222,46.333333333333336,36.0,14.0,47.22222222222222,6.555555555555555,73.44444444444444,78.66666666666667,71.22222222222223,8.555555555555555,33.333333333333336,82.22222222222223,57.333333333333336,15.333333333333334
祖孙之间,96.33333333333331,5.333333333333333,23.22222222222222,27.55555555555556,7.444444444444445,18.22222222222222,81.11111111111111,68.88888888888889,80.55555555555556,74.44444444444444,62.22222222222222,81.22222222222223,96.55555555555556,93.33333333333331,90.55555555555556,28.55555555555556,86.33333333333333,91.77777777777776,82.77777777777777,38.22222222222222,88.11111111111111,78.66666666666667,12.444444444444445,88.44444444444444,74.66666666666667,73.55555555555556,23.11111111111111,86.88888888888889,85.66666666666667,7.0,6.666666666666667,22.33333333333333,2.0,88.33333333333333,18.33333333333333
大夫-病人,90.66666666666669,60.11111111111112,62.55555555555556,67.88888888888889,62.11111111111112,17.77777777777778,47.888888888888886,26.444444444444443,17.333333333333332,8.777777777777779,88.55555555555556,68.77777777777777,27.77777777777778,79.77777777777777,23.88888888888889,59.11111111111112,42.44444444444444,18.55555555555556,52.66666666666666,79.0,42.333333333333336,24.22222222222222,53.44444444444444,87.22222222222223,2.4444444444444446,47.44444444444444,5.333333333333333,81.22222222222223,74.22222222222223,81.88888888888889,20.77777777777778,52.66666666666666,95.11111111111111,85.55555555555556,18.0
姨父姨妈-侄子侄女,75.0,20.7,25.1,27.5,10.3,8.0,53.0,54.9,67.8,69.4,15.3,32.7,87.6,63.6,78.5,30.3,69.6,76.9,41.8,25.0,55.3,53.9,20.9,59.2,17.1,52.5,14.6,56.8,77.7,23.5,21.1,51.0,6.0,65.2,21.5
行侠仗义之人-受助者,87.0,63.625,21.125,53.75,33.375,15.5,69.375,29.375,77.625,31.625,64.875,33.125,15.25,66.25,52.0,20.0,50.25,26.875,45.875,52.25,30.25,44.75,25.5,48.25,20.125,40.375,42.375,58.5,47.375,41.625,11.375,50.25,15.75,82.75,21.625
嫖客-妓女,73.375,21.0,61.875,82.25,69.875,43.875,54.25,50.0,17.75,21.5,82.5,12.5,16.25,23.875,17.25,65.375,23.375,42.625,24.25,63.75,29.625,55.875,72.0,40.0,57.125,31.125,5.125,72.75,22.75,89.875,35.25,38.125,87.0,23.75,6.25
掌柜-店主,83.22222222222223,34.77777777777778,68.22222222222223,87.0,64.44444444444444,21.11111111111111,60.888888888888886,52.333333333333336,27.22222222222222,20.88888888888889,69.11111111111111,51.888888888888886,48.55555555555556,67.0,12.22222222222222,49.55555555555556,8.88888888888889,31.55555555555556,40.22222222222222,63.22222222222222,27.444444444444443,13.555555555555555,69.0,66.0,7.888888888888889,72.55555555555556,44.77777777777778,66.66666666666667,83.66666666666667,76.11111111111111,25.0,58.77777777777778,91.77777777777776,65.66666666666667,12.11111111111111
掌柜-伙计,69.5,13.375,64.375,81.5,75.875,51.375,55.875,76.875,24.25,28.0,87.0,33.25,44.5,51.875,19.125,74.125,18.375,67.125,40.75,72.25,32.875,26.75,69.625,62.875,11.0,65.125,64.875,82.75,81.625,87.375,27.0,22.625,83.75,63.375,14.75
捐助者-受惠者,71.3,26.1,55.0,89.9,50.5,15.0,53.7,34.3,51.5,28.3,25.7,39.6,19.1,54.1,46.3,35.1,62.0,48.7,53.6,64.2,34.2,33.1,35.3,24.0,3.5,41.7,40.9,41.8,59.1,74.4,8.4,33.0,18.9,89.7,19.9
