"","Valence Evaluation","Equality","Formality and Regulation","Concreteness","Goods Exchange","Coercion","Activeness","Activity Intensity","Communal Sharing","Uniqueness","Service Exchange","Importance for society","Endurance","Trust","Socioemotional","Expected Reciprocity","Love Expression","Generation Gap","Importance for individuals","Synchronicity","Attachment","Intimacy","Strategic","Information Exchange","Mating","Affiliation Coalition","Spatial Distance","Visibility","Money Exchange","Conflict","Negotiation","Occupational","Morality"
"同父异母(或同母异父)的子女之间",-1.13639080180029,0.368484231569929,-0.0693822521521148,-0.245196022352064,-0.611812849928957,-0.564465014856856,-1.49809533708282,0.9750641290084,0.990679781583877,1.39292758386242,-1.36509165654977,-0.960128928973206,1.10527594213553,0.122362803103903,1.07929848486008,-0.0435525325313592,0.684125295027962,-0.659764407080384,0.0858039534788649,-0.725845517615291,0.837626377030802,0.921876628535875,-0.504597868430932,0.426268736485129,0.763201134436866,0.519284417185665,0.0618811271809037,-0.0670297986199718,-0.86760700563339,0.240883634199542,0.0992925219096301,-0.985776481789044,-0.151911772778632
"继子女之间",0.0584475985599038,1.01639589990857,-0.189455710091088,-0.226853552535437,-0.240256688237557,-0.418528360410989,-1.02737320119141,-0.20190441899331,0.770708283391544,1.13947784442349,-0.489385813129727,-1.05599078618882,1.10673405989318,-0.045853126735021,0.426425283908061,0.341401114231254,0.785614654214002,-1.14403986687123,-0.115914971487257,-0.526407961775119,0.33606056045772,0.662754287182891,0.105133667593393,0.126592517710226,-0.0655553661780244,0.24886007889321,0.60203858829232,-0.393329059557936,-0.737332496879978,0.61941024930759,0.704878329646337,-0.972175251765124,0.207104362820006
"同事之间",-0.32385902125892,1.08736494789838,0.354955016680759,-0.396827106169514,0.26703825698197,-0.729173604106964,-0.0266629007218378,1.1945558848679,0.370105277867473,-0.303633937279753,-0.807870186154538,1.4121324975893,0.770880936379601,0.568081445224873,-0.549205667777557,2.15927536528774,-0.0887552095426576,-0.941601156752364,0.366678405963339,0.580614993105832,-0.118946403944022,-0.386717159459156,1.17574726882236,0.542506784979637,-0.741646195627014,0.614856070879384,0.424104365808559,0.794240755709155,-0.240722151481633,0.274908498478917,1.48271965602815,1.1712185855338,0.621535140038137
"同学之间",0.274081032626652,1.40146680633962,-0.837852382961539,-1.34721160893502,-1.00016381026028,-0.925370600125475,0.435475879290797,0.816044591599986,0.596171704221306,-0.0139770922066995,-1.0553895784388,-0.0551929968577662,0.572188089936255,0.442080213702214,0.955296722876102,0.164823079424502,0.996400246369625,-0.99165872870903,0.463197081453458,1.16447566382633,0.850324245804804,0.85250038644217,-1.09161607779685,0.735752540601756,-0.472845567467053,0.563594911170934,0.899442931586607,0.820823180225486,-0.911880748457858,-0.490650947807025,0.482022752399229,-0.714391939194122,0.473448353072
"搭讪的人-被搭讪的人",0.0584475985599038,1.01639589990857,-0.74027812636453,-0.639559123409545,-0.147080065646216,-0.576575940537011,-0.628860249676981,-1.15938121113552,-0.331365545083391,-0.505359240098486,-0.880046517917689,-1.79220984960477,-1.39102165897266,-1.25122205074005,0.510303058034879,-0.468422286779023,-0.224399641531693,-0.746523854274184,-1.46602739649785,-0.441863780495046,-1.01150076318325,-0.687901443997695,0.487180642697241,-1.23557211308479,0.52943182546408,-1.0902291143381,-0.520376841928903,-0.351461740944714,-0.534574426865269,-0.595915371671342,1.00767123351469,-0.99017687973796,-0.89647232985758
"施害者-受害者",-2.21976650918878,-0.19518360282397,0.420237673424278,0.371110963486603,-0.947708822727375,2.33246840783621,-1.62888933142602,-1.74842541308499,-0.977427930202433,-0.225472566387024,-1.44181055464767,0.174875460459718,-0.601693912827859,-1.51908181163005,-1.031870753981,-2.05153570228784,-1.17391066545494,-0.630318776517639,-0.996839390643107,0.470779817425738,-1.36757016672089,-1.22587889017343,0.0511068226292119,-1.73866491672508,-0.436314853295212,-1.88303942338827,0.79268239809635,-0.370069438106145,-0.0996730592974881,2.31640035524143,-2.09158235585783,-0.988976771206437,-1.89216732661636
"受害者-旁观者",-0.335317802779375,0.405245177291271,-0.241914987831416,0.642579516772683,-0.612963178602924,0.802252948148632,-2.03898300118959,-1.33575851495119,-0.999591305335161,0.430853062726918,-1.06174917130744,0.617757240795876,-1.43476519170236,-0.802824811010178,-0.655156540358801,-1.34522356306083,-1.09828157567688,-0.438922177859802,-1.23047586702792,1.20349605518637,-1.025785865554,-1.02439698948213,-0.673845229696273,-0.903203943170806,-0.56240034064205,-0.537977001801102,-1.30678255737052,-0.094276783749211,-0.904828293848651,0.265339005400342,-0.700080744302823,-1.01177883330536,-0.222653868463093
"房东-租户",-0.18062425225323,-0.51377846574226,0.52399046717737,2.05678393963463,2.29621803786008,0.317210374658426,0.149772747897373,-1.01827936808298,-1.44341289236805,-0.458807247140317,0.86429895462391,0.341675092014895,-0.446161352011149,0.0361119600973209,-1.03481383377492,1.47393609609525,-0.874321884011532,-0.145517501895314,-0.903001789472158,0.936856714226138,-0.916266747378236,-0.818760822797198,1.4398172559432,-0.794230772707205,-0.52559700920027,-0.660156672716367,0.766468874248296,0.252623856188909,1.94260025461878,-0.127010210821203,1.37707857623408,0.489556939629105,0.127519505174987
"夫妻之间",1.0386942722643,-0.946740715349168,-0.335175926036443,0.498285420881884,-0.331132653480965,0.0653031205112021,0.000585848099661942,1.90230481192507,2.15647331356541,1.99522991250638,-0.666545900184733,0.532759727398028,1.52132554232023,1.48523326651225,1.76994120983411,0.557218712328395,1.54678484810931,-0.882709895626876,1.97532299746533,0.96214770862616,2.01429555008833,2.35925266233359,-1.11763717047347,1.84534157852225,4.04551306450373,1.59229343820151,1.10406728744293,-0.433867256945341,-1.1026888259403,-0.601231756714995,0.572995198183676,-1.06578371722387,0.541360764929082
"服务员-顾客",-0.070932461880145,-0.881387922955672,1.35284705547455,1.75193209128228,2.09744124299855,-0.40217861074278,-0.275716464950345,-1.21985342958661,-1.28283923953143,-1.57398610067157,1.80824423898366,0.15186861472797,-1.42601648515642,-0.491357481047279,-1.21316446928668,0.403507871301215,-1.02011525191917,0.492401051653281,-0.520374183064899,-0.339110083246958,-0.985787578915898,-0.968314398568058,0.484203653280848,-0.419363066312417,-0.678944223541018,-0.945568383974428,0.590599959704079,1.04571049163365,1.82094541260996,-0.149976994209781,0.501401498246803,1.38531794755739,-0.218409342722025
