,Valence Evaluation,Equality,Formality and Regulation,Concreteness,Goods Exchange,Coercion,Activeness,Activity Intensity,Communal Sharing,Uniqueness,Service Exchange,Importance for society,Endurance,Trust,Socioemotional,Expected Reciprocity,Love Expression,Generation Gap,Importance for individuals,Synchronicity,Attachment,Intimacy,Strategic,Information Exchange,Mating,Affiliation Coalition,Male Evaluation,Spatial Distance,Visibility,Money Exchange,Conflict,Negotiation,Occupational,Morality,Female Evaluation
同乡之间,0.4840892466742667,1.0448856328426084,-0.8504426096192179,-0.7617199723882808,-0.24232727985069816,-0.9297305333703304,-0.09914457258702712,-0.1716683097677662,0.29297673240557687,-0.8829476274258589,-0.6302053695067829,0.0552398626546263,1.0376192781802585,0.03321907467970871,0.775180239487988,0.4229923441074771,0.532671943627254,-0.2799157728209827,0.38965904298479587,-0.937422750767472,0.5684315590219579,0.6506030591515081,-0.6033898135082906,0.4872937119447456,-0.11953358562596784,0.19216871158852644,-0.18258356281671395,-0.7991934137672962,0.495454304145594,-0.4393662896409713,-0.2188773443755157,0.758169880727167,-0.8843273072576879,0.12539724230445376,0.14305473992204593
邻里之间,0.1953279523587961,1.3977907117674842,-0.9217872273460638,-0.6780783100244617,0.16764985955120557,-0.8992110006563397,0.3030469600183082,0.6265649737865806,0.1094639863065831,-0.7257053401004872,-0.6956183247270928,0.25770010509401264,0.08226052336362079,0.05250497746378915,0.8246239800259019,1.2608246747767564,0.5221326640194729,-0.151196302075272,0.10929527132302098,-0.8437738115033917,0.7741370331607916,0.45618341064938933,-0.6073591327301489,0.35216698056988,-0.2618398005341825,0.19216871158852644,-0.6158014573128033,0.9337588173513316,0.9739379454395534,-0.3899991073765204,0.2366305261646196,0.7339464484176987,-1.0485021543699462,0.09144103637591249,0.429308103732074
旅途同行人之间,0.41471153310496545,1.4805028396405018,-1.4432324480849221,0.27939861440346814,-0.19884485597473878,-0.7673230199994522,-0.021894369678075405,-0.3077308012827117,1.169649035780661,-0.9501893950321033,-0.1941190013713831,-1.5046242779579189,-0.9754580980405136,-0.15674706774348351,0.17920658121849262,2.009759098267464,-0.6196226268234869,-0.6992005194412019,-0.9776888597918928,0.7157411631859479,-0.1210627154063556,-0.05229874697153686,-0.23722011529187442,0.4371660535314891,-0.5501325634947898,0.6789325205149452,-0.15916637933043878,-0.24156027009051004,0.3243964023830034,-0.499312153819233,-0.9260628828821544,1.013727091592057,-0.7705570184693686,0.10099121929331473,-0.40287131820136485
卖家-买家,0.32616640317417517,1.0710267498000066,0.8678901768084081,1.4618765019153561,2.5032771991741725,-0.5741537554009801,0.9760910559093504,-1.2780859362432078,-1.487185558255193,-1.3519158527822306,1.4089021852004104,0.7168144932520153,-1.4998944515443557,-0.5590724286002727,-1.392888542035608,1.3365976245788878,-1.1387797334290037,-0.6261122578658186,-0.8844896096493173,0.7598197534259862,-0.808863940664802,-1.146947836294364,1.2595440079504767,-0.3147488226673596,-0.5508141066696375,-0.6015104306770397,-0.6687069459299435,1.2756467162665575,0.9696847575169404,2.0395715054953816,0.07926552887250923,2.080230986328368,0.9952026675771904,0.15463730852069724,-0.017792388314065113
路人之间,0.12615858027168458,1.1037031459967541,-1.4216658561250097,-1.1403085494034624,-1.0535390607323551,-1.1457894475042951,-1.3891003417968215,-1.8559315792202604,0.45432610337184187,-1.7473204349454459,-1.44584839138966,-1.3435763578356796,-1.6593153263814826,-1.8533707932207824,-0.7611074129400445,-0.5577261204743924,-1.1465866072125452,-0.5335688475257654,-1.9518125290903179,-1.6392117153760748,-1.3379418062482222,-1.1967990282179843,-1.4528241269859388,-2.0728493061467934,-0.6980274324367561,-1.930825250235131,-0.772783316980055,-0.41472839732917016,0.6241132388046361,-1.0752626135711594,-1.1924137735691382,-0.15909075605803183,-1.126589216154334,0.40459271327245794,0.1003439205599149
狐朋狗友之间,0.3845020181874017,1.777653817554676,-1.8879705471501453,0.32219771064226443,0.6765552649142869,-0.4917994607759266,1.2649277934172467,0.17324730658287762,0.22382700199146296,-0.03696573070456096,-1.098594431578138,-1.9417543468611393,-0.5900289707666057,0.08807675370998204,0.5220753772105727,0.6492287228024117,0.48114657665587957,-1.1266879774324712,-0.5167994173060061,0.32625984942561326,0.04189326719333789,0.7224718608413939,-0.07679346340844047,0.8234154021746981,-0.45267188949155845,0.6843627281111792,0.5585269293692889,1.1104220811030656,-1.9437489694729457,0.5624740679003052,-0.3205266264101492,1.1651235435262337,-0.8577649050933265,-2.3637812978461006,-0.23589018931218186
普通朋友之间,0.44283763320062824,1.0026105452630658,-1.2438871926716764,-0.24336177537040163,-0.6440220528000383,-0.6637746054341271,0.3091779285031456,0.0651812124989908,0.26205882409542036,-0.6191530006628998,-0.007873781646889488,-1.0789976319205723,0.28872999784780246,0.07950524136150187,0.6559855078340888,0.09784520415297496,0.48261036549029357,-0.5666951819088527,-0.1791117232962637,-0.9751424624155045,0.045596812252421806,0.3636471356411693,-0.6490369845596595,-0.36378674937598016,-0.0839570318989142,-0.26429453895090627,0.0945197751042082,-1.063711699870387,-0.5428551974622979,-0.35826306163508775,-0.5672068924356193,0.7109341877237038,-0.622943669092119,-0.15368032517074348,0.3332087601672788
故旧朋友之间,0.8131646177935212,1.544834494652849,-1.1966738427053814,-1.2558661092482124,-0.5301395140772873,-0.522076774976314,0.9529296194110753,0.8765168100510733,1.2045563516147086,1.0308565275210992,0.36007409146735403,-0.8776877317677734,1.242339011355252,0.9329064395570614,1.044472040631982,0.3353122164792968,1.3037959015965763,-0.7133975198910965,1.4008070719289019,0.006870720145339066,1.2979241200883778,1.2983569842090483,-1.0757388009094127,1.0910050763130965,0.0632562938682044,0.44434755235763507,0.3286916099669593,-0.41313969891413654,-1.8168178924074647,-0.9489061351561959,-0.8112289659392632,1.1954028339130691,-1.000977856521661,0.647473908455773,0.5581221174465866
挚友之间,1.1291144755347995,1.8609786278563833,-1.7233649912182725,-1.6861804511462821,-0.9214813289609227,-1.1564470621028315,1.9510512887426081,1.8601982301887536,2.036347820346017,1.728101933161234,-1.3570159830657824,-0.846628490029913,1.3630711616892228,1.5452338529516154,1.8276255737950078,-0.3076753861273595,1.7833331237506196,-1.071161931228439,1.676574716186385,0.5453521209138014,1.791236321958359,1.9666745259350817,-1.7386151109597272,1.3198487342866592,-0.1293478073437758,1.0210355990776894,-0.25673797718991836,0.40758190229221003,-0.3131830496411976,-0.8871971573256324,-1.0265425602071843,0.6467420921036128,-1.074424498650829,1.2374629864641746,0.5029161115689382
知己之间,1.3762074734122516,1.6183563860955315,-1.8040357027656209,-1.3702008377718542,-1.3388205718762165,-1.3880079611073946,1.657309776446842,1.7679221042559838,2.205232738857409,1.8343094430213538,-0.4081243486970884,0.13908703376588735,1.4318943198506167,1.793807711057541,1.8955126143748424,-0.6497361309484088,1.8902872945851392,-0.6807970003394866,1.3727196266804542,1.2569684433464126,1.8703863706496384,1.873203541078294,-1.774780019425546,1.7920658062955972,-0.7143844686331026,1.0101751838852215,-0.5212654202756187,0.7926823980963497,0.0818317786714824,-1.161459281017026,-1.2264386378485135,0.7560166867441032,-1.1809941362500143,1.0648522729940904,0.018557245185621154
