,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,cl_k3
Religious leader and Congregant,0.3734109285350938,-0.7695289644089028,0.0379340443956899,-0.4449304687913232,-0.9949563221501284,1.487585027774296,0.1533444406117812,-0.5612356932269187,1.3909480276385446,0.6262271355028384,-1.659031629710101,-1.0665836032385572,-0.6239626795680173,-1.536171818345871,0.4532782072012801,-0.1285869676856349,0.4824964875111281,-0.5075478044285615,0.7300043578697326,-0.5960406831032123,-0.2919507096353047,-0.3669791775188281,0.2104832100397078,1.3920938462067538,0.2041135859597815,0.321945816745866,0.0315268044951473,0.4774759013361054,0.457401296115472,-0.3971723090101586,-0.4754250996716051,0.0117869122017617,0.9260843995270934,0
Between religious followers,0.0510079997474731,1.3864421307260786,0.45925459610163,0.2541627852414661,0.0013283891254519,0.9225212250952798,0.4177449313137746,0.4458980093543592,-0.4408302425350716,-0.2239186418965388,-1.4481275659364017,-0.6860426760079646,0.0194719760016718,-2.572052090944151,1.0486024982397553,-0.1363973060521468,-0.7305878739482214,-0.0599833291700274,0.9785539612315828,-0.0613313929413957,0.3110674436945269,-0.5855991395084061,0.1113690168594421,0.728625490562961,0.9328528399671676,0.8192643541501848,0.5845428728855974,0.3745749922349924,-0.2241936555596007,-0.5341344449080287,-0.314887512702779,0.1563676156510761,0.3466032996231752,1
Prostitute and Customer,0.0998569283516581,-0.880432827327369,-1.526970861940658,-0.8467082009940755,-0.0328788112616925,-1.8163762655371287,-3.0761186958197118,-1.7153331120646926,0.1346709764466776,0.3382745334804686,1.3958817788907585,-1.1663976169383847,-0.6752509492148766,2.274844493188543,-1.288267480015752,1.0117224338251167,1.7200876037474342,-1.0621385672489188,-0.1502754873701549,0.2528103150286715,0.7291600300032102,0.5427619546313516,-0.9491528501693972,0.6272622695618261,-1.91316938176438,-0.9452600718324464,-0.1920328827265243,-1.5313288024204033,0.2157449041579464,1.1568211559849055,-1.5563781852617022,-1.219481013947239,0.4084896306808751,0
Guide and Tourist,0.8081663931123395,0.0334150031207918,-1.341775015036948,-0.9792948526209838,-0.3706749150847434,1.6537802638563592,1.9349001279609284,-0.9891594552678912,0.1837991292865831,0.1371647796870677,1.0635481026412927,-1.7340898198561536,-0.9223671575133804,-1.062991940739249,-1.954675268491657,0.8633260048613887,1.5362869429202604,-1.1497055297995014,0.8232104591304265,-1.2042725006622783,0.0859406664513897,-0.9382119814270804,-0.0174794342749027,0.3784616361954037,-0.2193430075850504,-0.9787334349269676,-0.1390845357529706,-1.3165790790789502,-0.2179973378170999,0.9303068543076584,0.5894742272216096,0.0957369980755572,-0.9473836224923696,0
Athlete and Referee,-0.3788625719693543,-0.268243504017436,-0.943603944193972,-1.1962548280104703,-1.0163358223920935,1.8066798810518576,1.7523378843809805,-0.5007212218271855,0.1065977462524456,0.5348136110512924,-0.1187928609385379,-0.8482404482701845,-0.75917720863701,-0.8583736152877373,1.359592799528511,-0.0661042607535389,1.052278536075368,-0.9356529546758549,0.8439229260772473,1.148448376049714,-0.468836034612055,-0.0496276197920213,0.9736624975277508,-0.3587254256310325,-1.105647505702141,-0.7970208924138513,-0.3685273726383699,-0.9183973003833392,0.0422480073679277,0.5615626422749317,0.7928218373821226,-0.0581714926930677,-0.3679025225884516,0
Slave and Master,-2.2693161089513114,-1.789844503258791,-0.9389740480213794,-1.5458014550268648,-1.2985452255860346,1.0421817950743657,-0.8035335257382905,-1.8017823569214544,2.3173646240481887,1.5037969702376794,0.4947462336758605,0.6364930055147499,-0.8710788878665211,2.4027309465957383,1.43956173414562,0.5899641620334689,1.015518403909933,-0.7507893670690691,1.2167473311200232,1.43585461951169,-1.81155645602648,3.0322086185771915,-1.087912720621769,0.5719732399248435,-1.8343867597095276,-0.5244520786441765,-1.5745730537026497,0.231408510007357,-0.6269543088221438,0.4456716042075033,-3.108241525960357,-2.142931958558989,0.4816280219308845,2
Reader and Writer,1.247806750550004,0.8496674342007021,0.0425639405682828,0.4992472018851451,0.3605039931904678,-0.1743673330463402,0.984317411389475,-0.9545797573251864,-0.132024710398523,-0.3656096047964353,0.0473739771861948,-1.5781304234501732,-0.1903436725536616,-0.730487161880542,-0.9150791184692452,2.1910835271684275,1.058405224769607,-0.1280909667093696,0.8128542256570158,-1.0238081152326657,-1.2728602390518304,-0.7830623309828637,0.6168514020787954,-0.8378970158182163,0.3173636051636324,-0.2279737198069865,-0.7273995021257897,0.3969447550830605,-1.2156044943597069,-1.09778631187234,0.8891443895634183,0.3382594683776329,-0.2497558905692064,0
Reviewer and Writer,-0.8506036539183401,0.3052879013609174,0.2806728865873384,0.1376472429026679,-0.5637012601264866,0.1884131251442214,0.7882653468553441,-0.0876173303330867,-0.3375608600348624,0.5792144657849003,-0.651987550305813,-0.364766319411645,-0.8905062627327558,0.3181817560584579,0.4540186602995869,-0.3537850572533973,0.3911067144887277,-1.0524089047432983,0.5686197195757529,0.7318207207986319,-1.3164115501256517,-0.3158503154406203,-0.1091600629666482,0.4118654249344142,-1.376462769015697,-0.2429171854741836,-0.9274265906925484,-0.4055704870913798,-1.881708651678528,-1.844493341238612,0.7078706976111189,-1.1477736489300383,-0.2314712927567039,0
Performer and Audience,0.5436843368125384,0.2368443745312354,0.0961384534225703,0.8918414430661206,-0.5527060885734759,-0.1021911162335582,-0.5472269276088072,0.1291232764149381,1.1874171087303649,-0.5079535214424138,-0.561600094402799,-1.3655057796833532,-0.3628587613658247,-0.2413214775980206,-0.5826156773295992,0.115486106267865,1.263138738635432,-0.8991667202797787,0.3632210890197794,-0.858939417432772,-1.6587918571829228,-0.9822885866669148,-0.75588017346788,1.0546003944643385,0.0859396528775029,-0.2913340142359021,-1.6687034483223009,-0.8585581847647573,0.8369257578436377,-0.1614394020320938,0.7018505380997878,0.0485150747715472,-0.2061541573240085,0
Dealer and Buyer,0.2045332039320541,0.2995842741251104,-0.356268544013635,-0.3375984174743022,-0.7121360760921309,0.7012441393403038,1.0391760166031545,-0.4988687380088262,-0.2022077858841024,1.055217746679022,1.426923935463511,-1.0634644153104376,-0.969381404689668,-0.8679650992932766,-0.4685859001903886,3.719306400882608,1.434686022074128,-1.2340292715148775,0.4115501785623613,-0.2117183807994066,2.0229689789808822,-0.5174273234041292,0.8386194093196394,0.8265331472117847,-0.9333105199571516,-1.4156803710358103,0.8132503160630308,-1.467574978303409,1.0390806241927215,0.0400529709715034,0.2382982557273018,-0.5601230478134701,-0.2821055636220949,0
