"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Manager.and.Staff",62.1108024691358,28.9532106782107,49.1756333173,27.8435425685426,81.9237574154241,29.2938271604938,76.5453503286837,31.4705627705628,60.5592712842713,79.934948693282,71.5632515632516,33.1557789432789,23.4002574585908,74.9622221913888,78.784634655468,48.6529319445986,72.3656770698437,31.6382498674165,18.5705820414154,52.5174248672056,62.934576997077,39.1383212466546,64.6843597760264,56.4814390856057,58.9215221506888,88.8848697598697,62.1202026368693,48.1855502522169,61.1491577866578,58.0680817639151,70.2813302438302,59.8885995177662,53.8452818786152
"Foreman.and.Laborer",57.3156485489819,30.1270482603816,44.9560525893859,27.6842432259099,77.3362794612795,27.3370891454225,75.1895422478756,29.2422558922559,57.5852493185826,79.1609868526535,70.5922799422799,39.4644660894661,21.3902635944303,69.2009743343077,79.5542853751187,47.5532333407333,76.8567406359073,30.7616682700016,15.9318288193288,53.8556953524059,59.7917961667962,43.3712650004317,60.0899307482641,52.8618592826926,56.8222367139034,86.969340690174,59.6722660055993,42.6606097606098,59.5341794008461,57.7864465781132,66.1615002281669,58.0670917045917,50.3645195853529
"Owner.and.Manager",62.169849286516,32.6236451819785,47.5185425685426,27.5076398909732,80.4684383517717,27.799506974507,69.7596240179574,30.7572470739137,60.6166947250281,80.5739017155684,71.5268678852012,44.9340244631911,20.8951542284876,75.3761520886521,80.5802943969611,49.3080535205535,74.6101528101528,31.0275937025937,17.7069071360738,49.9069374907094,64.9076454409788,38.444715007215,61.9137023470357,55.6749159790826,61.3468540718541,88.0925267633601,61.2324923533257,50.5189373897707,59.6559385059385,56.6351148851149,67.797500339167,64.1463835547169,49.8853430520097
"Union.leader.and.union.member",66.4339305755972,44.4260181176848,44.4272607022607,34.1220979637646,70.4707271123938,27.8795374378708,73.9552749719416,42.5573633156966,54.7613997113997,72.4838664421998,62.5275332691999,40.0943598068598,24.6205900580901,66.6459722376389,56.5827471910805,39.5802442927443,66.1674667924668,29.8508042883043,16.5638135013135,42.9632502568906,63.3909709118043,34.3178482011815,65.0593442051775,50.6522916897917,66.4916819291819,74.4902076318743,56.3141767183434,48.5997149455483,55.3742163700497,47.1325424575425,71.5205259246926,63.6698620823621,49.6901835818503
"Manager.and.Assistant",64.3305355138689,31.7376302709636,48.9209636042969,28.0499238415905,76.5592352092352,28.686696328363,72.0680014430015,31.713760622094,59.5942560525894,77.373088023088,70.9281104697771,45.7857161357161,24.4437449895783,76.6344644552978,76.6335594960595,46.2869960286627,75.9769132102466,35.9294265919266,21.1125872584206,45.9976367849175,60.4424413549413,36.3625292916959,58.9599957141624,56.1607827357827,64.2976876518543,87.875928392595,63.4506715506716,49.4656177156177,61.9762629345963,61.9940878565879,68.1749022582356,67.8402649819317,49.2344248344248
"Chief.and.Deputy",75.0462714754381,34.4188825063825,65.4973407765074,31.6795508503842,83.4249287749288,23.990757699091,80.6891411058078,44.5132507924175,67.5893430643431,75.5076412784746,68.2052683427683,60.6300755979678,28.4743831422753,79.7364229543151,59.3126130042797,41.4907464449131,64.4369917936095,43.5190006072359,17.123143885889,39.0212161114122,49.7485876414798,26.6768259155514,67.4470198011865,66.8699935866602,80.1323292448292,90.0743185826519,75.4190375982043,62.1079906204906,77.2095478595479,71.3180776014109,80.2510942760943,77.0685646143979,49.2988876863877
"Supervisor.and.Subordinate",72.5726888851889,27.4717674301008,56.3343691802025,26.9114299280966,83.7575495492162,23.7374765666432,81.1782200823868,35.8954605579606,63.3991910866911,75.9479492729493,69.5971583971584,46.2013942847276,26.3818504933701,77.2889366171229,62.8754225349814,42.7288104324869,66.2258327275484,40.9793928838046,19.1954870655851,43.4231940898608,46.8803623935977,34.9158570550727,62.3715107423441,69.1388267596601,71.8643217893218,90.6338524130191,73.6152697611031,62.1559163059163,73.6491923200256,67.7772767356101,75.7209355459355,70.090087381754,57.6565736732403
"Boss.and.Secretary",80.0848053181386,27.0875078625079,65.3062096853763,31.3442187442187,80.7486854195187,29.9382526424193,74.1917910792911,38.181822652656,62.362796000296,69.5113761238761,69.4149111690778,59.9702319467025,29.472565107369,79.1141824134471,68.9623143559418,44.3760520797286,73.908974667308,47.3436119617492,20.4137441987932,35.0740747088786,45.0792153471075,28.2069691836849,55.730765993266,66.5933561808562,72.8504509379509,90.6566498316498,75.4758116883117,63.3497174122174,72.9724266474266,73.1479437229437,76.7789381914382,77.2557980599647,56.5912898829565
"Entrepreneur.and.Investor",75.8437173937174,58.3450981117648,54.1647150688817,33.1529171445838,77.2433099308099,24.9091117216117,67.8608326858327,37.3858086358086,78.9610431235431,84.6388401721735,77.4684210850878,49.1336352282431,28.045115197076,75.4433845656885,89.8558496877124,60.0790926847299,69.64621818813,40.0242614411732,17.3761945026651,40.9033413391256,75.9064076446429,29.5064555179751,71.6685746352413,67.7430295013628,73.5921476671477,82.6792247875581,65.8399270482604,59.2927308802309,63.8684724226391,43.8164321789322,76.472735289402,71.6746372454706,45.8036155202822
"Intern.and.Employee",72.3024013024013,41.7386466928134,49.8501518543185,31.6511446886447,74.70808666642,26.5303212219879,81.0793060334727,44.0248547748548,61.0563396480063,62.50382996633,60.1005104463438,42.8793311082527,27.4356297841592,71.6193449433646,49.5644038151391,39.7558708448414,61.3464533016004,37.9880551728591,16.8789590674395,36.8730800336192,42.0507771186693,27.8712697796031,52.3721941638608,55.2910092993426,63.3287738496072,85.86857663941,65.8102673561007,42.3592171717172,63.6535553952221,62.5367424242424,74.1013628346962,61.0770282186949,61.3292428250762
