,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,cl_k3
Police officer and Offender,-2.3020543966029217,-1.3254155681254411,-0.8946872652364863,-1.0861531181701607,1.1195248445701185,-1.0731915323296803,0.700887906147192,-1.0135295578305634,-1.6261904697738343,0.4585851574224678,0.1873237166515507,-0.7462789511438063,-1.120982500501309,-0.4316146076106352,-0.8510801574867397,-1.2442027118192165,-0.360922771023563,-1.3146703130520032,-0.4137407668306572,2.2550506802204056,-1.330397825354247,2.4788914405331672,1.290710118045233,-0.9937386662695962,-1.922537279124422,0.926314295671661,-0.572696012335493,-1.4404100591781832,0.0635125051079476,0.2910285090571808,2
Police officer and Civilian,-0.3516455110772395,-0.8668092662307326,-0.8900910499985601,-0.6410654472844447,0.569220824918044,-0.6092473553121139,1.4294608403350852,-0.251259241671713,-0.745749772481335,0.4441042081825978,-0.6106800279109547,-1.946346310059629,-0.5943679493014492,-0.3999833355583642,-0.6686961559239857,-0.5654063635395572,0.7829792233248765,-0.9246106759187568,-0.3548627438469818,0.7970202894940053,-1.2912014365291815,1.3535448336271814,1.64632279949985,-0.3222490024770326,-0.7631608703597319,1.0318537234184852,-1.3425867144451964,-0.8210019968432363,-0.8872950098498656,-0.4597726855572354,2
Parole officer and Parolee,-0.2854647809830763,-1.1830923307358312,-0.1489218799647567,-1.1506312396315477,1.17223064340765,-0.9798663452764358,-0.6483212312377963,-1.0828332393853086,-1.2261924444740635,0.6991258512000087,-0.0215382190755275,0.0695381141500292,-1.3272366932464938,0.43315686484449,-0.470354604984985,-1.4671650159986669,0.3475776637389787,-1.1507996553326187,-0.8699319998231522,1.2026394174908857,-1.1726755916445637,1.8804376526686144,1.40884790733897,-0.0627451973896625,-0.7490142364419963,1.2505377980746442,0.4028324407137603,-0.8088578855258955,0.0309198089741958,-0.122002518851549,0
Consultant and Client,0.6788306784942779,-0.5205438127697357,-0.7787750942838314,-1.1430447712978993,1.0903023009315238,-0.8653971705314404,-0.8268955722645877,-1.0553111444433725,0.2705345851708935,1.0087185590868797,1.3548167784153151,-0.5199267883674443,-0.9810469635772682,1.3253154882303326,2.105141092814144,0.584324121398496,1.649855522639532,-0.9478528501589724,-0.5413665391941156,-0.6889192655684293,1.6988690750415405,-1.1827322926543364,0.21971499352492,-0.3959012760694693,-0.6551704071261224,1.2104805219277528,-0.1269792349726141,-0.8057320343880001,-0.3610821715724338,-0.6987715717426002,0
Chef and Customer,0.1848446113229407,-0.0969042227296125,-1.5021230710808229,-0.6097352536913719,0.529655810211735,-0.972089246355332,0.6222806054240179,-1.236974402365885,-0.1338175271011222,0.6520449324891023,2.335400105840906,-2.278730378332729,-1.0581543002496987,-1.5627840420576744,1.287217448790365,2.799756632369521,1.634095416038004,-1.3268547317373012,-0.8198227698052973,-0.9361412016429668,-0.4703228976459156,-1.3844340553782797,-0.012761232006032,-1.7087014274292356,-1.0171805235835292,1.0294624227767792,-1.6188895097651343,-1.6799935245181263,-1.1914524934759336,-0.4840643756285346,0
Customer and Server,0.2587881357095011,-0.2483770770243075,-1.1398187445925545,-0.810609499032966,0.933619726528845,-0.8551970928745004,0.9729463261631236,-1.3089850631639983,0.6421256495007817,0.99356607950176,2.276057581562537,-2.2727683322650503,-0.8635011125610739,-0.036750894824788,1.9246788154446364,2.724787077199766,1.8587400342330416,-1.2649832030885797,-0.8077563331454795,-0.4485808681517262,-0.8862129149085342,-0.8342995205906018,0.2380968346134139,-1.0264198051411693,-1.10096452433568,1.133450788182088,0.1033354435998097,-1.6960786334985465,-0.5040134931362689,0.7453925912453916,0
Customer and Businessman,-0.3289264919460771,-0.1358702962766405,-0.8228987605679235,-1.2639395341943431,0.9752773951200336,-0.8690426856507077,0.9005492526146586,-1.1588918367371617,0.9582225627109388,1.4544813315281904,2.570002934982855,-1.6188064042165171,-1.2099211216367052,0.2076885464235932,2.0230299977284387,2.519400982729901,1.7829873356212471,-1.0861872882838914,-0.82384491535857,-0.4839991582973457,1.7726496232967464,-0.2003804083386528,0.8461907933112093,-0.814411391435838,-1.0980286968160629,0.9374859147615224,0.0473273916281061,-1.078565655842327,-0.1047700737082333,-0.2336063733274731,0
Doctor and Patient,0.5950704248762066,-0.9560194294147024,-0.2484699687960935,-0.8971773472913093,1.062658061613835,-0.6656715488638456,-1.8757504509435736,-1.131951410097669,-0.5343549968045341,0.5997667695049137,1.5286274291231086,-0.7827154342736004,-0.5221726355577809,1.1316120256972404,1.7176556477978686,-0.0059467243154896,1.3937317790426345,-0.0879208863276656,-0.6822653918833735,-0.8528113535093389,-0.537242565650376,-0.9101476479092462,1.6020474647924927,0.7081944888115423,-0.5562104364264118,1.2084390978885566,0.4201122796052118,0.0067344366437859,1.260060741581517,0.6079512003195341,0
Doctor and Nurse,0.5701275330249753,-0.5326640617633207,0.240271484182108,-0.995508041468702,1.032375343860692,-0.6729949836812185,0.0555151571715077,-0.3099565256591406,0.2830859897514612,0.2554238597123737,0.506445059128412,-0.2483826901940674,-0.3521937956043338,1.1401720563685664,-0.1751661456750279,-1.1759855817160032,0.5615203771439843,-0.3130918332174345,-0.4468124887126664,-0.4354169875225689,-0.3213630102534369,-0.8811561858199698,1.7201778259053138,0.5275054998581349,0.8655882480355601,1.1859597647728877,0.5460082486715054,0.4491669536795999,0.8405011968580826,0.5135680694169963,0
Patient and Caretaker,0.4611537336749341,-0.6537738054460022,0.5325696412901366,-0.2519646558866056,0.7312587931336397,-0.0304841955002194,-0.7669672340894947,-0.4476267743865678,-0.9848519788580492,-0.0968316161559341,1.0933099551057124,-0.0191149186824139,0.7310966466286918,0.6923499259800535,0.8493835941004652,-0.4669440894762224,1.678294150752904,1.1789380143463617,-0.3845691617190096,-0.5279666908919077,-0.3580415754907811,-0.8844445503631665,1.60484078378143,1.254019786641995,-0.0857553680520703,0.9489766227833288,1.5483174644898277,0.2998602004642163,1.205065621554344,1.159022648926288,0
