,Dim1,Dim2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
step grandparent and step grandchild,-7.648118,9.489768,0,2,1,2,2,2,2,5,2,5
master and servant,15.279552,8.213512,1,0,3,0,0,0,5,1,5,0
confidants,3.0172057,17.403597,0,0,0,1,1,1,1,0,6,6
co workers,3.89481,16.409657,0,0,0,1,1,1,1,0,1,4
bride and groom,5.044745,-6.5918283,2,1,2,3,3,3,3,3,3,3
brothers in arms,3.2631483,17.33426,0,0,0,1,1,1,1,0,6,6
parent and infant,-7.6114197,9.142456,0,2,1,2,2,2,2,5,2,5
grandparent and grandchild,-7.6456804,9.131076,0,2,1,2,2,2,2,5,2,5
manager and assistant,13.383374,9.035765,1,0,3,0,0,0,0,2,0,2
boss and secretary,13.570883,8.979378,1,0,3,0,0,0,0,2,0,2
professor and teaching assistant,12.577494,9.078265,1,0,3,0,0,0,0,2,0,2
customer and server,9.775476,13.291342,1,0,0,0,4,4,4,4,4,1
celebrity and fans,9.060077,13.595944,1,0,0,0,4,4,4,4,4,1
judge and contestant,9.21105,13.059092,1,0,0,0,4,4,4,4,4,1
