,Dim1,Dim2,cl_k3,cl_k6
diplomats,8.35141,17.854948,2,0
facebook friends,7.15927,16.756659,0,2
club member and club president,8.220369,14.9818535,0,3
victim and criminal,5.356366,16.77258,0,4
man and his mistress,7.940864,15.932908,0,5
sugar daddy and sugar baby,6.157971,16.098417,0,2
companions,6.8730907,17.351019,0,2
criminal and hostage,5.191066,16.887684,0,4
fans of opposing sports teams,6.787941,15.102663,0,3
reviewer and writer,7.4038363,16.432745,0,5
close relatives,19.3063,15.108517,1,1
lawyer and client,7.0219097,16.096497,0,2
athlete and referee,7.8171115,15.439513,0,3
consultant and client,8.603344,16.691107,2,5
researcher and research subject,8.835564,18.266777,2,0
coach and athlete,7.0844417,15.784665,0,2
criminal and their accomplice,5.077486,16.823502,0,4
babysitter and infant,7.07697,15.9094925,0,2
religious followers,8.112532,14.482684,0,3
mother and infant,19.397024,15.10304,1,1
childhood friends,6.9005804,17.272919,0,2
man and god,6.7554054,16.075842,0,2
divorced spouses,7.206748,16.174322,0,2
half siblings,19.373236,14.956038,1,1
parole officer and parolee,7.3366957,16.338385,0,2
landlord and housekeeper,8.757984,18.204609,2,0
a person and their social media follower,8.302129,14.429169,0,3
parent and teenager,19.358213,15.206391,1,1
entrepreneur and investor,8.708632,18.158693,2,0
professor and graduate student,7.402774,16.499365,0,5
sorority sisters,6.637157,16.359867,0,2
doctor and nurse,8.677682,18.11536,2,0
intern and employee,7.3708625,16.409945,0,5
cousins,19.220877,14.837553,1,1
brother and sister,19.271612,15.188609,1,1
political allies,7.8594484,15.444076,0,3
supervisor and subordinate,7.1583085,16.04052,0,2
religious leader and congregant,8.226912,14.464726,0,3
fans of the same sports team,6.720379,16.445755,0,2
principal and teacher,8.688944,18.400038,2,0
celebrity and haters,6.9077363,15.252937,0,3
a person and their in laws,6.9192095,16.227533,0,2
police officer and offender,5.1291885,16.825129,0,4
customer and server,7.870232,16.967943,2,5
foreman and laborer,8.700636,18.234879,2,0
