,Blacks - Whites,Males - Females,Elderly - young,Ethnic Minorities - Ethnic Majority,Parents - Children,Grandparents - Grandchildren,Paternal relatives - Maternal relatives,Elders - Juniors,Interviewers - Job applicants,Teachers - Students,Doctors - Patients,Customers - Servers,Representatives - Citizens,Celebrities - Fans,Natives - Tourists,Locals - Non-locals,Homosexual - Heterosexual,East Asians - Americans,Police officers - Civilians,Rural residents - Urban residents,Rich - Poor,Employees-Managers,Volunteers-Community Residents,Disableds-Non-disableds,Interns - Employees,Employers - Employees,Salespersons - Customers,Owners - Managers,Chiefs - Deputies,Supervisors - Subordinates,Bosses - Secretaries,Managers - Assistants,Lawyers - Clients,Prostitutes - Customers,Dealers - Buyers,Party A-Party B (in Contract),Managers - Investors,Investors-Entrepreneurs,Gang Member-Rival Gang Member,Republicans - democrats
Importance for society,78.36363636363636,76.14285714285714,75.38461538461539,78.2,78.16666666666667,83.76923076923077,40.8,68.36363636363636,83.9090909090909,92.08333333333333,76.78571428571429,76.9090909090909,89.0,45.75,63.714285714285715,57.72727272727273,64.1,68.25,84.2,58.54545454545455,72.75,67.23076923076923,71.1,66.76923076923077,44.166666666666664,79.4,68.9,62.57142857142857,55.666666666666664,71.0,65.45454545454545,71.2,78.5,12.363636363636363,79.0,75.4,55.27272727272727,58.8,9.666666666666666,65.21428571428571
Importance for individuals,68.9090909090909,57.42857142857143,71.3076923076923,73.0,76.66666666666667,90.53846153846153,62.8,73.72727272727273,89.36363636363636,88.08333333333333,80.78571428571429,60.09090909090909,77.54545454545455,41.875,59.142857142857146,54.18181818181818,63.8,60.833333333333336,87.4,50.0,56.125,66.15384615384616,64.8,66.53846153846153,50.833333333333336,82.7,64.6,63.857142857142854,58.666666666666664,73.0,69.9090909090909,64.0,80.2,41.45454545454545,85.71428571428571,75.1,62.90909090909091,51.5,9.0,67.92857142857143
Affiliation Coalition,31.636363636363637,34.857142857142854,56.46153846153846,65.6,42.5,85.6923076923077,39.8,46.36363636363637,51.90909090909091,81.66666666666667,55.214285714285715,54.09090909090909,62.81818181818182,59.0,60.285714285714285,59.81818181818182,42.9,46.916666666666664,54.1,63.09090909090909,52.875,56.61538461538461,73.5,52.07692307692308,47.5,64.5,57.5,61.857142857142854,63.888888888888886,38.77777777777778,50.36363636363637,48.4,66.0,39.45454545454545,71.42857142857143,52.0,48.45454545454545,51.8,52.44444444444444,52.357142857142854
Occupational,26.272727272727273,36.714285714285715,41.15384615384615,44.8,15.666666666666666,33.38461538461539,2.2,14.636363636363637,98.27272727272727,66.33333333333333,76.85714285714286,79.36363636363636,67.18181818181819,56.875,53.142857142857146,35.18181818181818,11.7,32.583333333333336,67.3,14.909090909090908,25.375,91.6923076923077,54.5,22.615384615384617,67.0,90.6,92.2,77.42857142857143,92.11111111111111,85.55555555555556,91.0,90.6,79.3,65.9090909090909,79.57142857142857,69.4,84.27272727272727,84.3,9.777777777777779,53.57142857142857
Activeness,43.0,48.57142857142857,61.30769230769231,35.4,81.5,95.3076923076923,36.2,52.81818181818182,82.45454545454545,87.25,65.14285714285714,59.72727272727273,48.54545454545455,59.75,51.142857142857146,39.27272727272727,35.0,34.333333333333336,61.3,33.18181818181818,31.5,60.84615384615385,55.8,31.46153846153846,56.833333333333336,78.2,65.5,67.71428571428571,68.77777777777777,61.44444444444444,71.9090909090909,49.0,77.2,56.72727272727273,78.85714285714286,78.0,64.0,61.9,50.22222222222222,56.57142857142857
Endurance,53.90909090909091,61.857142857142854,67.15384615384616,43.2,86.66666666666667,97.23076923076923,47.2,56.63636363636363,49.72727272727273,74.91666666666667,59.285714285714285,34.18181818181818,47.45454545454545,45.875,15.714285714285714,39.27272727272727,38.6,41.833333333333336,56.6,27.454545454545453,29.5,62.46153846153846,53.9,35.38461538461539,45.166666666666664,78.2,30.4,59.714285714285715,70.77777777777777,68.0,68.18181818181819,58.0,45.4,27.90909090909091,54.57142857142857,54.3,56.90909090909091,42.7,49.111111111111114,58.92857142857143
Synchronicity,40.90909090909091,51.714285714285715,51.30769230769231,44.8,84.66666666666667,95.6923076923077,38.8,41.72727272727273,64.45454545454545,90.0,73.21428571428571,86.18181818181819,52.09090909090909,44.125,53.142857142857146,42.18181818181818,34.0,37.166666666666664,67.9,35.81818181818182,32.25,73.61538461538461,65.2,38.30769230769231,51.166666666666664,80.6,62.9,76.71428571428571,66.33333333333333,67.66666666666667,70.9090909090909,74.0,70.6,72.36363636363636,81.28571428571429,66.4,58.18181818181818,51.0,39.55555555555556,56.642857142857146
Spatial Distance,46.54545454545455,62.142857142857146,60.76923076923077,33.4,79.66666666666667,83.15384615384616,39.6,50.72727272727273,56.18181818181818,94.0,78.71428571428571,85.54545454545455,41.90909090909091,45.5,64.71428571428571,43.36363636363637,40.3,18.5,71.6,40.36363636363637,27.125,68.0,65.8,40.76923076923077,78.83333333333333,79.2,57.9,68.28571428571429,84.88888888888889,74.0,79.54545454545455,44.0,55.1,80.72727272727273,68.0,56.0,47.54545454545455,47.3,46.44444444444444,47.42857142857143
Morality,53.36363636363637,65.28571428571429,72.07692307692308,40.0,92.66666666666667,96.92307692307692,83.0,77.54545454545455,76.9090909090909,87.25,86.28571428571429,73.81818181818181,64.9090909090909,50.25,62.857142857142854,70.27272727272727,63.9,62.166666666666664,73.3,61.90909090909091,34.75,74.3076923076923,80.2,65.3076923076923,56.833333333333336,81.1,76.4,67.57142857142857,72.77777777777777,77.11111111111111,79.63636363636364,57.8,70.1,31.272727272727273,76.0,67.2,67.27272727272727,57.3,2.4444444444444446,47.285714285714285
Trust,44.18181818181818,42.57142857142857,64.61538461538461,23.4,85.66666666666667,96.07692307692308,77.0,63.18181818181818,59.63636363636363,84.83333333333333,84.92857142857143,75.27272727272727,34.0,38.875,50.285714285714285,46.90909090909091,58.3,40.416666666666664,51.7,50.0,37.25,64.6923076923077,72.1,52.07692307692308,46.833333333333336,74.3,58.1,58.714285714285715,80.44444444444444,64.33333333333333,75.63636363636364,69.0,67.8,30.272727272727273,57.285714285714285,79.6,64.18181818181819,59.5,7.333333333333333,27.142857142857142
Generation Gap,44.0,34.714285714285715,87.0,40.2,88.5,96.23076923076923,18.0,95.36363636363636,54.27272727272727,83.58333333333333,56.92857142857143,47.63636363636363,73.54545454545455,56.375,56.714285714285715,39.63636363636363,24.3,32.25,35.0,39.18181818181818,36.625,50.07692307692308,43.0,39.92307692307692,64.66666666666667,57.3,49.0,48.57142857142857,43.44444444444444,50.333333333333336,45.0,63.8,46.3,32.09090909090909,44.714285714285715,41.0,59.90909090909091,39.6,16.444444444444443,46.785714285714285
