,Blacks - Whites,Males - Females,Elderly - young,Ethnic Minorities - Ethnic Majority,Parents - Children,Grandparents - Grandchildren,Paternal relatives - Maternal relatives,Elders - Juniors,Interviewers - Job applicants,Teachers - Students,Doctors - Patients,Customers - Servers,Representatives - Citizens,Celebrities - Fans,Natives - Tourists,Locals - Non-locals,Homosexual - Heterosexual,East Asians - Americans,Police officers - Civilians,Rural residents - Urban residents,Rich - Poor,Employees-Managers,Volunteers-Community Residents,Disableds-Non-disableds,Interns - Employees,Employers - Employees,Salespersons - Customers,Owners - Managers,Chiefs - Deputies,Supervisors - Subordinates,Bosses - Secretaries,Managers - Assistants,Lawyers - Clients,Prostitutes - Customers,Dealers - Buyers,Party A-Party B (in Contract),Managers - Investors,Investors-Entrepreneurs,Gang Member-Rival Gang Member,Republicans - democrats,"Father, mother, child","Mother-in-law, Daughter-in-law, Husband","Parent, Firstborn, Secondborn",Trio of friends,The three individuals in a love triangle,"Doctor, nurse, patient","Writer, editor, reader","Tourist, tour guide, native","Landlord, tenant, real estate agent","Lawyer, litigant, judge","Middleman, seller, buyer","Plaintiff, defendant, mediator","Therapist, Patient's family, Patient","employee, employer, customer","supplier, retailer, consumer","Management, employee, union representative","Teacher, student, parent","Volunteer, Organizer, Beneficiary","Parent, Child, Grandparent","Director, Screenwriter, Actor","Prosecutor, Judge, Lawyer","Guest, Host, Audience","Drug Manufacturer, Drug Dealer, Addict","Prostitute, Pmip, Customer","Prisoner, Cellmate, Guard","Parent, Babysitter, Infant","Casino Owner, Customer, Dealer","Lender, Debt Collector, Borrower","Cheater, Mistress, Spouse","King, Prime Minister, Citizen","Athlete, Coach, Referee","police officer, prosecutor, judge","Reseller, Organizer, Audience","parent, home tutor, child"
Concreteness,45.333333333333336,51.6,36.85714285714285,48.42857142857143,41.55555555555556,50.1,30.642857142857142,34.416666666666664,61.45454545454545,39.375,74.55555555555556,83.5,66.0,48.36363636363637,72.0,56.55555555555556,38.5,44.38461538461539,65.2,47.9,62.09090909090909,72.22222222222223,50.30769230769231,44.2,57.93333333333333,75.85714285714286,73.875,68.21428571428571,70.875,62.44444444444444,51.22222222222222,61.36363636363637,50.27272727272727,74.5,80.36363636363636,57.0,69.125,66.2,62.11111111111112,38.22222222222222,38.25,15.615384615384617,15.333333333333334,19.666666666666668,24.153846153846157,77.27272727272727,60.57142857142857,55.71428571428572,78.0,91.0,91.6923076923077,72.46153846153847,50.66666666666666,86.625,83.45454545454545,81.375,55.71428571428572,76.5,29.5,79.0,69.0,83.76923076923077,70.875,59.72727272727273,35.45454545454545,82.28571428571429,85.0,26.166666666666668,69.0,68.0,60.71428571428572,75.26666666666667,59.5,58.53846153846154
Uniqueness,46.0,51.22222222222222,36.18181818181818,53.22222222222222,72.15,55.785714285714285,63.44444444444444,41.72727272727273,47.15384615384615,58.9,44.25,42.11111111111112,46.1,55.55555555555556,48.84615384615385,53.25,46.083333333333336,40.66666666666666,63.7,45.09090909090909,46.41666666666666,37.083333333333336,40.21428571428572,44.90909090909091,42.72727272727273,50.15,30.928571428571427,52.35714285714285,44.64705882352941,38.57142857142857,61.266666666666666,51.90909090909091,52.5,45.11111111111112,37.55555555555556,51.5,47.333333333333336,35.44444444444444,51.3,49.27272727272727,76.55555555555556,58.07142857142857,67.33333333333333,54.0,60.3,58.76923076923077,53.0,46.11111111111112,53.142857142857146,45.333333333333336,38.42857142857143,60.5,47.22222222222222,28.181818181818183,33.09090909090909,45.8,57.5,36.0,75.45454545454545,30.88888888888889,35.30769230769231,38.0,31.3125,47.375,74.42857142857143,47.75,35.57142857142857,58.36363636363637,48.5,34.92307692307692,41.2,35.75,66.53333333333333,66.0
Love Expression,47.333333333333336,68.55555555555556,52.81818181818182,45.333333333333336,86.6,86.42857142857143,78.33333333333333,52.27272727272727,23.153846153846157,56.4,31.75,27.77777777777778,20.2,31.88888888888889,34.07692307692308,27.5,38.083333333333336,42.66666666666666,36.9,45.72727272727273,30.666666666666668,15.75,57.785714285714285,33.09090909090909,12.818181818181818,19.95,13.428571428571429,27.071428571428573,22.352941176470587,22.5,31.466666666666665,15.181818181818182,16.166666666666668,4.444444444444445,7.333333333333333,17.416666666666668,12.916666666666666,16.0,24.7,3.090909090909091,97.55555555555556,75.38461538461539,80.77777777777777,88.0,74.0,29.76923076923077,35.0,26.33333333333333,16.428571428571427,17.666666666666668,22.571428571428573,31.25,54.5,24.363636363636363,19.818181818181817,20.4,36.5,27.818181818181817,93.54545454545456,12.77777777777778,28.53846153846154,14.125,4.125,31.714285714285715,84.64285714285714,11.625,10.214285714285714,56.8,31.75,37.16666666666666,12.384615384615383,21.666666666666668,72.6,26.0
Information Exchange,67.0,55.888888888888886,61.63636363636363,54.0,84.4,66.0,63.333333333333336,58.09090909090909,60.07692307692308,84.8,78.125,47.11111111111112,53.3,44.55555555555556,38.0,55.0,39.583333333333336,32.333333333333336,64.1,50.45454545454545,30.25,75.33333333333333,63.5,43.72727272727273,67.36363636363636,71.35,51.5,77.5,64.70588235294117,66.57142857142857,74.33333333333333,73.27272727272727,82.0,23.88888888888889,60.55555555555556,62.833333333333336,73.58333333333333,59.77777777777778,36.5,34.0,84.11111111111111,66.66666666666667,69.0,57.0,40.3,81.6923076923077,63.53846153846154,76.22222222222223,65.21428571428571,84.0,82.28571428571429,69.875,77.0,81.54545454545455,43.1,61.9,80.83333333333333,52.27272727272727,79.45454545454545,67.44444444444444,38.25,40.5,30.375,43.71428571428572,77.57142857142857,28.5,73.0,35.77777777777778,70.625,74.0,69.23076923076923,66.33333333333333,80.92857142857143,73.66666666666667
Money Exchange,35.0,30.11111111111111,30.272727272727277,39.77777777777778,43.1,19.214285714285715,43.77777777777778,23.0,41.15384615384615,26.5,53.25,80.44444444444444,27.5,44.11111111111112,58.0,44.333333333333336,17.916666666666668,33.333333333333336,17.1,42.54545454545455,39.66666666666666,71.66666666666667,19.285714285714285,19.0,51.09090909090909,80.5,72.71428571428571,73.92857142857143,46.11764705882353,55.85714285714285,80.13333333333334,60.54545454545455,84.58333333333333,88.66666666666667,97.0,55.41666666666666,72.58333333333333,78.33333333333333,30.4,27.181818181818183,30.22222222222222,38.25,22.11111111111111,29.2,26.8,59.38461538461539,70.61538461538461,69.66666666666667,79.21428571428571,69.33333333333333,89.28571428571429,72.0,65.0,88.81818181818181,81.5,66.8,15.5,36.27272727272727,30.63636363636364,35.111111111111114,43.083333333333336,91.25,95.0,21.142857142857142,56.785714285714285,89.75,87.0,40.44444444444444,54.5,39.25,24.23076923076923,54.66666666666666,53.42857142857143,57.333333333333336
Goods Exchange,31.22222222222222,48.77777777777778,35.09090909090909,26.55555555555556,47.05,39.07142857142857,35.888888888888886,20.545454545454547,34.61538461538461,43.8,44.5,91.66666666666669,18.2,32.0,61.69230769230769,43.083333333333336,21.58333333333333,48.5,17.5,35.81818181818182,33.75,37.583333333333336,46.07142857142857,19.181818181818183,30.727272727272727,49.9,82.5,48.285714285714285,31.176470588235293,39.0,40.06666666666667,43.36363636363637,41.16666666666666,58.66666666666666,97.77777777777776,56.75,54.583333333333336,52.55555555555556,27.3,10.636363636363637,53.888888888888886,45.75,45.11111111111112,22.4,35.9,45.84615384615385,42.23076923076923,29.444444444444443,57.785714285714285,38.583333333333336,92.85714285714286,39.125,48.42857142857143,74.27272727272727,84.0,51.1,34.833333333333336,39.63636363636363,33.54545454545455,23.444444444444443,37.66666666666666,88.75,56.0,33.857142857142854,35.142857142857146,56.375,44.5,28.22222222222222,27.0,24.416666666666668,21.46153846153846,85.0,36.142857142857146,58.66666666666666
Service Exchange,27.11111111111111,33.666666666666664,19.545454545454547,29.33333333333333,55.45,27.714285714285715,27.55555555555556,36.18181818181818,56.46153846153846,70.7,72.25,92.0,68.2,61.55555555555556,69.23076923076923,49.16666666666666,26.166666666666668,47.0,71.4,35.63636363636363,24.75,62.833333333333336,80.71428571428571,31.727272727272727,54.81818181818182,67.0,86.0,56.42857142857143,47.11764705882353,61.42857142857143,72.86666666666666,51.81818181818182,74.25,81.33333333333333,84.55555555555556,47.91666666666666,72.41666666666667,51.66666666666666,17.6,15.090909090909092,55.55555555555556,39.66666666666666,35.111111111111114,5.6,27.7,87.6923076923077,52.76923076923077,96.33333333333331,60.92857142857143,82.41666666666667,79.42857142857143,73.25,74.42857142857143,83.63636363636364,69.9,58.3,63.66666666666666,57.27272727272727,21.818181818181817,50.11111111111112,61.16666666666666,67.375,78.375,43.42857142857143,70.35714285714286,53.5625,62.57142857142857,36.44444444444444,73.75,60.25,55.53846153846154,70.66666666666667,58.21428571428572,80.16666666666667
Attachment,48.11111111111112,68.0,64.9090909090909,24.444444444444443,86.85,90.0,70.55555555555556,54.90909090909091,28.153846153846157,63.2,57.625,24.444444444444443,27.1,65.33333333333333,24.0,30.08333333333333,22.5,45.833333333333336,47.1,30.63636363636364,13.916666666666666,38.25,55.07142857142857,23.454545454545453,36.0,47.15,20.214285714285715,49.35714285714285,49.11764705882353,35.07142857142857,48.8,46.45454545454545,33.75,7.0,13.11111111111111,32.083333333333336,30.33333333333333,38.333333333333336,11.7,7.636363636363637,94.11111111111111,84.5,90.55555555555556,94.2,83.8,45.46153846153846,27.615384615384617,11.444444444444445,23.642857142857142,24.08333333333333,13.571428571428571,36.0,49.85714285714285,31.727272727272727,13.7,32.1,62.333333333333336,39.90909090909091,94.1818181818182,21.88888888888889,23.666666666666668,21.0,10.875,29.142857142857142,82.0,20.3125,23.428571428571427,81.77777777777777,34.875,43.91666666666666,15.23076923076923,26.0,73.85714285714286,40.333333333333336
Mating,40.11111111111112,62.11111111111112,12.818181818181818,19.11111111111111,72.4,42.142857142857146,47.0,29.90909090909091,8.384615384615385,5.6,19.5,3.2222222222222223,18.6,14.22222222222222,12.307692307692308,28.5,30.75,35.333333333333336,12.3,31.181818181818183,24.666666666666668,7.666666666666667,14.428571428571429,16.0,21.09090909090909,17.45,15.571428571428571,18.928571428571427,19.176470588235293,11.428571428571429,31.33333333333333,6.727272727272728,8.583333333333334,30.11111111111111,15.22222222222222,9.5,27.166666666666668,9.444444444444445,18.8,16.545454545454547,95.66666666666669,74.75,81.55555555555556,8.8,57.3,15.416666666666666,12.23076923076923,1.3333333333333333,10.857142857142858,8.090909090909092,2.571428571428572,4.25,19.142857142857142,8.363636363636363,7.666666666666667,14.4,5.666666666666667,5.545454545454546,78.54545454545455,12.333333333333334,7.833333333333333,5.625,38.53333333333333,16.857142857142858,48.21428571428572,7.0,7.071428571428571,70.77777777777777,17.5,9.545454545454543,2.5384615384615383,23.0,24.642857142857142,18.5
Conflict,51.0,46.888888888888886,31.181818181818183,42.888888888888886,50.25,15.428571428571429,44.22222222222222,34.54545454545455,20.153846153846157,34.7,22.0,35.55555555555556,48.1,34.0,31.23076923076923,39.16666666666666,59.833333333333336,51.833333333333336,51.4,45.72727272727273,53.083333333333336,37.75,18.0,25.09090909090909,24.363636363636363,44.45,25.071428571428573,38.5,35.529411764705884,37.42857142857143,28.666666666666668,41.18181818181818,29.25,28.88888888888889,43.22222222222222,38.91666666666666,41.833333333333336,36.11111111111112,88.2,86.9090909090909,24.625,47.0,22.77777777777778,32.75,89.5,21.08333333333333,29.0,12.333333333333334,50.0,51.63636363636363,43.85714285714285,74.625,33.857142857142854,44.90909090909091,36.875,55.3,29.33333333333333,7.636363636363637,34.36363636363637,66.77777777777777,15.916666666666666,57.75,58.93333333333333,84.42857142857143,21.071428571428573,44.06666666666667,61.21428571428572,93.75,44.875,34.09090909090909,38.76923076923077,31.0,35.214285714285715,55.66666666666666
Negotiation,51.22222222222222,61.55555555555556,35.36363636363637,41.333333333333336,61.75,37.0,43.333333333333336,37.09090909090909,53.0,42.1,57.5,36.55555555555556,61.7,28.0,41.84615384615385,43.75,27.83333333333333,38.5,52.5,39.72727272727273,27.83333333333333,58.66666666666666,46.35714285714285,30.727272727272727,37.0,58.75,64.92857142857143,65.57142857142857,46.588235294117645,54.85714285714285,51.46666666666667,62.90909090909091,57.41666666666666,65.33333333333333,77.11111111111111,68.25,64.66666666666667,68.88888888888889,42.2,54.18181818181818,39.75,35.27272727272727,29.55555555555556,39.25,52.5,32.333333333333336,45.61538461538461,23.55555555555556,56.76923076923077,78.72727272727273,84.14285714285714,81.625,28.857142857142858,75.36363636363636,53.375,71.3,39.833333333333336,37.09090909090909,44.72727272727273,76.11111111111111,34.083333333333336,54.25,57.8,43.42857142857143,46.5,35.13333333333333,53.785714285714285,44.125,61.625,43.18181818181818,53.23076923076923,45.66666666666666,40.85714285714285,55.66666666666666
Coercion,36.66666666666666,35.888888888888886,21.0,27.22222222222222,39.85,28.428571428571427,14.11111111111111,18.545454545454547,30.23076923076923,22.4,31.0,29.55555555555556,36.5,22.33333333333333,20.384615384615383,26.33333333333333,33.333333333333336,38.0,50.5,28.363636363636363,38.41666666666666,22.33333333333333,19.857142857142858,19.272727272727277,20.09090909090909,41.4,35.857142857142854,36.142857142857146,28.88235294117647,35.0,30.133333333333333,35.81818181818182,25.166666666666668,39.11111111111112,46.55555555555556,31.75,34.583333333333336,53.22222222222222,60.3,58.63636363636363,14.5,38.0,17.88888888888889,2.5,49.0,15.166666666666666,25.07692307692308,4.444444444444445,35.23076923076923,49.90909090909091,31.714285714285715,53.125,29.142857142857142,50.09090909090909,18.5,30.5,14.833333333333334,10.181818181818182,18.0,23.88888888888889,22.0,44.75,74.8,81.85714285714286,26.571428571428573,40.13333333333333,44.57142857142857,61.375,27.0,28.727272727272727,42.30769230769231,29.666666666666668,28.714285714285715,38.833333333333336
Importance for society,78.36363636363636,76.14285714285714,75.38461538461539,78.2,78.16666666666667,83.76923076923077,40.8,68.36363636363636,83.9090909090909,92.08333333333331,76.78571428571429,76.9090909090909,89.0,45.75,63.71428571428572,57.72727272727273,64.1,68.25,84.2,58.54545454545455,72.75,67.23076923076923,71.1,66.76923076923077,44.16666666666666,79.4,68.9,62.57142857142857,55.66666666666666,71.0,65.45454545454545,71.2,78.5,12.363636363636363,79.0,75.4,55.27272727272727,58.8,9.666666666666666,65.21428571428571,86.6,60.2,84.1,63.41666666666666,14.818181818181818,93.2,76.91666666666667,62.46666666666667,69.0,85.75,71.33333333333333,73.57142857142857,79.33333333333333,75.75,88.6,76.06666666666666,90.07142857142857,83.0,76.5,79.0,59.86666666666667,27.1,8.9,58.53846153846154,80.1,44.42857142857143,55.375,14.666666666666666,66.71428571428571,37.54545454545455,78.25,63.9,73.0,59.0
Importance for individuals,68.9090909090909,57.42857142857143,71.3076923076923,73.0,76.66666666666667,90.53846153846152,62.8,73.72727272727273,89.36363636363636,88.08333333333333,80.78571428571429,60.09090909090909,77.54545454545455,41.875,59.142857142857146,54.18181818181818,63.8,60.833333333333336,87.4,50.0,56.125,66.15384615384616,64.8,66.53846153846153,50.833333333333336,82.7,64.6,63.85714285714285,58.66666666666666,73.0,69.9090909090909,64.0,80.2,41.45454545454545,85.71428571428571,75.1,62.90909090909091,51.5,9.0,67.92857142857143,96.06666666666666,88.6,91.0,86.25,63.0,92.3,66.91666666666667,65.2,65.6,69.5,70.36363636363636,66.28571428571429,88.25,65.81818181818181,85.66666666666667,78.73333333333333,91.14285714285714,77.5,89.16666666666667,76.22222222222223,68.78571428571429,40.9,50.6,63.0,89.1,47.71428571428572,57.875,81.88888888888889,61.53846153846154,80.72727272727273,72.08333333333333,75.7,81.16666666666667,62.5
Affiliation Coalition,31.63636363636364,34.857142857142854,56.46153846153846,65.6,42.5,85.6923076923077,39.8,46.36363636363637,51.90909090909091,81.66666666666667,55.21428571428572,54.09090909090909,62.81818181818182,59.0,60.285714285714285,59.81818181818182,42.9,46.91666666666666,54.1,63.09090909090909,52.875,56.61538461538461,73.5,52.07692307692308,47.5,64.5,57.5,61.85714285714285,63.888888888888886,38.77777777777778,50.36363636363637,48.4,66.0,39.45454545454545,71.42857142857143,52.0,48.45454545454545,51.8,52.44444444444444,52.35714285714285,56.93333333333333,17.2,41.333333333333336,53.333333333333336,60.5,53.1,55.66666666666666,54.8,58.2,40.5,65.54545454545455,55.57142857142857,59.0,54.45454545454545,84.77777777777777,75.0,52.85714285714285,43.25,43.5,69.33333333333333,52.285714285714285,54.3,57.4,69.46153846153847,37.9,58.85714285714285,51.0,60.11111111111112,42.23076923076923,59.09090909090909,59.41666666666666,72.1,64.83333333333333,60.66666666666666
