"","Activeness","Formality","Equality","Valence","Exchange"
"Step-grandparent and Step-grandchild",-1.30999011078436,-1.3307610054804,-1.84123965395958,0.748362909807692,-0.344459622316698
"Ancestor and Descendant",-1.06932248932944,-1.46028907593631,-1.87192557416321,1.14151901411588,-0.452378194674472
"Bride and Groom",1.37383405540056,-1.16912278057189,1.86942654643394,0.285221891361989,0.734220870017747
"Man and His Mistress",-0.183052103346411,-0.87123314464022,0.811872609904389,0.118217471265979,2.54202376276791
"Man Wife and Man Mistress",-1.20918388532833,-1.05261580148861,0.806056168647651,-1.30456230533255,0.107054047345291
"Brother and Sister",1.34034714297412,-1.03914280080229,0.875365606710819,0.266409186729429,-1.07108455436742
"Between step-siblings",-0.608566641232657,-1.15761920841418,0.171022428715069,0.172531900946308,-0.704960878048887
"Between distant relatives",-1.87773289777759,-0.987868353742394,-0.114037793940105,0.819708781913054,-1.07822584129817
"Between close relatives",0.547037392872321,-1.25447416895941,0.0860057669203949,0.307696170384544,-0.884611642726944
"Between twins",1.02243627179356,-1.59889845647028,0.686126497685078,0.267677912766463,-0.0781726650786281
"Between a person and their family friends",-0.00620681971276411,-0.923448995590554,0.881323509326534,1.28655620310005,-0.278295426384829
"Between a person and their deceased spouse",-1.2550300732098,-2.33787773016023,-0.24375072728537,0.930790100102891,1.29243929464915
"Manager and Staff",-0.334750714530418,1.22931169304594,-0.593436113947562,0.129111808635248,1.03069009844827
"Foreman and Laborer",-0.0601444389632898,1.22767938000097,-0.652526553855666,-0.560814317501537,1.1592672414975
"Owner and Manager",-0.160657065740907,1.22131424767475,-0.787837330661855,-0.0883998580140316,1.14898665639109
"Union leader and union member",-0.247849538312783,1.24798761858426,-0.587182521222608,0.14922119349936,0.435977839783606
"Manager and Assistant",-0.0670763436687376,1.20172946428424,-0.952726245568394,0.0557376668475887,1.23171227256219
"Chief and Deputy",1.00004725097864,1.45148911947932,-0.693584590157514,0.295568754056992,-0.160508006133535
"Supervisor and Subordinate",0.722042173093563,1.32912055412526,-0.433041281517981,0.309130433737348,-0.206156864561891
"Boss and Secretary",0.782555707933217,1.22456451858673,-0.572284312397773,0.36990698157728,0.233199163563854
"Entrepreneur and Investor",0.408056839070713,1.59140859084773,1.15120486501818,0.780306414553253,1.3638822154365
"Intern and Employee",-0.452820241563877,0.821168595761908,-0.962159851417653,0.664175421085987,-0.249325566465861
"Lawyer and Client",1.08754725246792,1.48941663866294,0.0877875243221282,0.453597735557052,0.796316737796168
"Judge and Lawyer",0.726187349612197,1.23948121161192,0.0136144838812865,-0.534807516437204,-1.12068287996825
"Victim and Criminal",-0.677348924836672,-0.613843231198413,-0.614895090766683,-3.12285263859239,-0.609756607106759
"Drug dealer and Addict",-0.0838367225017782,0.405370445033652,0.509556172822861,-0.837304987985791,2.4933153022697
"Victim and Witness",0.846949206768738,-0.17633320825053,0.315895422576968,-1.92235471432846,-0.386963788406499
"Criminal and Police officer",0.393460987214515,0.191483094362418,-1.02037980887218,-2.71424745816223,0.566488496084786
"Criminal and Prosecutor",-0.438184140625291,0.403851990597742,-0.673878401211563,-1.93069091795766,0.153767965767588
"Criminal and Hostage",0.0530803203497116,-0.205359131913722,-0.674009002644373,-3.05167589111303,1.03441858237839
"Defendant and Plaintiff",0.540325886098037,-0.158589278991251,-0.563846599334688,-3.18801063726675,0.659295925115864
"Police officer and Offender",0.0428589369542524,0.528878373036708,-0.684718500337706,-1.93405626731822,0.437084515082546
"Police officer and Civilian",-0.513181136902562,0.501030995444439,-0.241720581951571,-0.0344717780676017,-0.647687051367026
"Parole officer and Parolee",0.823224245123209,1.01181227942473,-0.194531788349119,-1.69490964724771,0.010299228442105
"Consultant and Client",-0.298330667004847,1.69481817858113,0.542696635666617,1.07705781843192,1.87100644460909
"Chef and Customer",-1.96918487299265,0.849539502377752,-0.158022323289855,1.53511266977983,0.600395089500619
"Customer and Server",-1.52029328533301,1.01741606749822,-0.1836835031048,1.35489329801668,0.205896621121506
"Customer and Businessman",-0.144533919564377,1.63172387819448,0.510906434636509,0.942830541020404,1.51049410594114
"Doctor and Patient",0.786545532854049,1.01082755524631,-0.495648602896308,0.794500178749767,0.346574594000223
"Doctor and Nurse",0.622242067699981,0.441439552899694,-0.770031633757438,0.391075899799733,-0.169426530219422
"Patient and Caretaker",0.974372245900105,0.127591919807045,-0.824051693745302,0.618291647646481,0.78490359514283
"Driver and Passenger",-1.1188188687405,1.08782395921141,-0.419843811754626,0.893210688440195,0.540704927831177
"Coach and athlete",0.453556406196116,0.662516209896881,-0.234364046957954,0.852386042529935,0.291868908305791
"Team Captain and Team Members",0.704392332516117,0.540918352283192,1.603210690513,0.380021210393551,-0.635401631480246
"Club Member and Club President",-0.976601492690703,0.656006814636391,-0.0683744269387262,0.672235274064497,0.286727688065329
"Politician and Supporter",-0.992306799172673,0.797786228411028,-0.744550857044804,0.00345991091403117,-0.464446114756926
"Leader and Follower",-0.0699923888753282,0.211375093738579,-1.10437983019769,0.461487908327294,-0.743277547791232
"Representative and Citizen",-0.592314288585182,0.584159956325021,-0.179557386674581,0.622402981667341,-1.21434979575982
"Officer and Soldier",0.302064278454694,0.725299974779671,-0.0532533594855755,-0.237204558856388,-1.90174076758408
"Babysitter and Infant",0.652422544300916,-0.045151502127593,-2.06490934187737,0.523311596134084,0.596881979023636
