"","Activeness","Exchange","Socioemotional","Valence","Formality"
"Professor and Graduate student",1.84609035764028,0.00434842487712594,-1.23671823904428,0.85191068515087,1.29358710550906
"Master and Servant",-0.52614470854986,0.0189127416743169,-0.634780203142589,-0.799723443389098,-1.45253421899843
"Between Close Friends",1.5172283539464,0.049702602442877,1.72048136676736,0.326716715060539,0.453368523883964
"Between casual acquaintances",-1.91554995027784,-0.84798283393502,-0.708635966351347,2.18554028821591,-0.340251998322697
"Between teammates in sports",0.987779777622423,0.18953140854287,-0.562633879757593,0.193227788806305,0.41012994767378
"Between second cousins",-0.249258054955676,-0.731956885572775,0.750401881358404,0.312034442889537,0.489516767248237
"Parent and Infant",1.26895439084596,-1.10692943038226,1.17482188432022,-0.281828692851557,0.0745711275172171
"Grandparent and Grandchild",1.15830005671767,-1.05345838315631,1.10774031832558,-0.478338874022014,0.192088703301846
"Step-parent and Step-child",0.753802021008706,-1.36050588788724,-0.318303526530995,-0.407976956547267,-0.0848689856547605
"Foster-parent and Foster-child",0.970196088177455,-1.33736019401073,-0.39555844117234,-0.339551927420006,-0.224657290144793
"Godparent and Godchild",0.159280177515479,-0.936044547404538,0.422347967600622,-0.302508790555114,0.021480265529247
"Step-grandparent and Step-grandchild",0.6440049722547,-1.36406498078303,-0.355952534981172,-0.390254282793034,-0.359958334171238
"Ancestor and Descendant",2.08564090793326,-0.370552257127753,0.589435165472404,-0.796414684377502,0.677749631216053
"Bride and Groom",1.24457571958015,0.200345901564653,1.86235080286416,0.192436128680738,0.126829079634378
"Man and His Mistress",-1.08003355873528,0.632307206351566,1.40024158532765,-0.684458893240221,-2.988087388791
"Man Wife and Man Mistress",-1.02723932658179,-0.116878981947072,0.437141365920478,-0.713833025128076,-2.51099125844685
"Brother and Sister",1.49229715582034,-0.452188889910019,0.289820573703699,-0.300190075540157,1.10746475601613
"Between step-siblings",0.448269334154194,-0.888781311857807,-0.513889700251282,-0.962783279883865,0.699798552151501
"Between distant relatives",0.698980452177117,-0.684292439425673,-0.804455148735119,-0.589776491601257,0.108318543776947
"Between close relatives",1.97190879076766,-0.408585192160052,0.435142781771882,-0.551487296575434,0.706714630164775
"Between twins",-0.0586567240690666,-0.509892013696705,2.08169121336963,-0.336780885668156,0.201520131359302
"Between a person and their family friends",0.137125918846652,0.351321628021592,2.4383209811454,-0.205257307716958,0.579664095785551
"Between a person and their deceased spouse",-3.06210785725375,-1.50664708712624,1.10804279013985,0.406811450076195,0.584628753835616
"Manager and Staff",-0.157238838264856,2.0554755689509,0.0264090906341883,-0.919103909194281,0.529451779365371
"Foreman and Laborer",-1.02130594771102,2.19519022081011,0.326967956731404,-0.934814239544904,0.199687664619347
"Owner and Manager",-0.501435818881367,1.88278826756372,-9.06115353954684e-05,-0.805816215257681,0.755499352464967
"Union leader and union member",-1.32441411074878,0.490740844517969,0.480832753450022,-0.330757291076291,0.198416857801034
"Manager and Assistant",-0.504357734607881,1.04994681577685,-0.309629729587624,-0.514888253890439,0.43639215166467
"Chief and Deputy",0.440275860938428,1.44015346813059,-0.563871533156406,-0.169598815449785,1.1991611304442
"Supervisor and Subordinate",0.26234821657435,1.46858060484688,-1.05218829574615,-0.870899469119211,0.659213178221225
"Boss and Secretary",-0.0329778240140531,1.17225017697321,-0.479009332608133,-0.164550005032591,0.173063087328248
"Entrepreneur and Investor",-0.882753816286371,2.75409582903256,0.103538609090259,0.176051847052328,0.0464688561537265
"Intern and Employee",-0.231755066541113,0.431120710829403,-0.825350314572036,0.470376092130042,1.13097661698631
"Lawyer and Client",-0.663685672618313,1.6686026237293,0.12107122777192,1.15044178747081,0.0859642044864246
"Judge and Lawyer",-0.584653783810541,0.685859626957579,-0.753249399415729,0.585549092419516,0.970874157300128
"Victim and Criminal",-2.06153901773507,-2.35199174684962,-0.762128319267883,-1.74085669141082,-1.05962902901681
"Drug dealer and Addict",-0.587436420054184,1.60538007142889,-0.16280339727618,-1.68042646140543,-2.6673246355881
"Victim and Witness",-0.594854231275816,-1.16335828681554,-1.16827541915765,0.0391232547923406,0.0844446566862603
"Criminal and Police officer",-0.591466654552128,-1.40093780316998,-0.862408913479236,-1.62532735966708,1.45336598111863
"Criminal and Prosecutor",-0.560249745382568,-1.44537002925425,-0.998723704852494,-1.25324481044945,1.344332025075
"Criminal and Hostage",-0.528540650501173,-1.27265117948038,-0.996956954352898,-2.08892295448258,0.206019557337821
"Defendant and Plaintiff",-0.51021655870833,0.0541814160577835,-0.63493633236188,-1.67291887688549,0.213464161588211
"Police officer and Offender",-0.3112044835264,-0.816399685868081,-0.995133109527362,-1.37236852076907,0.866496887168968
"Police officer and Civilian",-0.292141538527475,-0.649168181061731,-0.53483406079263,0.0667537936719292,1.32619516450715
"Parole officer and Parolee",-1.46139871111191,-0.425662172004968,-0.972316803623782,0.362399399762673,0.906452254434671
"Consultant and Client",-1.2669503144386,0.895129905247903,0.0180676919190346,0.76068830914552,0.707193193369739
"Chef and Customer",-1.19793636845112,0.642044612001068,-0.270518828859433,0.855288207938735,0.46550004295951
"Customer and Server",-1.08400186480036,1.16021624210278,-0.194528145505596,0.813746957774824,0.0823180176298876
"Customer and Businessman",-1.06451648263124,1.15668826524545,-0.0275790198742222,0.506096237201008,-0.0863185779353641
"Doctor and Patient",0.198255377692409,0.516166511134585,-0.0641712212105622,1.1740960998466,0.196486581069972
"Doctor and Nurse",0.0189418538709449,-0.190278008987946,-0.284107033256917,1.56761557881031,0.296944348753373
"Patient and Caretaker",-0.0558625366003204,-0.212379744480839,-0.732438054675835,1.58166236323503,0.810101245461806
"Driver and Passenger",-0.689576632920451,2.3877010481477,0.210441087999947,0.0167149842054913,0.503025889827829
"Coach and athlete",1.46967543403432,0.782080396150022,0.161545779486813,-1.34472678201132,0.177980116001522
"Team Captain and Team Members",1.24470172500589,0.291900941727247,-0.29418174903094,-0.887454752909113,0.267111387608414
"Club Member and Club President",0.585601367012051,0.581794775430849,-0.429299980495527,-0.580188340442542,0.0305283234179722
"Politician and Supporter",-0.215456344903744,-0.170713547876026,0.0785350661990037,-0.525622015143711,1.2905137253065
"Leader and Follower",-0.0914809869104671,-0.474187331503396,-0.037423195113592,-0.350343887652324,1.33649734937833
"Representative and Citizen",-0.368747907083124,-0.217636494043287,-0.0732914884627647,-0.0255042638290676,1.55769993621742
"Officer and Soldier",1.36769957113485,-0.0151760938677185,-0.151817949690181,-1.37857660532521,1.25895274036813
"Babysitter and Infant",0.0495551402548185,-0.365850168444566,0.66205244436678,-0.247312672300434,0.293589562302156
"Religious leader and Congregant",-0.479128143183865,-1.04335237968503,-0.239566161113596,0.163244034323055,0.501985787412128
"Between religious followers",-1.01763499127336,-0.974047324458,-0.201968340401264,-0.00852305134550485,0.482644633362376
"Prostitute and Customer",-1.92524758384385,1.06109229739766,0.149155976511692,0.256762879268892,-3.12107896313407
"Guide and Tourist",0.265000611969667,1.21365996041368,-0.510012916934963,0.421600167818447,-0.495602914301568
"Athlete and Referee",0.660731667499951,-0.792742348657905,-1.35581322169332,-0.0570641286082221,0.10838636329665
"Slave and Master",-1.04487979625402,-0.703177507887305,-0.922428492528588,-1.80007877782113,-1.30410646842955
"Reader and Writer",0.53042652925543,0.589204564061198,-0.137729440325236,1.00654524246099,-0.343422457195213
"Reviewer and Writer",-0.465478803957348,1.1524281195217,0.11645716211234,-1.23520819836995,1.59341912644433
"Performer and Audience",0.366229483815572,1.00851377220247,0.851613969954891,-0.994249653061546,1.01474829111835
"Dealer and Buyer",-0.116217300178642,2.0970584444879,0.750269219601539,-1.45160707969709,0.651807988006746
"Sugar-daddy and Sugar-baby",-1.18909303700933,0.940373044570367,1.44014054262464,-1.20272376214746,-3.10242392932519
"Director and Performer",1.02267229421604,1.04049270632344,0.24209835992042,-1.60154287700822,1.18613193316891
"Psychologist and Client",0.534483396969503,1.50971222115408,0.708537329440364,-1.29835125430701,0.0935546528974248
"Judge and Contestant",-0.172662757000722,0.337049409001248,0.193542735117503,-1.64603085633115,1.16502518343629
"Man and God",-0.616576883960338,-0.196306883366808,2.45876693102255,-1.12037926328222,0.449734983447574
"Between Co-workers",0.471127044680683,1.10915477889862,-0.00247995761289665,0.454275182340902,1.04066020460902
"Between sports rivals",-0.948735688084937,0.0529155399549595,-0.266895168650578,0.121891670149092,1.40466422594378
"Between romantic rivals",-0.963311401265717,-0.993517812052532,0.818849290181537,-0.767256123208347,-0.126029573851708
"Between criminal and their accomplice",-0.436974599206229,0.491584798376588,-0.801805438811804,-1.02850924105914,-2.70629481166393
"Between diplomats",-0.358353709330493,0.516623711626076,-0.764356676481445,0.199048053448261,1.19928084026896
"Principal and Teacher",1.05074567960196,0.310212590135902,-0.840440308359592,-0.23224464329105,0.812866121821693
"Professor and Teaching Assistant",0.953335638630109,0.407731829360474,-0.779196212098759,-0.44058286485379,0.742409539475692
"University student and Administrator",0.979577194114835,0.245692697079483,-1.0920364514561,-0.512256347979216,0.501467365000791
"Student and Dorm Resident assistant",-0.833217273128277,-0.0577239037890532,-1.28450195584335,1.01335094636069,1.03614644024306
"Mentor and Mentee",0.109112117237948,0.192201621475117,-1.19568090734145,1.34228732741798,1.19230196793316
"Athletic trainer and Trainee",-0.0574784279718062,-0.0147786352839507,-0.805038685893015,1.33562053549646,1.11080245086035
"Researcher and Research Subject",-0.377010181683364,0.304442022692754,-0.995532233294361,1.52132602017801,1.13879318898353
"Between peers",-0.602693378425493,-0.63994973044935,1.08085390541968,1.6456160830417,0.665686761081897
"Between classmates",-0.721649690282338,-0.496744806070537,0.847821601304641,1.7664790130951,0.999629522278398
"Between roommates",-0.578490437876136,-0.593835741587591,0.644398636875437,1.86493247659497,0.236628446532128
"Between sorority sisters",-1.97583010176285,-0.424712767591946,0.751416096905143,1.31926497534039,1.20539497742817
"Between fraternity brothers",1.76370466985152,-1.19764914402562,-0.736886055722421,1.82349762470464,-2.14977292830025
"Bride and Bridesmaid",1.87015196711654,-1.29259918158071,-0.268806224299144,0.926976531506499,-1.61419055470027
"Groom and Groomsman",1.84288420339612,-1.39528503185898,-0.216384141242347,0.895133689605502,-1.44475890636809
"Predecessor and Successor",1.94351855255643,-1.03449839827833,-2.36615846840532,0.197311265489446,-1.4733186408558
"Landlord and Tenant",1.49124313837687,1.17165024531712,-2.4629532232837,-0.0494743604159539,-2.02984699046348
"Landlord and Housekeeper",1.39664239433773,0.880958424907105,-2.86533278998401,1.02124844212915,-2.77753020851602
"Guest and Host",1.73471352356822,-1.18786116955843,-1.15765443947618,1.39244465168947,-1.31054609049343
"Television host and Guest",1.65273911403875,0.0255635293421329,-2.35546899790686,1.16511732206961,-2.03720423135149
"Volunteer and Organizer",0.946220324826894,0.420903898235182,-0.628166751396384,0.537275827071392,0.106471487317797
"Celebrity and Fans",-0.421680570566101,-1.39114317232643,0.462913209796744,0.167725425166614,-0.628767939933519
"Celebrity and Haters",-0.944763107449455,-2.05829431153577,-0.22680307304337,-1.01446527526664,-0.280119286078012
"Native and Tourist",0.18534967403511,0.928846734926487,-0.400256998978758,0.936332631342459,-1.14128899340547
"Bully and Victim",-0.881358403877637,-1.42722961648087,-0.321072524364244,-2.30285943346708,-1.33009614036572
"Between friends",0.261094135987976,-0.270942186454133,1.93966538472466,0.829520763192755,-0.293086756785021
"Between Facebook Friends",-0.989134185676242,-1.10874149630138,0.36794788517845,0.381301271391012,-0.334208909942801
"Between a person and their social media follower",-0.403230003378204,-0.587225378113289,-0.4210073111693,0.0739977291526695,-1.30453044310216
"Between childhood friends",0.688289367570269,-0.795846554298588,0.431608593718248,1.85405153002587,1.05920033612728
"Between pen-friends",-1.00887428146441,-1.15754103351247,0.147370533252928,2.26491985523231,0.97067918122915
"Between friends with benefits",-0.826989323611546,-0.866870093584574,0.504464723676997,1.75037574238517,-0.911479883301437
"Between political allies",-0.0946372697482095,0.569447211271821,-1.17109132095052,1.43897336784774,0.794514891174821
"Between romantic lovers",-0.860819180665554,-0.341628105081122,0.680662500520835,1.31010072542745,-1.86786384001682
"Between ex-lovers",-1.45440390351172,-0.724861619518031,-0.205025239719153,0.687570858258449,-0.0731770301238011
"Between life-partners",1.03094991845401,0.701169908771637,2.25451075083583,0.846633896603384,-0.831890541000416
"Between soul-mates",1.29469450479884,-0.317281263658418,0.612018112063871,1.90673185567667,-0.196173534585874
"Between strangers",-1.66516932829072,0.182366653935536,-0.964964127721877,-0.00963935214893785,-0.465411003260443
"Between neighbors",-0.10021731441223,-0.165063610753611,-0.143814302841263,-0.598026440302119,0.530430348065879
"Between church members",-1.76461297324113,-0.504971452159725,-0.392580223792697,0.68332504773227,-0.119392517702846
"Between fans of the same sports team",-0.669039806405745,-0.52167099014588,0.426729167968116,0.450441345356274,0.0564582891725812
"Between fans of opposing sports teams",-1.32251324134641,-1.2387438387019,-1.11441268542927,-1.34150101185716,-0.428699536800074
"Superior and Subordinate",0.09597255244977,0.932803440701976,-0.642194296672211,-1.51540168529101,0.196041600151209
"Aunt and Niece/Nephew",0.400046083354633,-1.09281765922342,1.33963512709085,-0.647098004545234,0.211799329553782
"Uncle and Niece/Nephew",0.339644126946808,-1.03184895485301,1.28521693756809,-0.674006998894859,0.230591427263282
"Between frenemies",-1.25301619094398,-0.455688016884535,0.26966961670305,-0.600694592353896,0.313157147574162
"Between half-siblings",0.488971193514876,-1.10519747059634,0.483245274755448,-0.3147200911959,0.219508818621996
"Between adoptive parents and adopted kids",1.10101267116653,-1.35715926143073,0.2691661497941,-0.578848583656063,0.0611440097392464
"Mother and Infant",1.42934059687808,-1.84265943092231,0.418236256528711,0.937798889800439,-0.528263781859237
"Between alumni",-0.714950058545012,-0.563981564553007,-0.265043480618398,0.831228486312475,0.285833352190509
"Between a monarch and their minister",-0.205041957730272,0.770992743766558,-1.43857795268673,-1.15411401069434,-1.16277362275736
"Between confidants",0.0583786265730971,0.742542343755561,-0.445460464413707,0.0147986302040234,0.0145387828036412
"Between a person and their significant other",0.836674380609311,-0.0124863034460861,2.05774283882293,-0.41166031392869,-0.861593063355893
"Between companions",-0.00289647986685071,1.14190323650434,0.207977026168358,1.27975303803069,-0.574438898172939
"Between playmates",0.0465397261581634,0.851952710986356,0.150785153814139,1.44247917782889,-0.602090978095141
"Between competitors in sports",-0.56696832135533,0.495146294761651,-0.649283563631014,0.127552594190745,-0.489696020610789
"Between a person and their crush",0.332938913492996,0.144681711849433,2.5309702454516,0.919399308394543,-0.600673315264048
"Between cohabitants",0.371664362368629,0.358865427805099,2.20724201328758,0.963969044997726,-0.931250819381036
"Between long-distance lovers",-0.708763431067598,-0.00224684492910493,1.52723498078146,1.46569987626087,-0.761803075021816
"Between brothers-in-arms",0.168930452444373,0.541909906427791,0.445958946927901,1.58007409225126,0.245046158959061
