"","PC1","PC2","PC3","PC4","PC5"
"criminal and police officer",5.33327387216791,4.13134348477364,-2.23009353600436,0.427935473146576,-0.286822301248579
"criminal and prosecutor",5.17339248545598,2.82542246185718,-2.61476279477358,0.32214762708415,0.561182804285598
"customer and businessman",3.18436179442474,0.848400863579692,1.86552332951338,0.209679737454469,0.986290943092451
"representative and citizen",3.39990465624312,-0.137242669110505,1.16022582403114,-2.22116752258311,0.129147876173675
"officer and soldier",3.46537850889642,0.981315645073193,0.657538406953726,0.280436649669073,0.83894354161909
"religious followers",0.951806375342242,-0.539520001775029,1.00314582357861,0.419724272236184,1.04389190964589
"reader and writer",-1.23862554448589,0.918445582312458,1.07893996090315,-1.21777018721018,1.03069559560412
"reviewer and writer",2.32661786387026,-1.57404020704045,-0.822572365246731,-1.29938279205744,0.446628601618449
"sugar daddy and sugar baby",-2.24670248122759,-1.0733050686443,-1.80449217613507,-1.21758230645594,2.88929672425837
"director and performer",0.74659006550384,-2.35402782685792,-0.0405014535289309,-1.49966027149982,0.0997813243038635
"psychologist and client",1.03541064108982,-1.53950644970511,-1.35353817112958,-1.26483616255637,1.19529101373711
"judge and contestant",3.90913396831336,2.03664333976653,0.520661768200713,0.250310571036445,-0.352112286344279
"man and god",-3.28999578382759,0.734078665407182,0.285916488542203,-1.52290841505106,-0.639729392385596
"university student and administrator",3.38687004639759,-0.85001891278429,1.74710292739983,-0.399668945791033,1.04093431226827
"student and dorm resident assistant",3.11521019890593,0.359396346847113,2.2208984811732,-1.12239519030337,0.441721657937375
"athletic trainer and trainee",1.06692533420355,-1.48825305362164,0.276404011237003,-2.17263034712174,0.489010271473517
"researcher and research subject",3.30988730297741,-0.878424748579179,0.809379907377128,-1.63009950353557,1.36840382552917
"peers",-0.351278445483523,1.72182857776931,2.10698522280132,-0.881722142642201,-0.0651600400539621
"classmates",-0.638363040096095,2.30140447954921,1.70772482879918,-0.685337694156593,-1.04464789980169
"bride and bridesmaid",-2.30496095882558,-0.0605474816424297,-1.59805133397828,0.0502533586388911,-0.966812101750381
"guest and host",0.628942424158491,1.87097986005257,1.76714224049444,-1.3294880493139,0.1108475886027
"television host and guest",2.2029355000407,0.561236568535095,0.710120705612857,-0.635136497826147,-0.201988267383021
"volunteer and organizer",-0.639714834097849,-1.26622025359072,1.15699948785424,0.355999792025592,-0.716683418136446
"bully and victim",3.61283284796633,4.9816239489427,-2.42167312733951,1.04779027015132,-0.601782245956617
"a person and their social media follower",1.01517947222277,2.66514807399959,1.24105568230504,-0.198653325904484,3.19873223875902
"childhood friends",-3.82939459849094,1.35060882679434,0.207157598676205,-0.94300448783291,-0.75921234206032
"pen friends",-0.999149334455051,3.25089703431248,3.58598241525947,0.135776199486062,2.36138805988854
"friends with benefits",-3.21824052870293,0.923406062359664,-0.256625436709035,-0.0633065066243881,1.13340464179202
"life partners",-4.73960675850854,-0.642536997062504,-1.27435803320916,-0.537536293712166,1.72035371154822
"soul mates",-4.77594819831486,-0.296546707926261,-1.27985954608577,-1.80478721554917,0.831925388026941
"church members",-0.215741905740962,0.367670633221436,0.370894826994921,-0.907479173712735,1.7458520322397
"fans of the same sports team",-1.75403175833288,0.67255085130071,1.56723459709806,0.0325891032301973,-0.077411928208247
"fans of opposing sports teams",2.61452767173456,5.13712856012014,-0.147176887544951,0.0563683380750656,2.17310717437535
"superior and subordinate",3.87221102161023,2.64298085889269,-2.07236380336219,-0.362715209541024,-0.309821781357446
"a monarch and their minister",-0.0423628751055132,0.877925219766,-0.513800171289239,-1.16915534855008,0.0999366106612886
"cousins",-3.90289941220132,0.0656187053623537,0.634423809833526,1.34545133101177,-0.845107970524559
"parent and infant",-3.65791923376733,0.168851964413194,0.0939276867904596,0.767077931481055,-1.91314524528045
"step parent and step child",-4.14850923919662,0.0962907282661866,0.481630249679747,1.5726279734418,-1.56644181423567
"bride and groom",-4.25463549554495,0.367732944189532,-0.373981493725285,0.817342901816589,0.0683580627215023
"man wife and man mistress",-4.43587618520815,0.0176849839427244,-1.71981328391961,-0.462145739081592,2.04000683745863
