"","Formality","Activeness","Valence","Exchange","Equality"
"Casual acquaintances",-1.14658917916856,-1.48963046352169,0.791097338143376,-1.0266637384434,0.232338304059967
"Teammates in sports",0.78947002811262,0.336373463853748,-0.0569553033416121,-0.0224534066494703,1.96516596938769
"Second cousins",-0.883592415744452,-0.874603610033938,0.702638837622288,-0.977649872499901,1.09554351589645
"Parent-Infant",-1.22282149570408,1.69639287876734,0.550421275299995,-0.604155618924586,-1.99449197096624
"Grandparent-Grandchild",-1.36583305401219,1.05271275753808,0.708928464901079,-0.665759337984393,-1.77188414226075
"Step-parent-Step-child",-0.999432578637591,1.19594288417973,0.293225018707281,-0.533790936987178,-1.79510203711562
"Foster-parent-Foster-child",-0.788946113389275,1.13993872073475,0.13322816672078,-0.239191977512218,-1.70705574777411
"Godparent-Godchild",-1.10162641148251,-0.205097520436601,0.0923915662238732,-0.242524132663973,-1.10459527461871
"Step-grandparent-Step-grandchild",-1.12807197994099,0.405608002709305,0.542971857660131,-0.687583069299007,-1.69244738141722
"Ancestor-Descendant",-0.574831399133874,0.0541461684946157,-0.216571310652294,-0.840060875650443,-1.16648994169299
"Bride-Groom",-0.775464759395321,2.065264150869,-0.0392854409554891,0.507931936644238,1.59022106307508
"Man-His Mistress",-2.48806277958993,0.319534087992715,-1.06741027953004,1.27592738851579,0.222572616685949
"Man Wife-Man Mistress",-1.75801990845366,-1.95217698564925,-1.64591822188305,-0.774938316491675,0.0720237304282704
"Brother-Sister",-0.412526330602406,1.06615566281473,0.0772313445539622,-0.561720379588298,1.17373762449473
"Step siblings",-0.727379190422557,0.1809378672524,-0.0937983317786769,-0.588670184072481,1.07134125948141
"Distant relatives",-0.965358056479964,-0.983906904287128,0.216757336153958,-0.784119068644055,0.489356171931774
"Close relatives",-0.865687951428279,0.509399837269886,0.162898192104265,-0.510069752182625,0.624492977348413
"Twins",-0.377663892710289,1.15128881754931,0.573505808553262,-1.24327407678124,1.34795438513832
"A person and their family friends",-0.0492612576498495,1.34856685556445,0.685815505345212,-1.24440362623613,0.214627202828635
"A person and their deceased spouse",-1.50944005077066,0.264500975131054,0.178571925548148,-1.34594257500859,0.425049336395725
"Manager-Staff",1.76986499305099,0.313403166810648,0.243344924951921,0.763767815216303,-0.434535385353924
"Foreman-Laborer",1.74702821813968,0.160449293879896,0.257879342788009,0.915162461428875,-0.299664350215713
"Owner-Manager",1.60625240920394,0.205453416064284,0.499153185227629,1.20280962910624,0.351811760781474
"Union leader-union member",1.20716369853184,-0.938292485569264,0.502895622986674,0.211485868324236,-0.137239265117773
"Manager-Assistant",1.63258600753479,0.696697329467173,0.589756159431223,1.07131267255221,0.151625133129423
"Chief-Deputy",1.34675066986957,0.354496755829343,0.454918154301932,0.238640559539533,-0.167896866178557
"Supervisor-Subordinate",1.14891151460445,0.0711869467676966,-0.474077930680289,0.435862701212525,-0.840308430571672
"Boss-Secretary",0.537303953415381,0.327346294258066,0.152076635391956,0.909962761939361,-0.692225326481418
"Entrepreneur-Investor",0.466586210998531,0.368710660360243,0.312300010961696,1.99805521132143,1.09761941693966
"Intern-Employee",0.306596932054746,-0.598546363178756,0.48356472806987,0.749572483002481,-0.238124135001673
"Lawyer-Client",0.140511373872358,0.395172731565893,0.430373813831549,2.06917327670889,0.230932173170381
"Judge-Lawyer",1.28066043998505,-0.537789685510018,-0.149060348351677,0.00062620261342812,0.0256560265473045
"Victim-Criminal",-1.38521561414705,-0.667097067758953,-2.84300106285017,-0.131069696627163,-1.0728152109669
"Drug dealer-Addict",-2.3473735234172,-0.61609540580219,-0.657063857269834,3.3128047653125,-0.354144859929161
"Victim-Witness",0.334292576236964,-1.29370984965371,-0.248806347632348,-1.76493515432986,-0.159324395060867
"Criminal-Police officer",1.67584552624524,-0.66013833335717,-1.92332072664471,-1.3375132102727,-0.532920024150202
"Criminal-Prosecutor",1.6994909778435,-0.458615638375422,-1.83138538618721,-0.995931115305173,-0.361405118230958
"Criminal-Hostage",-0.748358516016954,0.117159011764538,-3.27126141789059,0.681626496458386,-1.0363567971357
"Defendant-Plaintiff",1.64338150424786,-0.134990727445077,-1.81629566026982,-0.503590170609973,-0.109891192424615
"Police officer-Offender",1.35569707013731,-0.758837389013468,-1.51709940441841,-0.998324563808702,-0.972488102694689
"Police officer-Civilian",1.51691607971396,-0.644735050627637,0.819039051424123,-0.893772882199779,-0.727621563383066
"Parole officer-Parolee",1.87204078961665,0.79319004161296,-1.49725689392029,-0.787239275519148,-0.821531276408609
"Consultant-Client",0.718742651001295,-0.111138715349869,0.602415781773612,1.1409352039831,0.157283980426652
"Chef-Customer",-0.636353627073875,-1.42665467738019,1.23367855477844,1.27770293852917,-0.12822652078738
"Customer-Server",-0.560753407090664,-1.10081877340691,1.1495076806004,1.34647872925666,-0.48556455529665
"Customer-Businessman",0.214076478450138,-0.234831317802765,0.576334679020885,2.20980471542903,0.774890510326083
"Doctor-Patient",1.02829249825916,0.577698656258716,0.727368107471512,0.152458786733164,-1.14501590253801
"Doctor-Nurse",1.53576102887336,0.531560833844787,0.611637913653114,-0.573956438756827,-0.287926385183665
"Patient-Caretaker",0.702863532684045,0.802249552251745,0.586503151219271,0.0676498633291649,-0.723926422620493
"Driver-Passenger",-0.326567200418358,-2.0356810528086,1.62217331724747,1.83210701896159,-0.161889158257815
"Coach-athlete",0.53430008482337,0.957396150387773,0.57369196419023,1.20602733430153,-0.260106136647755
"Team captain-Team members",0.857501424506467,0.773897329618593,0.299051439670379,0.054648323593048,0.656816578845838
"Club Member-Club President",-0.167774776749909,-1.17443687861059,1.01530381113295,0.140868186453903,-0.108280386080379
"Politician-Supporter",0.998702720754679,-0.950478104923575,0.82327386475432,-0.564241744062202,-0.580171823910356
"Leader-Follower",0.158124184148865,-1.29026873038623,0.632400438463079,-1.02148257796164,-0.957004787147644
"Representative-Citizen",1.29733875371796,-0.290841505336054,-0.193345555053891,0.128634340041496,-0.496479910114862
"Officer-Soldier",1.44407597946279,1.54027860435576,-1.33623304772842,0.107510284749781,-0.842755873079629
"Babysitter-Infant",-0.0958051887272903,0.368803474603072,0.905267338487852,0.476629948699318,-2.52942973181299
