,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,cl_k3
Between strangers,-1.0399606086266984,0.9428285497851264,-1.9011549857880412,-0.7637541177469742,-1.1861849503621396,-1.2119725098980647,0.0102124194710164,-0.3408042987721676,-0.3453760380575069,0.2144332418790432,-0.6541405287982893,-1.3744463996710847,-1.3205271118796178,-2.728589010782481,-0.4516187841521501,0.0919696932917803,-1.2768415800696438,-1.5087785624067245,-0.4244873151077803,0.2427412409212288,-0.4726602702856959,0.0885613677611858,-1.206610712475688,-2.51415224313808,-1.8018920832111884,-0.7279151407724725,-1.7973286416157126,-1.5822593889965155,-2.402057183627856,-1.8331172932622108,-0.7540422831537952,-1.607402965528955,-0.6098123268850956,2
Between neighbors,0.5333496479893555,1.3278737131172664,0.1788192850314492,0.7128299099816835,-1.2211568411664375,0.4916941518545191,1.2019301056371028,0.2492498427684523,1.3903105532004163,-0.1998520820737385,0.1897177366625072,-0.7697149772079308,0.390005927385411,0.1836568205769354,-0.4587003804716957,-1.037312766461967,-0.5736645636152682,0.6001205367619558,-0.6519799847796989,-0.6158937694386553,1.189426179136688,-0.3345031186617801,-0.0839317465888267,-0.0889197906214359,-0.2002182453265924,-1.0148012834362574,0.5086051786524017,0.8843501147583394,-1.6975038883556004,0.86642945021413,0.2144528959002279,0.0229893032069602,-0.2655519243119157,0
Between church members,0.4435577474876949,0.4941979466366696,0.5939214463752533,-0.164108491462801,-0.2885730863851523,-0.1817638234109253,-0.7304567400585029,0.0550548088436912,-0.408580311688748,-0.2038355948040538,-1.2954728105484947,-0.8301881194542462,0.5745721127396338,0.1639127810422957,-0.7065562516557901,-0.6923683060280951,-0.440100214121141,0.085200828526874,-0.0533150645904396,-0.5646319777753787,-0.4931798560810343,0.8563450653436057,-0.5970112739850847,-0.405487743494184,0.4649159976135495,0.2715591627013592,-0.4692275172840772,0.4067010731840257,0.4872033885810566,-0.4714829955860952,-1.35171723599344,0.1679130604279308,0.2273663793724099,1
Between fans of the same sports team,0.5138296696194292,1.500967410395017,-0.7674351042684049,0.612311278986071,-0.5372620876601616,0.5790616729700364,0.5134876176128699,0.2305772433526099,0.2720810966476925,-0.5344671514202161,-1.846793543982882,-0.4327931846927451,0.6866301538475544,0.2379529292971962,-1.011064893396249,-1.2590627767408846,-1.4614746514291728,-0.0056673552793168,-0.6878998799910545,-0.9832699430254714,-0.5342190276717104,-0.7210064766284403,-0.7290911523247154,-0.705959020797131,0.9465649321564116,-0.5829296708241081,0.5329293750687321,-0.0485581695664922,0.0372365781550783,-0.3244075139555739,-0.1694551030040699,0.6067099920136461,-1.3022451820606955,0
Between fans of opposing sports teams,-2.160407367060464,0.5189256176763484,-1.311977724525868,-0.444867426312616,-0.4323464152472672,-1.3976284922685387,-0.0752494066285433,-0.2474413016929556,-1.405263088181393,0.4733615693495318,-0.9354266172852216,-1.2362220745366497,-1.211764895510165,-1.6969629450975352,-0.7596682240523818,-0.8032433111675541,-1.3082684858329678,-1.6223637921644631,-0.8635082565799037,2.293212907452295,-1.1754560837760253,0.8250069552382008,-0.8205310680983058,-1.6449317623688404,-2.023603497524569,-0.1726516388425659,-0.1676074817215814,-0.903102158008038,-1.6501389609423398,-1.012341218356399,-0.7060537832907582,-1.3739146900062809,-0.9618968295167568,2
Superior and Subordinate,0.0961021325030083,-1.7418900202371337,0.4555540592606517,-0.7672202774364781,1.1763605617504502,-0.1490010029926065,0.4944961007018563,-0.639565889425646,0.6804779416495568,1.1465752207728022,0.1165833536559046,-1.2319025643761985,-0.7931951537246955,0.5489215519677778,0.8761805257626409,-0.4665118140773456,1.0055374509917656,-0.5698073297427522,-0.2568611374547878,-0.406574786813609,0.189096371613957,0.8929061937999112,0.3732678322791258,0.3027659815770483,0.7974831190836209,1.286457452339911,-0.6735507671812521,0.3917745406348281,0.9194083512270618,0.8284744872127053,-0.1956306483839081,-0.1138831341684002,0.2430145794893725,1
Aunt and Niece/Nephew,0.7129334489926771,-0.947072022533175,0.5403598771696011,0.7890854231507692,-1.100698106173855,0.9649348912302368,0.1289094001648497,1.5003140036298928,-1.0600705168107696,-1.2594664683375842,-2.026816640614518,1.791754547939571,1.293061905725715,0.5637295816187579,-0.9827385081180666,-1.1810396249760804,-1.1550623202367631,1.050675281467652,1.7386885965094094,-0.7611355124846058,-0.2828541016788189,-0.757567605084746,-0.3684114845511084,0.447636061705255,-0.1619921394104923,-1.366468167991865,0.4599567858197411,1.2761715941747689,-1.5672503379691334,-0.8462882552251653,0.8601163486029098,0.8401982675363208,1.2562355370627087,0
Uncle and Niece/Nephew,0.6856054792747803,-0.0180180963281036,1.3616372716562666,1.3956633688139504,-0.6382919944281342,1.27436152851436,-0.0467621312620229,1.096985856247697,-0.8996288991314658,-0.7655108897784982,-0.36160299677188,1.761517976816413,1.204074637787072,0.5834736211533982,-1.2376759756217066,-1.3658313002085116,-1.261128127187982,1.080964676069716,1.4872493300299203,-1.055890814548447,0.1634468893697844,-0.6531072380667297,-0.6986111804001852,0.8983429776596751,0.9236292686067512,-0.9068333802832202,0.8199548927814294,1.4926063161381296,-0.8745382745501931,0.4726467090743476,0.7946774851533136,0.6187869717820607,1.850867141507292,0
Between frenemies,-2.226775293518213,0.1374129787784484,-1.5663951782527157,-0.0774544992252037,-0.774293792000405,-1.3102609711530215,-1.0912955613677562,-1.3043104286296352,-0.7878059534761932,-0.1082312892764888,-0.4291116580087435,-0.6098931012712402,-1.023902885417474,-2.402812358460919,-0.5330571418269241,0.6791965723637288,-0.6679452809052403,-1.228601662337636,-0.6759265815872693,1.9600112616409968,-0.3495427555136675,1.0234816525724315,-2.3902496222116096,-2.0366175345673247,-1.744552924337038,-0.8914093941185006,-0.8778740170784266,-1.097147081147603,-1.2771401575629102,-1.202116033363523,-2.045369188559159,-2.472919848931972,-1.1066426805986618,2
Between half-siblings,-0.4543612575289116,0.6319663995720226,0.7635330821931516,0.9104010122834054,-1.092926574884011,0.3460816166619906,0.4850003422463495,0.4322413170437077,-0.1265920139493652,-0.2914728748709882,-1.0310638873707785,1.27773283884589,1.316132678894993,-0.1618638712792665,-1.103125645550341,-1.0742711015084534,-1.3082684858329678,0.4789629583537011,1.3675163459920685,0.1658485534263137,-0.1956458620486319,-0.083798237818541,0.0329081457885387,0.2598415133909131,0.2240915303421188,-0.6600496016477062,-0.8632794992286285,1.4142420202548438,-1.2771401575629102,-0.1583545508243403,-0.4617486930789325,0.1035025016630548,-1.15358728094955,0
