"","PC1","PC2","PC3","PC4","PC5"
"a person and their family friends",-2.49085656042358,-2.3453608363802,-1.12451794479446,0.416031230376464,0.104217638065565
"manager and staff",3.25396849832713,0.342472669725491,0.0785071783812147,-1.60320387974512,0.758339391790487
"union leader and union member",2.70562808078058,-0.876545074155793,-0.706358941231215,-0.729633515917057,0.112428706266719
"manager and assistant",1.04816312093822,0.828492890664901,-0.0414233169357183,-0.952707052146067,0.732386741504597
"entrepreneur and investor",2.79705452278482,0.731130192792137,-1.26521509366262,-0.832596304891347,-0.520739677573939
"drug dealer and addict",1.77547267618559,1.44688864172629,-0.772836191050387,-1.9143848763507,-1.33278454525357
"victim and witness",-0.177192241240742,-0.0524335995190471,1.41202972165322,0.44825765614602,-0.561323319393603
"criminal and police officer",5.43673149581627,-0.989250922414914,3.76896389196815,1.00482215650859,-0.454785782384581
"criminal and prosecutor",4.27717522257754,-0.518464725512713,3.34531325473796,-0.0276153283584695,0.403876752121525
"customer and businessman",3.67531277054581,-0.114329486031237,-0.690163672998166,-2.93688185216553,0.541137307263175
"representative and citizen",3.01149748931899,-1.74048420305804,0.463737574079195,-0.556065697263744,-0.570256756518209
"officer and soldier",2.36881197701558,-1.26942952651456,1.26309172343275,0.969802959833925,-0.646769631711959
"religious followers",-1.31223987114973,-3.25070383572745,-0.188214994704723,-0.873045928297584,0.529440883493092
"reader and writer",0.64946014233852,-1.40133215370162,-0.66795676899389,-2.3751074896934,-2.06612192759405
"reviewer and writer",1.79255333754112,-0.037457418909538,0.997461227766741,-0.415630720082627,-1.91472565563366
"sugar daddy and sugar baby",0.225502232539291,3.21845311785339,1.14743167311887,-3.15683982263314,-2.70633832885481
"director and performer",1.18905039277699,0.497243324757988,-0.0328926494587008,0.987628794528142,0.630472251655548
"psychologist and client",1.10644119538886,2.85197903807503,-0.0652433608118246,1.05664698742447,-0.889129757469118
"judge and contestant",2.76032133825142,0.129554151875109,0.760957221565186,0.427351242661961,0.581307832960129
"man and god",-0.426846302158987,0.174338850180027,1.21646819316764,-0.695252248320214,-1.32043072045536
"university student and administrator",2.81474204182828,-0.54599562533651,-0.805736151951267,-1.50605812564125,-1.19391809003025
"student and dorm resident assistant",1.23724334945482,-1.88967264781586,-1.2281368535524,-0.219799220655612,0.0203764853893509
"athletic trainer and trainee",1.72757316684016,2.46669020350083,0.109395575861386,-0.26926281953628,0.0862846924725221
"researcher and research subject",2.23587529004291,-0.806372024952607,-1.04028510522118,0.381576791814684,-0.834396934391108
"peers",-2.92630796382276,-1.01526773580139,-1.12804892196154,-0.384425541485103,0.884961789043482
"classmates",-0.748360859379724,-0.381567799343529,-1.74492285206027,0.623429490856602,1.89583789892489
"bride and bridesmaid",-2.57196711913652,0.972044291629841,-0.315306275006772,1.0353363800527,-0.734225816819323
"guest and host",-1.62707030517725,0.30325181825564,-1.4558089826561,1.33145181486611,1.17753467246443
