"","Formality","Activeness","Valence","Exchange","Equality"
"Coach-athlete",0.446848418069529,1.19606437249078,0.214702380628188,-0.543054152895812,-1.03853197744645
"Team captain-Team members",0.321531713423919,1.24113281765591,-0.208016560908618,-0.33126937008538,0.234036701608166
"Club Member-Club President",0.220481598563657,0.933448517166787,-0.265272308757006,-0.133349929680182,0.099066640079367
"Politician-Supporter",0.667850512421535,0.0416820591433769,-0.18746614232236,0.440259302912868,-0.093681506927298
"Leader-Follower",0.481565250934713,0.442914410518959,-0.244648340975631,-0.2779339271399,-0.534196570188168
"Representative-Citizen",0.953362913222117,0.262841504057879,-0.144428672432657,-0.544070160461806,0.0852981081681311
"Officer-Soldier",0.878271410561704,1.7052622773394,-0.492870352867439,-1.04771427456755,-0.708340847576512
"Babysitter-Infant",-0.738300641875602,0.447367222864424,0.47910072828964,0.762592726373331,-2.32877116518435
"Religious leader-Congregant",0.0844750460024703,0.403666769547714,-0.740749637356074,0.104289748610686,-0.133049734912149
"Religious followers",-0.11995622361365,-0.370948096234331,-0.432139032183983,-0.422527819800667,1.4676205226062
"Prostitute-Customer",-0.580520695441363,-1.66606748522259,-1.50018149838921,3.35941971310936,-0.372754717812604
"Guide-Tourist",0.649404767615389,-0.549775769380729,0.594881956613325,1.94946586002186,0.100180145741469
"Athlete-Referee",1.04181937431005,0.38044341843334,-1.02531818895456,0.225649922226352,0.465362539271711
"Slave-Master",-0.545185373250295,-1.41194999667607,-1.72534022176682,1.42323901937826,-0.718581800455924
"Reader-Writer",0.12402575970554,-0.402304440040066,0.994329969845767,0.921033926377229,0.11274770711498
"Reviewer-Writer",1.03130632730128,-0.512808670160946,0.757397355151463,-0.0251668472052643,-0.54666479313725
"Performer-Audience",0.978484035368184,-0.282715518855277,1.12091089304987,-0.196242939039456,0.0693349847732697
"Dealer-Buyer",1.28886402588823,0.455283931979427,-0.676356492131382,2.81436952836307,0.779638488501134
"Sugar daddy-Sugar baby",-1.64923895344648,-1.1077740481201,-0.75612245878663,3.1788661443334,-0.995085721916857
"Director-Performer",1.15134068920057,0.559534330589389,0.189072749069384,-0.0493508663047557,0.118919212630341
"Psychologist-Client",0.675375714323401,0.884758247742574,0.511229554800725,0.564876248927617,-0.876262506411871
"Judge-Contestant",1.56831921749624,0.262682729325781,-0.210887525632172,-0.859581370169517,-0.547599026475997
"Man-God",-1.10085892911765,0.868853467151791,-0.320083911094879,-1.36822026138759,-2.88866785394908
"Co-workers",0.959003730050474,1.04757155350243,-0.276213611763011,0.129657216601234,1.41656165933961
"Sports rivals",0.43557788641487,-1.02559734911831,-1.37918080494571,-1.02493384468376,1.52986107248262
"Romantic rivals",-0.499317740623062,0.233744498555308,-2.23824830559681,-1.2122926185923,0.0949479739228146
"Criminal and their accomplice",-0.0817616714054847,0.178540171871555,-1.38111508156495,0.981140179435401,0.20413336991147
"Diplomats",0.873647034440521,0.265267818456635,-1.16177428784875,0.3287566337649,0.771638509254112
"Principal-Teacher",1.02319557156166,0.917890458904676,-0.00205240911886084,-0.15370755157456,0.17573310001985
"Professor-Teaching Assistant",0.853001382446099,0.720726008289674,0.206484556056616,-0.382888413864717,-0.119357827639187
"University student-Administrator",0.685341643054249,-0.452565737736396,0.566624411723397,-0.433092559820782,-0.793150967955506
"Student-Dorm Resident assistant",0.682468112366159,-0.200874925354679,0.496794000323398,-0.0748269436218798,0.880747647526459
"Mentor-Mentee",0.805554926427856,1.2308623106386,0.339280706123995,-0.13365177795989,-0.433107844093763
