rel,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Coach and athlete,1.1869358293519727,-0.8534108798898504,0.9972890575673229,-0.10851147795499719,-0.4329059747484518,-0.013460680565983896,0.3043801325918541,0.18833621660202762,0.8214156374313598,1.2666470237534297,-0.2509952325017874,-0.16210425825727198,0.09738159622386101,1.615988693996164,0.6197559088622386,0.4983710315081557,1.6913335075404916,1.182649558557697,-0.9131967080561694,-0.22033733308280082,0.0007389408545710827,-1.1425229691280157,-0.8963501720984465,-1.792726704761177,0.015399546828112412,1.3570436788139335,1.6288463800085673,-0.4193945594800279,1.5828497904389376,0.95054321153985,-0.7682894537839305,0.21838364194469254,0.19270613110482493
Team Captain and Team Members,1.0077347838118156,-0.44394665550976004,1.105771009613156,-0.6240424791903832,-0.6068547845066768,-0.3168503299796065,0.36658738212646763,1.7646124506619394,0.9720135456035183,0.8839612597412038,-0.30200050229386566,-0.391468065561238,-0.5269444209656332,1.4113688653355685,-0.5882383500084409,0.9345746957868105,0.9517015198862265,1.0150576725265072,-0.904931651777641,0.1527925169270106,0.7999509299932912,-1.2110395698409313,-0.3787888416978748,-1.3907820825607509,0.30407560398709643,-0.332344856944082,1.876394435700581,-0.4409533137228227,1.5828497904389376,0.8117577268292675,-0.6094120353881379,0.21838364194469254,-1.9355186337684245
Club Member and Club President,-0.9784101375915937,-1.3038215267079494,-0.4749660059118437,-1.4923052181131389,1.5608149986342803,-1.0423473177078337,-0.4887622989744624,-0.9694596013357836,0.23575710565074387,1.6198954213031764,0.3950715181978703,-1.0612103828888189,-1.0732296860064405,-0.011669033985845175,0.4925986184547988,0.7387281526412919,0.6428442063602697,-0.7979818218109078,-0.9131967080561694,-0.2840424294259393,1.42372614102839,-1.2208276556570623,-1.6021156226446807,-2.094185171411497,-0.4287174641857091,-0.24526297365758637,-0.8218793713423689,-0.7643346273647444,-0.021108492208192938,0.025306646802633493,-2.7202120226465256,-0.34534113031215713,0.5886549245696155
Politician and Supporter,-0.9933435580532739,-1.0990894145179044,-1.311826778836844,-1.6144046657741513,1.2262980567915402,-0.9895839004185081,1.315247937529317,-1.3600413230497443,-1.4542860860590339,0.7662117938912879,-1.4921234641090249,-0.9144175462142806,-1.4208657637596818,-0.33720057958224703,1.7403295305778033,0.9345746957868105,1.3499648978539076,-1.5826165609569323,-0.9875822145629255,0.2620012535152484,0.7414720039587509,0.4920873621658346,0.7504358791760998,-0.6873789937100048,0.08201709848018564,1.1828799122409424,-0.9951630103267785,-0.48407082220841224,0.3996018770107265,-1.1081081450004568,-2.8336958929292346,-0.9925806836440957,1.4547929102738448
Leader and Follower,0.6642661131931812,-1.4676072164599854,-1.1568525616285104,-0.9496410062864169,-0.098389032905712,-1.1214924436418223,-0.17772605130139707,0.4673231606834285,-0.031972508877537865,-0.7498125789263751,-1.3051041415380713,-1.822698223137986,-0.8745804987188742,-0.5418204082428424,0.015758779426898947,0.8811620022016691,0.9435736958460696,-0.3256774157230098,-0.9875822145629255,-0.5570642708965333,0.39059844775150776,-0.21265481659558588,-0.07295714646117334,0.09138871180332127,1.1923096260147394,0.9738833923533528,1.1089954630553385,0.011780525375867767,1.162139421220018,-0.27539523673696187,-0.9725604202928068,0.6359575473201368,1.3558057119076472
Representative and Citizen,0.5895990108847822,-0.47124427046843315,-0.5369556927951771,-0.9089411903994127,0.39669604102154404,-1.1610650066088164,1.1441780013091307,-0.43938440758112324,0.4365543165469551,-0.6173444298452201,-1.2881023849407118,-1.822698223137986,-1.200932734977019,-0.5325195069400883,0.9614911268322338,1.0235958517620463,1.260558833412183,-1.6054699999611854,-0.9875822145629255,-0.19303514893574136,1.2775288259420385,-0.9467612528053988,1.197420664522048,-0.13470513818441854,-0.029012154273269742,0.5384739759208744,0.2673320737024917,0.29204433053219997,-1.9143051536933307,-1.6169882556059259,-1.6307668679325191,-0.2827050445058405,0.5391613253865167
Officer and Soldier,-0.6797417283579987,-1.7951785959640574,-0.8469041272118437,-1.5872714551828153,1.3467241558549268,-0.752148522616543,-0.7842467342638746,-0.9276115597235736,-0.78496204973833,1.1047415082097956,-1.1010830623697583,-0.14375515367295474,-1.0590404583430428,0.5463850441794151,-1.2001828100942458,2.5725639657311463,0.3258590687941563,-1.186490284883211,-0.9710521020058687,0.061785236436812635,-1.5099666483710585,-0.1049858726181467,0.726910364157892,-0.2854343715095784,0.9480452699571377,1.3047945488420363,0.4901253238253041,-0.052895737352516584,-0.6521740460365721,0.16409213151321597,-0.2235668764269272,0.30189842301978137,0.6381485237527144
Babysitter and Infant,0.9704012326576164,-1.6518661174310258,0.9585455032652398,0.14247072001486147,-0.707209867059499,0.771395151612735,0.2966042264000279,-0.6834979836523484,-0.20767006841172267,-0.6615004795389384,-0.4805189465661395,0.5168126113624673,0.8635998900473312,-0.2999969743712298,0.7310185379687487,0.9790852737744283,0.5859494380791724,0.9084082905066594,0.34309184628015554,-0.08382641234750389,-0.29165568931813146,0.580180134511012,-0.4258398717342904,-0.3231166798408684,0.6094060490590987,0.7561786841371136,-0.22776403768153583,-0.5864749048616875,1.3396266082342496,1.0893286962504325,1.047452470739414,0.849964173825052,1.9126087027175092
Religious leader and Congregant,0.16399652772690873,-1.3447679491459583,0.3308999235714891,-0.3323604653335201,0.3498636691635605,-0.3696137472689319,0.9109008155543317,0.06279209176539745,-0.29133557295181056,0.2436985391822877,-1.670641908381299,-0.64835552974168,-0.12964604639050042,1.0858373197391666,1.0012277800845588,0.2936223727651137,1.7238448037011185,0.39801481941167277,0.12820038303841563,-0.05652422820044444,0.5855282011999762,0.09077584370447009,0.43284142643029444,-0.10330321457501024,1.2089640139277578,-0.6545478251041159,0.24257726813329034,-0.12835137720229833,1.1818602197771548,0.16987486004282357,0.21334602416150253,0.8290854785562797,0.08134553294285256
Between religious followers,-0.7096085692813578,1.453237584117991,0.5168689842214897,0.37310301004121893,-0.8878490156545787,-0.25089605836794926,0.7320549731423193,1.3670560553459445,-0.676196893836216,-0.808687311851333,-1.9086665007443304,-0.3639444086847623,0.4166392186503069,0.8998192936840798,0.015758779426898947,1.1393233545298522,0.9110623996854428,0.20756949437622998,0.5083929718507246,-0.0019198599063258643,-0.3501346153526717,0.3746303323722646,-0.26116126660683575,-1.0956040006323127,1.369956430420268,-1.4295765863539271,-0.7661810588116658,-0.5002398878905083,-0.671894844593709,-0.20021976585206305,0.009075057652626294,0.08267212269767317,-0.5744446562332068
