rel,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Bride and Groom,1.4710597288595277,2.0183366059279924,1.9639932589416276,1.559991586767209,-0.35624969901922976,2.2517651995288994,0.6987758445988249,1.777415565319897,-0.48266350921762263,-1.6673924291979687,-0.07515147016807318,1.505668049621697,1.9584779576558695,1.2436168381978254,-0.94743798027413,-0.9321187025107421,-1.2589209907184313,1.8462749115922577,2.883450157976194,-0.9011655960857248,1.5200721207700505,-1.116155514950513,1.1734292365521155,1.6113880179688163,0.9675530403895993,-1.0734673124593732,1.7283059194176638,1.635996696247186,1.6586706931302149,1.5490535012431002,0.7524350080252894,1.4766763369662157,-1.2636248128341974
Man and His Mistress,-0.31147720788611577,0.303502832244314,0.3472191007193196,1.4489296420004123,-1.2017429776565145,1.5872707841021885,-2.3563413557036514,-0.723897919774217,0.49685274023816905,-0.7921008483186222,0.09530950721790239,0.45041211996558134,1.1469857051833612,-0.3932212943219993,1.159975089827148,0.5400538073709594,0.14470254985295894,0.7993803256963444,1.941183485652206,0.9572429356479173,0.9112768890363542,0.21333432905077837,-1.7980921624482913,-0.8887487937026025,-0.5756795304517063,-1.1174065639253146,0.11194622546168048,-1.1510358643932501,-0.07771454990764655,0.3568097238206957,-2.6274438444832247,-1.5544502298861573,-1.412048782655419
Man Wife and Man Mistress,-2.058907910748907,-0.9774798667451295,-2.066697831638475,1.0903850549837153,-0.8619642575655633,-0.9015144279724971,-1.685889350835795,-1.1835322271253914,-2.0118245552692096,0.6486104500659648,-0.7936921906564806,-0.30174630554795273,-0.5302887743989002,-2.024845644080303,0.18603632666068426,-0.8723973601567321,-1.4822925611849822,-0.8300419019782781,0.3490001825367332,2.401390323692527,-0.8470198657734664,1.9980899899720086,-2.0829307819047487,-1.937018507805354,-1.860187378399721,-1.0742875118200708,-1.9013484249393235,-0.7201442206399138,-1.521602570895313,-0.7600244915875941,-2.3412933095986137,-2.3218403460185186,-0.4350075492831511
Brother and Sister,1.5068824164950918,1.547084576518737,1.7393387696968725,1.429856392094129,-1.0087322611620995,2.0077513671803353,1.1904316926886573,1.402057318787257,-0.522041046884187,-1.416344788850275,0.037332415832281696,1.328832963443358,1.9413337551388445,0.7406523186240846,-0.9808889813868487,-1.0387251059842029,-0.9849969069357665,1.3799627898721263,0.28828132775690585,-1.0389409350703391,0.16885256038503393,-0.5034323615268053,1.6012179209283355,1.5509630096027265,1.5388818541347666,-1.2931635697890798,1.0257223307302779,2.0081303885796133,-0.11874306197942709,1.1424333139120877,0.9904345730315818,1.4799114093039152,-1.0904302208624623
Between step-siblings,0.1718220235856876,1.1094934063530004,0.40161015734580596,1.0066686597984658,-0.9500250597234848,0.891777083003911,0.3844384990987683,1.0766784404965661,-0.3673435774798264,-0.5667227947560691,-0.03295266143408533,0.684996183368317,0.7905291611835537,0.7746660442587707,-0.44052665571985444,-0.8966285605380722,-0.9721340239305719,0.4003006153065104,1.1737646266293882,0.3709184726839823,0.4209893978452464,-0.3454419940937749,0.19058856742968974,0.8121110107539189,0.6213515444833086,-1.0880072102171938,-0.4602171881801895,1.6635229437596848,0.24098907064993524,0.7347637841621558,0.4597097945385092,0.03128006987508126,-0.2753968468778264
Between distant relatives,0.7069292355132882,0.8519878331400857,-0.5113437281297681,1.0410763691464482,-0.6590741707755792,0.017434390351094155,0.3305102272367537,0.2102472517508813,-0.4400045100788448,-0.31356551037184005,-0.5926421246427589,-0.13046270369833574,0.48693390827790584,-0.09206327100174594,-0.1214555681831528,0.08033754076292408,-0.7237335599406794,-0.0017884938210770433,0.9138695285187635,-0.4872606911529553,0.6936592952368091,-1.1287842477360868,-0.49172671768650256,0.11076418951164867,0.2877667211683553,-1.0096089336622052,-0.6986900952153322,1.346345500831581,-1.742166687365113,-0.9950771934253927,0.009363312251154634,-0.5489897473291345,0.6788713951625182
Between close relatives,1.001066067080934,0.453106651104395,1.0828581415925482,1.6808314103922113,-1.005063061072186,1.6529343413298696,-0.21145913536202357,1.3972938892627311,-0.04388523236161789,-1.346743738079306,0.5047119849353578,1.1576014393078946,1.7390321654379515,1.2353327166989638,-1.0259191751924315,-0.670855312540506,-0.5758742410286101,1.657616262018569,1.7548752047465819,-0.4348490641377999,1.983877961788222,-0.2123974741501702,0.9931976402997692,1.0517690956596997,0.6460802227623298,-1.1545408646514024,0.3804426999293045,1.6208572601153135,-0.4595076483533834,0.8613306236132777,0.805212955474789,0.8945335831454371,0.8622539043090607
Between twins,1.2618552330678368,2.0127264627207393,1.8303167774634561,1.7752279138346438,-1.4228932213110743,2.274984508835422,0.9470217482245109,1.901376813652264,0.24500057224576707,-1.3279477323898194,0.469495833946428,1.29565945952782,1.7791232236316095,1.0696502867217312,-0.8350109469485428,-1.1324019864707946,-0.5028941368316442,1.8292634492830135,0.6890257693037664,-1.1240374679726006,1.0835018559083869,-1.161618952978579,0.8259293375133684,1.6222228470551505,0.9569550354128762,-1.0636880123895176,1.5024663056917724,1.7903402983708363,0.4479632610120435,1.6566110991822707,0.9861372064041071,1.3100336257964442,-1.9382913279659237
Between a person and their family friends,0.9377976895338156,-0.6641749460939215,-0.2735188330304565,1.2380595375677748,-1.043406202011781,0.6329084597663386,1.3298065157032783,0.21934107175224887,-0.4146477623390112,-1.149974992049436,-0.5154627244582293,-0.12101059857954426,0.4566458171644953,0.6254087338309063,-0.795621898301022,-0.25546330600324596,-0.8580278037232008,0.3338895011863382,-0.5270861507150616,-1.15189645195846,0.5227694056273504,-0.8133365437992875,0.23045417959378223,-0.1899023176341016,0.4270547865767173,-1.4302540343628167,0.067141824831669,0.8996695752878615,-1.275600572003386,-0.06418938987305356,0.43177691145992625,0.08772356881968135,1.564088198573608
Between a person and their deceased spouse,0.38061711723297265,1.7074411698593857,1.3344167784900474,1.5490642040084006,-1.044340180216486,1.807643137884109,-0.8426055388224798,1.001929238727083,-1.1188568521430549,-1.2850120192518841,-1.1867569318186322,1.7300743917551078,1.7285439474275373,-0.20761062801184138,-1.1170682048516443,-1.4062530130027662,-0.7499529122982194,1.3526797793375498,2.332482772011094,-1.3558242147349515,-0.6387478128119389,-0.9305131430025769,0.23735399708372118,1.4585395362151858,0.0012076775120223192,-1.3034385947472693,0.1262651576217871,1.5094818278724358,0.22358858561949285,-1.7039079974050038,0.6157348985917355,1.3726432212644035,-1.6983092789593364
