,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Between close relatives,0.678379007,0.16656113,1.147962426,1.349984237,-1.395233262,1.410209056,-0.745735417,1.273765863,0.104755826,-1.285686944,-0.028224008,1.49787543,1.514673198,1.006812027,-1.16993115,-0.834874934,-0.817345426,1.493352103,2.078427806,-0.501592622,0.939811865,-0.659881592,-0.385558994,1.036003949,0.353600515,-1.098884513,0.706588374,1.505332473,-1.382427133,0.665897119,0.587299543,0.792312628,0.749713751
Between confidants,0.925637097,1.606767629,1.327595957,1.552477258,-1.089865552,1.511616678,-0.804750672,1.564866449,0.788245984,-1.300914248,-0.997434441,1.740347821,1.151895693,1.055335878,-1.085849487,-0.783663879,-0.1189176,1.46782994,0.222883723,-1.12214451,0.332324421,-1.078417475,-0.234216425,1.100639592,0.734538091,-1.046178244,1.389363455,1.447405632,0.743072021,0.661565096,0.913221811,1.271591155,-1.098338886
Employer and Employee,0.181615027,-1.107911827,-0.72353709,-1.043542175,1.285572146,-0.627639595,0.715031154,-0.707123599,1.623383908,0.964570212,2.208415454,-0.930139597,-0.730943715,0.246425958,1.836965261,1.790243726,1.748925642,-0.327169756,-0.49158206,0.417124638,0.475751462,1.184218802,0.869192058,0.113435244,0.434707586,1.180030224,-0.239025874,0.076869891,0.364201796,0.642184997,-0.04237792,-0.008796479,0.418011996
Student and Dorm Resident assistant,0.110184912,-0.515476725,-0.399261185,-0.620268471,0.663141987,-0.909702519,0.676779044,-0.26004224,-0.597313979,-0.331235133,-0.618828271,-1.075178732,0.311890622,-0.382183197,-0.329636767,-0.023193213,0.784395493,-0.826293816,-0.806184095,-0.364582184,0.115227791,-0.224343503,-0.001497033,-0.525695658,-0.52569168,0.61198251,-1.103808506,-0.278814229,-1.2851468,0.641834226,0.354109027,0.147517493,1.33815585
Manager and Assistant,0.583679991,-0.969524477,0.276646659,-1.08568631,1.176411423,-0.550382603,0.392662651,-0.532741663,1.508379334,0.928128801,1.141236515,-0.24593414,-1.028762169,0.885148581,1.194214791,0.662480174,1.037010532,0.005155728,-0.467872921,-0.009351487,1.054690955,0.448691885,-0.02165383,0.024347753,1.091990227,1.404559759,0.165879238,0.126387599,1.111140678,0.641773124,0.197771042,0.623363903,0.036136865
Officer and Soldier,0.351892876,-1.831033385,0.891150474,-0.664639232,1.408283854,0.134109099,0.447719076,0.291731498,0.025774218,0.10026222,-0.318586637,0.150166649,0.491064861,0.508620784,-1.041777698,-0.58458039,-0.071829115,0.2392406,-0.602396513,-0.317192692,-1.047774539,0.890986988,1.443928612,0.563332026,0.875990812,1.247742016,0.175557202,0.835633828,0.021020719,0.605845118,0.765834187,0.996253514,0.980172804
Manager and Staff,0.28030493,-1.318825349,0.441472304,-1.152058389,1.370609696,-0.44984686,0.613266962,-0.649356093,1.641426691,1.528608235,0.315589992,-1.048264667,-0.75293972,0.557985975,1.345468413,1.451492762,1.037948497,-0.696146279,-0.568566616,0.544384203,0.806656366,0.5586576,0.987736582,0.498209602,0.55706289,1.146221246,-0.417768011,0.259583576,0.911736072,0.573187126,0.259387923,0.174383957,0.248702665
Uncle and Niece/Nephew,0.733845574,-0.674831856,1.180334955,1.197792865,-0.968664155,1.307885246,0.065828512,1.103973317,-0.988404077,-1.166796839,-0.504173253,1.656979939,1.359215929,0.421609723,-1.125472823,-1.333276393,-0.659142068,1.275074122,1.614655771,-1.131231698,-0.615553376,-0.633759629,-0.169309608,0.778273503,1.012096124,-1.209414946,1.000697946,1.56303215,-1.494066932,0.555793281,0.703791001,0.780371978,1.932647548
Professor and Teaching Assistant,0.750659481,-1.01958322,0.244851889,-0.700736989,0.833525465,0.397076285,0.296747733,0.16329081,1.150249909,0.136894655,0.534001958,0.259979957,-0.126218674,0.989222131,-0.033697166,0.02888485,0.506991071,0.02490331,-0.477721332,-0.728116545,0.334255008,-0.237760121,0.333289054,0.447714499,0.79332727,0.899824125,0.334075587,0.235089819,1.032007062,0.54733651,0.570413729,0.501579108,1.33125225
Psychologist and Client,0.44017456,0.255883436,-0.564598075,-1.03436777,1.06914282,-0.061230418,-1.696536738,-0.810531224,0.804686428,0.562087838,0.014496012,-0.571694362,0.108558058,0.704485692,1.391011367,1.222406409,1.649338273,0.23525074,-0.539322181,-0.426527509,0.790125405,-0.752291968,0.147296784,0.100215809,0.305171059,1.137138813,-0.08750747,-0.563533429,1.297101404,0.545773074,0.269823299,0.702230955,-0.323708736
