"","V1","V2"
"mentor and mentee",0.363773275337988,0.513296568179617
"customer and businessman",-0.544432033178321,0.0966954975173595
"superior and subordinate",-0.544432033178322,0.0966954975173596
"victim and witness",0.148737051078276,-0.187750412867109
"leader and follower",0.363773275337988,0.513296568179617
"bride and groom",0.181804631385002,-0.323840538388186
"union leader and union member",-0.544432033178322,0.0966954975173596
"foster parent and foster child",0.125847286308819,-0.132196436455657
"police officer and civilian",-0.544432033178322,0.0966954975173596
"political opponents",0.148737051078276,-0.187750412867109
"teacher and student",0.363773275337988,0.513296568179617
"politician and supporter",0.363773275337988,0.513296568179617
"siblings",0.181804631385002,-0.323840538388186
"second cousins",0.172231879559827,-0.274159659068546
"manager and staff",-0.544432033178322,0.0966954975173596
"drug dealer and addict",0.148737051078276,-0.187750412867109
"team captain and team members",0.363773275337988,0.513296568179617
"life partners",0.181804631385002,-0.323840538388186
"soul mates",0.181804631385002,-0.323840538388186
"close friends",0.181804631385002,-0.323840538388186
"salesperson and customer",-0.544432033178322,0.0966954975173596
"competitors in sports",0.130882811670146,-0.142756595006669
"boss and secretary",-0.544432033178322,0.0966954975173596
"bully and victim",0.148737051078276,-0.187750412867109
"director and performer",0.363773275337988,0.513296568179617
"confidants",0.181804631385002,-0.323840538388186
"playmates",0.172231879559827,-0.274159659068546
"uncle and niece/nephew",0.363773275337988,0.513296568179617
"step grandparent and step grandchild",0.125847286308819,-0.132196436455657
"guide and tourist",-0.544432033178322,0.0966954975173596
"fiance and fiancee",0.181804631385002,-0.323840538388186
"criminal and prosecutor",0.148737051078276,-0.187750412867109
"long distance lovers",0.172231879559827,-0.274159659068546
"fraternity brothers",0.181804631385002,-0.323840538388186
"chief and deputy",-0.544432033178322,0.0966954975173596
"adoptive parents and adopted kids",0.125847286308819,-0.132196436455657
"master and servant",0.148737051078276,-0.187750412867109
"a person and their family friends",0.172231879559827,-0.274159659068546
"owner and manager",-0.544432033178322,0.0966954975173596
"groom and groomsman",0.181804631385002,-0.323840538388186
"strangers",0.121184874924875,-0.123091004097768
"a monarch and their minister",-0.544432033178322,0.0966954975173596
"step siblings",0.181804631385002,-0.323840538388186
"business rivals",0.130882811670146,-0.142756595006669
"interviewer and job applicant",-0.544432033178321,0.0966954975173596
"student and dorm resident assistant",-0.544432033178322,0.0966954975173596
"manager and assistant",-0.544432033178322,0.0966954975173596
"a person and their significant other",0.181804631385002,-0.323840538388186
"ex lovers",0.130882811670146,-0.142756595006669
"chef and customer",-0.544432033178321,0.0966954975173596
"professor and teaching assistant",-0.544432033178321,0.0966954975173595
"grandparent and grandchild",0.125847286308819,-0.132196436455657
"business partners",0.121184874924875,-0.123091004097768
"peers",0.121184874924875,-0.123091004097768
"twins",0.181804631385002,-0.323840538388186
"performer and audience",0.363773275337988,0.513296568179617
"celebrity and fans",0.363773275337988,0.513296568179617
"cohabitants",0.121184874924875,-0.123091004097768
"pen friends",0.172231879559827,-0.274159659068546
"judge and contestant",0.363773275337988,0.513296568179617
"casual acquaintances",0.121184874924875,-0.123091004097768
"diplomats",0.121184874924875,-0.123091004097768
"facebook friends",0.172231879559827,-0.274159659068546
"club member and club president",0.363773275337988,0.513296568179617
"victim and criminal",0.148737051078276,-0.187750412867109
"man and his mistress",0.363773275337988,0.513296568179617
"sugar daddy and sugar baby",0.363773275337988,0.513296568179617
"companions",0.172231879559827,-0.274159659068546
"criminal and hostage",0.148737051078276,-0.187750412867109
"fans of opposing sports teams",0.130882811670146,-0.142756595006669
"reviewer and writer",-0.544432033178321,0.0966954975173596
"close relatives",0.0908818279835336,-0.0759866781966055
"lawyer and client",-0.544432033178321,0.0966954975173596
"athlete and referee",-0.544432033178321,0.0966954975173596
