,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
216,1,50,74,100,1,14,100,100,25
217,1,3,42,100,2,2,100,100,3
218,0,50,72,100,0,12,100,90,29
219,3,13,7,99,3,2,100,100,3
220,0,57,73,100,0,0,100,100,1
221,4,43,44,100,3,3,100,80,8
222,1,46,50,100,1,1,100,100,1
223,5,50,50,98,5,5,99,99,5
226,1,56,52,99,2,1,99,99,2
227,6,53,21,99,5,5,97,99,2
228,0,50,83,100,0,0,100,100,0
229,1,51,48,100,0,0,100,100,0
230,0,50,70,100,0,0,100,100,0
231,3,67,66,99,4,5,99,99,3
232,4,46,89,100,3,3,99,99,4
233,6,62,55,100,4,7,100,100,5
235,5,63,64,100,5,5,99,98,5
236,0,63,50,100,0,0,100,100,0
237,3,13,2,100,0,0,100,100,0
238,5,50,67,100,1,1,88,100,3
239,2,10,10,100,1,1,100,100,5
240,1,42,43,100,1,1,100,100,7
241,16,53,63,100,0,0,100,100,0
243,0,51,51,100,0,0,98,99,0
244,1,50,50,100,1,2,100,100,1
245,2,40,27,87,12,18,83,79,17
246,10,54,44,99,6,24,90,99,46
247,9,11,50,100,1,1,100,100,5
248,6,48,71,95,6,6,65,95,21
249,1,42,29,100,4,9,77,90,4
250,0,52,53,100,2,1,98,100,10
251,5,50,59,99,5,5,99,98,6
253,5,49,13,100,3,4,100,100,6
255,4,63,57,100,3,3,100,100,3
256,0,52,51,100,0,0,100,100,0
257,0,35,70,100,0,0,100,100,0
258,0,48,25,100,0,0,100,100,0
259,12,41,47,99,5,11,93,96,15
260,10,51,71,100,7,8,100,100,4
261,2,8,31,100,1,2,67,100,1
262,7,56,64,98,6,7,96,97,37
263,2,53,98,100,1,1,100,90,1
265,4,49,84,98,6,17,75,97,44
266,5,4,2,96,4,2,95,95,4
267,5,50,59,100,1,1,100,100,2
268,5,20,39,99,4,7,98,99,14
269,0,48,73,100,7,5,100,100,14
270,5,50,50,100,4,29,93,100,5
271,0,22,33,100,3,8,61,96,17
272,0,35,34,100,0,0,100,100,0
273,0,45,53,100,0,0,100,100,0
274,0,50,94,100,0,0,100,100,0
275,2,35,93,97,4,4,98,97,5
276,0,0,0,100,0,0,100,100,0
277,5,5,44,99,2,1,99,99,1
278,2,52,69,100,3,4,72,100,5
279,1,53,52,100,10,20,77,99,45
280,1,50,68,100,1,1,100,100,1
281,0,50,50,100,0,0,100,100,0
282,1,50,50,91,3,7,82,90,30
283,1,50,50,100,1,10,75,93,35
284,6,53,53,100,5,5,100,100,4
285,1,53,28,100,1,1,100,100,0
286,1,50,50,100,1,1,100,100,1
287,5,5,21,98,5,5,65,97,5
288,5,34,27,87,5,6,92,92,5
289,3,46,53,100,7,8,100,100,5
290,1,53,53,100,0,0,100,100,0
291,1,50,50,100,1,1,100,100,1
292,3,25,40,100,1,5,78,98,20
294,3,46,28,100,2,5,100,100,7
295,7,45,47,99,4,4,99,99,5
296,3,23,48,100,3,8,100,100,24
298,3,52,87,100,8,8,100,100,7
299,0,59,46,100,3,8,100,100,38
300,0,51,51,100,0,0,100,100,0
301,5,6,51,99,5,2,99,99,3
302,2,4,29,100,1,4,100,100,8
303,9,8,7,93,4,5,84,93,10
304,1,41,50,100,1,1,100,100,10
305,0,46,44,100,0,0,100,100,0
306,3,51,50,100,3,3,100,100,5
307,3,50,50,97,2,2,100,100,2
308,0,47,47,100,0,0,100,100,0
309,0,50,50,100,0,0,95,100,18
310,6,54,55,98,5,7,97,97,27
311,5,60,72,99,5,7,90,93,8
