,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
109,96,40,91,5,1,1,100,100,1
110,98,50,50,5,4,5,100,89,33
112,72,42,39,8,10,14,90,88,13
113,100,100,62,10,5,14,76,100,3
114,100,53,3,2,1,2,100,100,8
115,100,33,51,0,0,3,99,100,10
116,99,33,1,2,6,11,82,100,36
117,97,43,15,7,11,10,86,87,15
118,100,55,29,6,6,10,97,96,21
120,100,49,47,47,3,3,100,100,3
121,76,89,41,14,6,6,100,100,6
122,60,50,59,4,1,2,100,100,19
125,97,91,73,2,2,1,98,98,8
127,100,50,2,3,2,2,100,100,6
128,94,94,16,6,2,2,92,99,6
129,100,30,30,4,1,5,100,100,21
130,99,90,47,6,3,11,100,100,17
131,76,61,21,9,4,6,100,99,2
132,54,51,16,25,13,13,89,100,1
133,99,5,6,6,3,4,97,98,4
134,100,50,100,5,7,6,100,100,23
135,100,43,44,1,2,2,100,100,2
136,100,85,12,2,3,8,99,100,17
137,99,98,97,1,3,2,100,100,14
138,100,86,50,1,1,5,68,100,26
139,100,50,50,1,1,1,100,100,1
140,81,95,56,22,6,6,91,98,5
141,98,46,28,6,6,6,97,98,8
142,77,61,18,6,0,0,100,100,0
143,79,40,37,43,11,19,82,80,31
145,85,68,81,6,4,4,97,96,4
146,100,31,23,5,2,2,100,100,3
147,100,100,54,0,1,2,100,100,3
148,56,31,71,43,3,2,100,85,2
149,100,33,21,0,2,2,100,78,2
150,90,10,6,21,1,1,100,100,3
151,91,29,36,12,3,6,76,99,16
152,90,50,90,5,1,1,100,100,15
154,99,48,56,5,5,9,98,98,15
155,100,62,75,0,0,0,100,100,0
156,87,50,51,10,5,12,61,99,22
157,100,60,17,17,3,3,100,100,10
158,100,51,50,3,7,7,100,100,22
159,90,51,55,5,1,1,100,100,8
160,100,53,54,5,0,7,65,90,29
161,100,90,50,1,0,0,85,100,25
163,75,63,79,5,7,8,95,100,9
164,90,53,51,5,4,8,100,96,7
165,94,62,36,6,3,4,98,95,4
166,100,50,57,2,3,3,100,100,3
167,90,85,50,2,0,2,99,100,10
168,100,100,2,2,1,12,83,100,48
169,100,66,63,3,2,1,100,100,2
170,100,66,52,0,0,0,100,100,0
171,90,42,51,5,0,18,99,68,11
172,77,67,30,16,5,6,100,98,4
173,100,99,20,6,0,0,100,100,0
174,100,99,49,8,3,3,100,100,1
175,96,49,41,2,3,3,100,100,2
176,99,47,36,6,3,13,91,83,22
177,99,99,99,4,3,30,74,100,42
178,100,50,35,1,0,0,100,100,1
179,80,50,50,40,1,5,70,90,30
180,100,50,49,0,0,0,100,100,0
181,89,59,36,11,1,1,100,100,14
182,90,81,33,26,6,10,88,95,28
183,100,100,21,5,1,1,99,100,2
184,90,64,9,10,8,9,87,97,20
185,98,74,55,1,1,8,77,100,27
186,100,100,49,4,2,6,94,100,26
187,100,46,46,2,0,0,100,100,0
189,100,80,2,3,1,3,100,100,21
190,94,58,37,3,2,7,91,97,29
191,100,88,59,0,0,15,76,100,36
193,100,100,46,3,1,2,100,100,4
194,100,100,20,3,5,16,80,100,44
195,96,92,6,6,0,11,90,79,9
196,60,37,3,3,3,3,100,100,20
197,65,67,34,27,1,1,100,100,1
198,100,47,43,0,2,1,99,99,1
199,100,74,59,0,1,7,82,100,29
200,100,52,53,5,0,0,99,76,4
201,97,24,53,4,2,2,100,100,5
202,90,49,13,14,3,2,100,100,11
203,100,66,80,0,0,5,85,100,29
204,100,70,50,1,1,1,75,100,10
205,100,74,76,3,2,4,71,100,5
206,84,90,26,4,2,6,69,89,23
207,100,74,80,17,12,22,85,99,30
208,100,82,83,44,1,1,100,100,1
209,100,19,19,5,2,5,72,100,20
211,100,71,25,0,0,0,100,100,0
212,80,35,26,3,2,8,51,96,22
213,100,48,62,5,2,4,64,100,15
214,90,47,42,1,2,11,53,92,31
215,74,47,9,4,0,0,98,100,0
216,100,42,11,0,0,0,100,100,0
217,71,72,61,1,24,20,72,72,5
218,100,71,47,0,0,1,95,100,3
219,95,76,5,5,3,2,96,96,5
220,60,42,53,9,6,13,100,100,32
221,100,62,55,1,1,1,100,100,1
222,100,10,26,1,0,0,100,100,0
223,100,60,50,5,1,5,55,100,25
224,95,47,6,6,1,1,98,98,2
225,93,95,9,9,5,5,99,99,6
226,100,76,49,13,1,7,100,100,14
227,95,81,37,12,7,26,76,83,27
228,97,50,49,0,1,2,99,99,1
229,74,62,15,7,1,4,100,81,16
230,100,100,50,3,2,2,100,100,2
231,79,7,1,14,5,12,70,87,35
232,100,63,31,4,1,4,100,90,18
233,100,100,23,32,3,10,83,100,23
234,99,41,28,24,8,13,100,100,9
235,100,18,12,14,20,18,100,100,20
236,100,50,50,0,0,0,100,100,0
237,100,74,80,4,3,11,61,89,27
238,96,70,14,1,5,13,93,100,30
239,100,75,18,0,0,0,100,100,0
240,100,61,30,1,0,0,100,100,0
241,100,88,25,0,0,15,83,100,2
242,98,19,13,16,9,12,99,100,8
243,67,31,25,15,12,29,73,100,31
244,100,49,50,1,2,5,51,97,15
245,100,55,45,1,1,11,69,100,25
246,61,55,49,1,5,5,100,100,3
247,100,38,28,12,9,13,100,100,21
248,100,50,50,2,1,1,100,100,1
