"","PC1","PC2","PC3","PC4","PC5"
"foreman and laborer",2.45791489871611,3.01831891765239,0.39436154927835,0.616040257977609,-0.237901866087854
"owner and manager",1.78259455659353,2.67696977803845,-0.763585335605553,0.409222859190468,0.729901595099731
"chief and deputy",1.56919407236349,2.43225478389829,0.110727664600037,0.934371453784392,0.95109106331381
"supervisor and subordinate",1.86776856783919,2.37182416670186,-0.438518851257233,0.827343672475301,-0.0419326916341983
"boss and secretary",2.30789976575032,3.16151114586686,-1.16863914356269,-0.396533096094304,0.80248788459518
"intern and employee",2.22835952593876,3.03046430426259,-0.812023545299785,0.873594416288603,0.285164657443395
"lawyer and client",3.02433576949345,3.25127085039418,-1.90340339245994,0.17909093471428,0.229972077904936
"judge and lawyer",3.161678748154,2.60594585419228,0.427095648268564,-0.0702418067813407,0.174282215255749
"victim and criminal",1.52895036647778,-0.411869405297095,2.19496390615707,-1.43203595027447,1.16576352915939
"criminal and hostage",3.70225057551271,-0.000586235352602937,3.17781093732926,-2.85030441046624,1.19908537633106
"defendant and plaintiff",2.31357751310537,0.999415972130365,2.8931915210377,-1.52940583571062,0.777533679175061
"police officer and offender",2.9118121602034,-0.0170867941667779,1.62767263505632,-3.33326126330477,1.82438895094324
"police officer and civilian",2.61012119113789,1.24443994533556,-0.136928805755362,1.04024470143666,1.4435105560985
"parole officer and parolee",2.98543628520942,1.11467992476262,1.73048681681772,-2.77883539897239,1.02889929169759
"consultant and client",3.3187702517624,2.24367694948944,-1.39544328326899,0.468370400890708,-1.36677702061174
"chef and customer",3.76944872200193,2.2648351880002,-0.327520135475921,-0.0645849220053045,-2.62909375482681
"customer and server",3.65145275117547,2.69362966368793,0.0399411993455455,0.566992292057954,-1.8536152053041
"doctor and patient",1.40123940996697,3.31802643655642,-2.18310812111233,-0.00617903057985181,1.15250048589766
"doctor and nurse",0.959104307534708,3.26776441941472,-1.57104595486577,0.258339665506754,1.30627548381955
"patient and caretaker",1.26041371418406,2.94071531914586,-2.6000900104288,-0.324100525033556,1.35806891976585
"driver and passenger",1.32046626096084,3.40241733903386,2.04786182453262,0.0904549448433508,-0.212976830498271
"coach and athlete",0.676103810485809,3.2875639774549,-0.339304269266487,0.250395305657157,1.17303453643129
"team captain and team members",-0.00740260801637648,3.00819562340711,-1.07551742125105,0.46585030230697,1.26235123050005
"club member and club president",0.935257198840299,2.47792926137412,0.588412069564651,0.486022854462827,0.719970909880702
"politician and supporter",2.59034831470027,2.51682559088309,-0.229008747463584,0.957321631522757,0.288335958390221
"leader and follower",1.16040068588481,3.28575492708604,0.0787423047814946,0.141887127146786,1.08248156756616
"babysitter and infant",0.996837700860203,3.30264002231708,0.638449413389212,-0.192669057247004,0.358224184188039
"religious leader and congregant",0.580232153810955,1.95158822942665,0.780823948568779,0.622799305269802,1.04564037418057
"prostitute and customer",4.01783449845815,2.46083026005892,0.223480878227102,-1.69487955396209,-3.326748977668
"guide and tourist",2.71975812964801,2.96136014319511,-0.931490378023534,1.03443554313966,-0.0310867004588799
"athlete and referee",0.711226062256975,2.801012793208,0.661711383780021,-0.6882070921598,0.138975186940613
"slave and master",2.94969758412702,0.844267986861363,0.918098377124484,-2.38846120177459,3.01973522450554
"performer and audience",2.6771805057347,3.43265325642508,1.04899525621361,1.40011058679107,-0.731033031392936
"dealer and buyer",4.06432654729471,1.61078152486979,-1.41524190414299,0.185012101362976,-2.75099254317822
"co workers",0.152746118369576,2.40732371663986,1.17013675151873,0.587507443687946,-0.0158735968518702
"sports rivals",0.370490449130791,-2.44358376816957,3.51148998452985,1.6925292400123,0.687544714304673
"romantic rivals",-1.45434439225838,-1.08963907796032,3.02911955427877,-2.53082483758755,0.545093042745042
"criminal and their accomplice",-0.177025928568814,1.55923054255731,1.90829359327523,-0.61209166615465,-0.896455129699121
