"","Formality","Activeness","Valence","Exchange","Equality"
"Groom-Groomsman",-0.194182733428805,-0.267040137136657,1.04743220211267,-0.509649292995262,1.28636186824452
"Predecessor-Successor",1.13990659240749,-1.68130812522954,0.0602965808186161,-0.718830047983265,-0.240080423347258
"Landlord-Tenant",-0.340574148520242,-0.288447614678035,0.167655575391346,1.87773092169698,0.00768346196765459
"Landlord-Housekeeper",-0.565580388548896,-0.695032386386985,0.38484270202657,1.69437103607556,-0.795511518566745
"Guest-Host",-0.386611469791286,-0.603902400425949,0.843576872756301,0.384298971681723,0.381674814030295
"Television host-Guest",0.813533984872784,-0.568634223113432,0.501458046776609,0.816561964556563,0.814940806260183
"Volunteer-Organizer",1.38025130428197,0.00630928703007078,0.668651626855454,-0.495878794956267,0.155212194949199
"Celebrity-Fans",-0.379502083101416,-1.78031019869598,1.00045070700489,0.200431201051666,-0.0816546691424652
"Celebrity-Haters",-0.429433134547899,-1.29713449472681,-2.22128277689936,-0.981541086099528,-0.156630922270727
"Native-Tourist",0.274626325682121,-2.38817311925655,0.29548962554795,0.243494711686363,0.823136448358679
"Bully-Victim",-0.966307186911142,-0.30196772800852,-2.98109390784039,-0.526052545572732,-0.296385589621657
"Friends",-0.495069705716312,0.72759814695135,0.873846125027857,-0.83570806074005,1.06395760052252
"Facebook friends",-0.444794715308087,-1.5407204416804,0.719192983271679,-0.350708090057517,1.19687670771742
"A person and their social media follower",-0.378055829056658,-1.75160740328495,0.737695962836242,0.130789663975575,0.0403727098669317
"Childhood friends",-0.440831277686705,0.0456628655327604,0.916068539658906,-0.750425365610659,1.35126418498342
"Pen-friends",-0.922445509135027,-0.655399726761543,0.909267377598626,-0.510062791143228,0.800408231304632
"Friends with benefits",-2.58592507776265,0.0884266639014305,-0.240499612453873,1.64094840150911,1.40599659619966
"Political allies",0.601465239572598,1.11131517221691,-0.220327112177527,0.858101544658843,0.864584064174641
"Romantic lovers",-1.4225740768751,1.6228063029058,0.509255900522508,-0.0646803671662174,0.835750434885594
"Ex-lovers",-1.85165547744092,-0.865674559874658,-0.270150396734143,-0.531718778245159,0.653745787233624
"Life partners",-1.25145738362069,1.84410589883016,0.459611720708918,-0.518281007452683,0.974707514211823
"Soul mates",-1.07642781017401,1.77432819804847,0.341825109016241,-0.654828231262895,1.12898934686741
"Strangers",0.131234707945323,-3.09286656215578,-0.116955944855218,-0.602068135380751,0.885065521623446
"Neighbors",0.0989118586333894,-0.48632455041797,0.808479364158168,-0.347763902292479,0.908537882604164
"Church members",-0.126866947290434,-0.218952086272635,-0.0753683219493193,-0.437345702473878,0.051130993577871
"Fans of the same sports team",0.529154033641404,-1.13423093027617,0.905930524795211,-1.06415483524591,1.58049064816798
"Fans of opposing sports teams",0.749108276902198,-1.26182212075283,-1.50000199646734,-1.31333090660572,0.868622877510191
"Superior-Subordinate",0.771002046745095,0.850183197926679,-0.349013815971192,0.684065205276242,-0.797893848637934
"Aunt-Niece(Nephew)",-0.793535359299431,-0.687195028410231,1.01670708913645,-1.45215186185794,-1.4458682735853
"Uncle-Niece(Nephew)",-0.973801917107813,0.468660139048086,0.649269469963312,-1.02411791467684,-1.19530780734402
"Frenemies",-0.891394703407235,-1.59811352954596,-1.50153586702158,-0.123339487862923,0.943001839348228
"Half siblings",-0.474020509230965,0.106255576460551,-0.157305531030421,-1.1914158934738,0.241729205150461
"Adoptive parents-Adopted kids",-0.451863083703191,0.667103373243288,0.848728518075197,-0.765540342447128,-1.42639005336795
"Mother-Infant",-0.584780814654372,1.44216635740422,0.758307981174089,-1.1293170473083,-1.77145287245239
"Alumni",0.583134671600727,-0.594896377855887,0.61823844594693,-0.363134359193742,0.974739029462261
"A monarch and their minister",0.848821540261645,1.10917872542742,-0.253134628346274,0.450060151689737,-1.65143907200545
"Confidants",-0.657513931640394,0.817187845873605,1.05133281293164,-0.51947811351411,1.30169460970335
"A person and their significant other",-1.37704511659813,1.85779684465519,0.422668825101813,-0.168023053603303,0.93531396179153
"Companions",0.173706377724271,-0.825632353466505,0.65940891726692,-0.15939350147477,1.28242942736877
"Playmates",-0.208002004643146,0.542586413491181,0.776734711139448,-0.96206297221126,1.23930512987664
"Competitors in sports",1.63562533484789,-0.0202969754592774,-1.66449789828024,-1.14752478120099,1.38153979932854
"A person and their crush",-1.98388551415885,-1.39980050299681,0.154034395293961,-0.539181539306763,-0.556118557237956
"Cohabitants",-1.77023100776649,0.780198142936473,0.515235277876969,0.192333927021546,0.599009932693871
"Long-distance lovers",-0.816787626753027,-0.25950133018986,0.925248180100823,-1.03463340898408,1.05855339025697
"Brothers in-arms",0.163005431402263,1.20834783931083,0.788267943431152,-0.691361657043594,1.16152394222597
