,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Guard and Prisoner,30.1837095003762,20.5049311799312,48.7922065588732,27.8558854725521,77.9509771093105,19.6787604370938,62.232433615767,25.93874335541,32.7529433529433,50.4924273257607,51.2023075689742,42.4051066217733,15.3212161295495,32.9952821869489,18.4947290363957,26.6171897546898,37.2100789642456,23.5971400513067,14.8968634760301,70.2415804874138,23.690215648549,74.9715287798621,69.3429648419845,52.7207698528777,26.0418918953233,63.0775333145431,45.2016983561101,52.3276073962349,50.6884927073653,70.7141715673578,57.9501139474179,29.470275022726,47.0960621803759,2
Nurse and Patient,83.5585741419075,57.3116762866763,57.5168788002121,46.4534903368237,71.9528400611734,37.0832941749608,63.8374162874163,48.1061934978602,47.1132074715408,45.289923964924,60.4802848386182,45.2920173961841,44.1927048260382,66.4378948212281,35.0747695206028,35.5975028058361,75.9755270963604,49.2851751643418,17.8451438993106,22.9526094276094,33.9159692159692,27.3599907808241,82.2960581176267,73.8867038281254,66.5124909857753,75.463066626547,68.5331169284601,41.9346498545028,65.8301662299211,74.5948380232694,82.1856245334187,78.8154122293828,49.6310986308535,1
Therapist and Patient,84.7999663916331,54.1652655985989,65.8677957844625,51.4258568591902,72.1297841047841,42.7903078403078,49.446736288403,43.3997021497021,54.9639080055747,50.0458208458209,61.1374822708156,56.360241301908,41.0531325156325,76.8623035914703,53.2665283790284,32.7914722623056,77.280930335097,54.2463764630431,17.779651675485,23.6724567099567,39.9441398108065,26.0862313612314,79.925296199806,78.9787857839328,71.7807893540737,75.4349375479277,74.3657777498464,54.0105807953847,73.2456495574143,73.3387576113066,83.5359047996303,84.4886241753889,51.4944058483274,1
Salesperson and Customer,67.8890190056857,61.2960095460096,38.7319236319236,34.3563451980119,74.3434173850841,22.7991064491064,77.2207227957228,32.9660947077614,60.4711664878332,75.068401968402,80.49508331175,31.5862794612795,22.1965708674042,60.6047158088825,87.2955026455026,80.6122113997114,77.8521524771525,24.87370330287,17.186714365881,29.0555074555075,71.9205727914061,27.8053731762065,64.5766012944935,56.1580835377404,48.5246155623607,72.3568746159432,61.7290164084282,29.4969639837287,59.2515159132806,59.5374652127103,62.7702161128632,48.3458930049616,45.3450667433511,1
Between Business Partners,72.0152227402227,81.2530811780812,69.4310165143499,44.1629719046386,67.7501054501054,36.3386567136567,61.7823898323898,53.3067478817479,78.0502651669318,76.7678408011741,68.9302456802457,64.5042748917749,31.9828162578163,78.2487353695687,83.551461038961,55.7136544011544,60.0120691037358,48.8050625300625,18.6834656084656,39.9834656084656,74.3832551707552,29.2756814173481,65.6905347466622,66.985403621433,80.9603216681648,79.207453049855,76.6540334846707,70.0331168649796,76.6436207220521,65.7918215589784,72.1513646393548,76.4519762100645,41.0025182696751,1
Between opposing negotiators,30.9041498624832,60.8766875100208,39.9068665901999,32.0611037111037,76.7025511525512,18.3152800902801,63.8429962013295,32.0850926850927,56.1384590717924,84.2786996953664,62.6850680184014,48.5883758217091,18.2405303030303,54.3862353695687,52.2776555234889,45.3867985409652,38.423556998557,21.0367344075677,15.9698092031425,76.5145843354177,76.7026274651274,46.0066097482764,56.2991076552351,53.7265055659663,29.65684211395,64.1298624124605,51.8753318758221,33.3139909654616,51.4577924163709,46.608603569633,56.4853560110913,29.3134362097597,41.489395209003,2
Between political opponents,31.0760810948311,63.3052592469259,50.3829058287392,31.5412067099567,77.5448865178032,24.5538172475672,80.9986318465485,29.6766655412489,50.7808205683206,88.3264547952048,45.2123478373478,47.0981423823091,15.3944347319347,46.5606553939887,40.9701699843366,28.8755335713669,26.0353596403596,20.1529391287725,15.6647196938864,87.1808858733859,60.7339489522823,53.9100642875643,72.9499263082596,58.1896618813286,28.8571180362847,72.0698011864679,59.1354592937926,51.6877454335788,63.8204511537845,46.0010370802037,46.8977080018747,18.3147372689039,38.4392189600523,2
Between business rivals,29.5183990392324,67.1701819785153,49.3602419956587,29.2139124764125,77.8707129290462,24.4549787403954,68.3717146279646,27.9418253814087,47.6433921017254,87.5609772172272,58.1945679320679,45.5573403756737,16.9698917440584,38.7768338451672,62.1695461945462,46.4831635339969,40.1225921300921,22.8530294396961,16.3495365128698,84.1688405421739,64.0813298738299,53.2436012444346,64.117359029859,58.7525164650165,37.8964167005834,80.2229949063282,57.2443557985225,52.7736852653519,60.5746918205252,40.9580163663497,46.7279632404633,20.0613665655332,38.8167551584218,2
Between enemies,20.9173127798128,60.6963762317929,52.1290364727865,45.1281886323553,48.832432305349,26.3128121107288,50.6292587813421,27.9867135950469,40.3028672716173,72.6919504877838,44.5881577527411,54.2709644367978,17.9530335097002,24.1205298713632,28.5654566112899,23.3166305299639,17.1541911791912,21.5438117746451,16.1543105659772,92.3882065157065,31.7093010076343,64.9889804331471,39.5125658292325,48.173575036075,24.1260212010212,28.8642112517113,44.082463678297,50.0583504458504,45.618311626645,37.3824746241413,26.9023841898842,13.6248651040318,35.3707298873965,2
Teacher and Student,80.6878994462328,35.334679363846,63.5932625245125,41.9228747332914,74.4191528379028,37.1579647204647,76.4257752278586,57.2366735887569,55.2260427072927,51.2744210265044,55.4868979014812,50.6631755590089,45.7002946127946,87.7731693615027,25.3162302512302,30.6454593862927,67.1674350032683,57.5439457456124,20.3226899643566,25.2312273837274,43.4240872090872,27.0105736547403,74.9384401092734,72.3338443963444,70.6409729159729,78.8428734845401,74.2206404706405,57.3062474562475,76.1874206040873,74.9522016563683,84.7393447601781,77.7180820722487,76.3090537548871,1
