,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Bride and Groom,0.973233933325461,1.8211218367210809,1.7879387624054897,1.4703967163876595,-0.0881725069604759,1.9592121138622214,0.511286675791312,1.7264840977966447,-0.4192015906658626,-1.5021919578024618,-0.28839271230552965,2.0550700302359175,1.7785168869132435,1.002266201963004,-1.0893015540527902,-1.108788416227592,-1.1905744732167858,1.9285531223818568,3.5248941568745527,-0.9796955398208779,1.072208474450919,-0.9853523861720973,0.36806079744007275,1.7536341124959347,0.9471311504248859,-1.2536154205862677,1.7643686036309285,1.6438570710828666,1.7305727114535416,1.5101847745824173
Between playmates,0.6359699775614306,1.4790911364486141,1.6787826716278003,1.6119138791795014,-1.5903406389513168,1.540818948498991,-0.28066007189388176,1.56025562043144,-0.21088998417213417,-1.6762850576175303,-0.604943087899875,0.6415178453700484,1.1022269916991843,1.0958197778216956,-1.1565695816440325,-1.251311092763448,-0.8098371142202353,1.2430763246281524,0.08056309489445532,-0.7642671158814226,0.8424308578071035,-0.9709046256779946,-0.5420734522039038,1.4210466652136349,0.8178967637723886,-1.1553610429092056,1.5941041322853102,1.365734234165373,1.3339106730836385,1.3172409786341932
Between childhood friends,0.6629314306906773,1.518504014761452,1.274981468680963,1.3305311251736751,-1.460888593104953,1.4114424000774495,0.08366613115135316,1.3736833499421877,-0.11245839472378347,-1.1620656239045042,-1.090153573434947,0.6473650741187607,1.3470833165795768,0.3723048949580118,-0.8237234090356432,-0.7155768463942305,-1.5221218867375468,1.293440647238459,0.028353157677246086,-1.0371722216554506,0.48272537662172865,-1.0908191735518844,-0.3405414945571038,1.0105237065693056,0.8430361996901274,-1.2897362919271291,1.519167222700295,1.2821179490017913,0.745678900273726,0.16054538901320506
Between fans of the same sports team,0.722762411895754,1.3966292065326018,-0.5060919477626056,0.87253531234652,-0.9822152110329365,0.5617100079754734,0.5199727181043109,0.7642554955987336,0.2899787231977922,-0.9294256594108871,-1.7534729921196406,-0.3506523903660693,0.6922621994209337,0.06017717356956406,-0.79682850293234,-0.8013185515221204,-1.1276448544061526,0.3209715455958866,-0.5336441207851136,-0.8910359392087129,-0.3841701052276566,-0.8193260100073175,-0.6431127211674684,-1.0428272485909904,1.1633050335526987,-0.9073645453822867,0.6730879894442728,-0.14725399866579209,0.5450941195071274,-0.46310404761533175
Between roommates,0.4682228496138112,1.4915252290243588,1.2239115278369144,1.0770136868294733,-0.6450785704721446,1.1389986631897588,-0.3138873439436086,1.3538645579310187,0.2751704309798985,-1.3940432139779497,-0.5360659776072164,0.3915118605629181,0.988919551962269,1.1193534413140986,-1.03107783810938,-1.1531443074777281,-1.250486224887804,1.1399876330505287,-0.6897271360965365,-0.628443376602183,0.9084694157430715,-0.7406725713526203,-0.6060233450023268,0.7829848777644401,0.5316882862616826,-1.025080330564959,0.6471311259832265,0.46820492431937116,1.5956121649760806,1.4572296998916243
Between romantic rivals,-2.4988264554051884,0.9787302905829868,-1.2485504395563336,0.6947878407242378,-1.290672242272714,-1.2934858067358899,-1.5594941576865193,-0.7356040757956064,-1.6251153939045309,0.7976695187018624,-1.5231655833782887,0.8678754780027864,-0.47728133201518474,-2.3571884731655826,-1.2667827341946556,-0.894367901781612,-1.8144007362976018,-1.334172076534672,0.30108423624453123,2.317719870440517,-1.7195106206698823,1.23890525182686,-2.450731791110679,-1.7675154892209828,-2.1347681173554207,-1.3012621467845231,-1.325437330980193,-0.6737648807197387,-0.30156898133166105,-1.6434160067655021
Between ex-lovers,-0.5892271122326881,1.4606506076221106,0.6187185935533659,1.2590164526862444,-1.3226547817995462,0.73695020054645,-2.034715180841508,0.7585657960379112,-0.4981935769213411,-0.6870127809656891,-1.6973242409261955,1.1615270088089078,0.847792382775881,-0.5407746158005021,-0.8002039769776939,-0.9197155233283851,-1.1711807831605874,0.26798050472382134,1.8419416277896477,0.7981807940091319,-0.5034797855059812,-0.01588033644736728,-2.1227836229136385,-1.212891924203585,-1.1139916315713463,-1.271018409990323,-0.06802263826768644,-0.35371242099915984,-1.5291504526801505,-1.2546465060423433
Between friends,0.9170799951810967,1.5781113120082646,1.6830487550396722,1.5140087160440663,-1.956740270105592,1.4780701816278732,-0.45318797590965604,1.7037252995533545,0.8288717921706981,-1.6762850576175303,-0.9927653918161389,0.2728467878037615,1.324802390255478,1.0130376684266051,-1.134611405656935,-0.8308220040434225,-0.9880938168762966,1.4858482727429125,0.5541552523997575,-1.12785062349749,0.7889130331710755,-0.9457002744676379,-0.028600320283966287,1.5854221826370964,0.6242899458895763,-1.413073763975012,1.7155898245606334,1.2693278871853533,0.3227229767846065,1.3623368477954798
Between friends with benefits,0.4759596144248126,1.0707215146397848,-0.4907873735225139,0.7932548718469686,-1.3002053614055438,1.0228771435386783,-3.332385306108024,-0.551829822601128,1.0789360246249187,0.10381688799154391,0.9027948528010329,0.07403802402029383,-0.4349032169148114,-0.681773488433745,0.34170057603968407,0.2808185706752925,0.5353005118125064,0.2350313959852615,2.278802855057606,-0.7357441306327822,0.6499528380726584,-0.5472776457193058,-2.3837316277155844,-1.1499162750948069,0.22892499062606944,-1.299268054248642,1.2086170747254354,-1.027644259384732,1.2297868880115386,0.5154592534002287
Between strangers,-0.9594865710448932,1.0144506105653852,-1.8713097409519441,-0.4580904592810896,-0.849744576416321,-1.2877075513052982,-0.42368180810792255,-0.8179830146240915,-0.367022850193656,-0.17398167042025925,-0.6823275847369948,-1.5857131718943092,-1.0030696729027944,-2.7101328965817504,-0.5231606589393015,0.41053181647853326,-1.0952739700068854,-1.6992681367922304,-0.3829743892417168,0.18649905907325523,-0.470251685594601,-0.17207043065213132,-1.5612966076671906,-2.549345096752703,-1.7459046037579529,-0.9094229634838418,-1.7738276890997466,-1.4838021290941472,-2.913563076943729,-2.44892324720627
