,Age,Gender,Race,Race_alternative,Highest education,First language,Gender_label,Race_label,Highest education_label
106,42,2,1,,5,hebrew,male,White,Post-secondary non-tertiary education
107,38,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
108,37,2,4,רוסי,4,רוסי,male,"East Asian Chinese, Japanese, etc.",Upper secondary education
109,34,1,1,,6,עברית,female,White,Short-cycle tertiary education
110,33,1,1,,6,עברית ,female,White,Short-cycle tertiary education
111,27,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
112,22,1,2,,5,ערבית,female,Black,Post-secondary non-tertiary education
113,22,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
115,33,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
117,24,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
118,30,1,1,,4,עברית,female,White,Upper secondary education
119,25,1,1,,5,hebrew,female,White,Post-secondary non-tertiary education
120,41,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
122,22,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
123,27,2,1,,4,עברית,male,White,Upper secondary education
124,36,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
125,39,1,1,,6,Hebrew,female,White,Short-cycle tertiary education
126,25,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
127,20,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
128,21,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
129,29,1,1,,6,עברית,female,White,Short-cycle tertiary education
130,40,1,1,,4,עברית,female,White,Upper secondary education
132,38,1,1,,6,עברית,female,White,Short-cycle tertiary education
133,27,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
134,38,2,1,,5,עברית,male,White,Post-secondary non-tertiary education
135,25,1,1,,4,hebrew,female,White,Upper secondary education
136,38,2,1,,5,hebrew,male,White,Post-secondary non-tertiary education
137,25,1,1,,5,רוסית,female,White,Post-secondary non-tertiary education
138,28,2,1,,5,hebrew,male,White,Post-secondary non-tertiary education
140,27,1,1,,4,עברית,female,White,Upper secondary education
141,25,1,1,,6,Hebrew,female,White,Short-cycle tertiary education
142,44,2,1,,6,עברית,male,White,Short-cycle tertiary education
143,27,1,1,,5,עברית,female,White,Post-secondary non-tertiary education
