,Age,Gender,Race,Highest education,First language,Gender_label,Age_label,Highest education_label
102,2,1,華人,3,國語,female,18-24,Post-secondary non-tertiary education
103,4,2,華人,4,粤語,male,35-44,Bachelor or equivalent
104,3,1,華人,4,粤語,female,25-34,Bachelor or equivalent
105,3,1,漢族,3,粤語,female,25-34,Post-secondary non-tertiary education
106,3,2,華人,4,國語,male,25-34,Bachelor or equivalent
107,2,1,華人,4,國語,female,18-24,Bachelor or equivalent
108,3,2,華人,4,國語,male,25-34,Bachelor or equivalent
109,3,2,華人,3,國語,male,25-34,Post-secondary non-tertiary education
110,3,1,華人,4,粤語,female,25-34,Bachelor or equivalent
111,4,2,漢族,4,粤語,male,35-44,Bachelor or equivalent
112,3,2,漢族,4,國語,male,25-34,Bachelor or equivalent
113,3,2,漢族,4,國語,male,25-34,Bachelor or equivalent
114,3,2,漢族,4,國語,male,25-34,Bachelor or equivalent
115,3,1,汉族,3,土白话，国语,female,25-34,Post-secondary non-tertiary education
116,2,1,漢族,4,國語,female,18-24,Bachelor or equivalent
117,2,2,華人,4,國語,male,18-24,Bachelor or equivalent
118,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
119,4,2,華人,4,國語,male,35-44,Bachelor or equivalent
120,2,2,華人,4,國語,male,18-24,Bachelor or equivalent
122,4,1,華人,4,國語,female,35-44,Bachelor or equivalent
123,4,1,華人,4,國語,female,35-44,Bachelor or equivalent
124,2,2,漢族,4,國語,male,18-24,Bachelor or equivalent
125,3,1,華人,3,國語,female,25-34,Post-secondary non-tertiary education
126,4,1,漢族,4,國語,female,35-44,Bachelor or equivalent
127,3,2,漢族,2,粤語,male,25-34,Upper secondary education
128,4,2,華人,6,國語,male,35-44,Doctoral or equivalent
130,3,1,漢族,5,國語,female,25-34,Master or equivalent
132,2,2,漢族,4,國語,male,18-24,Bachelor or equivalent
134,4,2,華人,4,國語,male,35-44,Bachelor or equivalent
135,4,1,華人,3,國語,female,35-44,Post-secondary non-tertiary education
136,5,1,華人,6,國語,female,45-54,Doctoral or equivalent
137,3,1,華人,4,國語,female,25-34,Bachelor or equivalent
138,3,1,華人,4,國語,female,25-34,Bachelor or equivalent
140,4,2,漢族,4,國語,male,35-44,Bachelor or equivalent
141,3,2,華人,4,國語,male,25-34,Bachelor or equivalent
142,3,1,漢族,4,國語,female,25-34,Bachelor or equivalent
144,2,1,漢族,4,國語,female,18-24,Bachelor or equivalent
145,2,2,華人,4,粤語,male,18-24,Bachelor or equivalent
146,4,2,華人,4,國語,male,35-44,Bachelor or equivalent
147,2,1,華人,4,國語,female,18-24,Bachelor or equivalent
148,2,1,華人,4,國語,female,18-24,Bachelor or equivalent
150,2,1,漢族,4,國語,female,18-24,Bachelor or equivalent
151,3,1,漢族,4,國語,female,25-34,Bachelor or equivalent
152,3,2,汉族,4,粤语,male,25-34,Bachelor or equivalent
153,3,1,漢族,4,國語,female,25-34,Bachelor or equivalent
154,3,2,漢族,4,國語,male,25-34,Bachelor or equivalent
155,4,2,汉,4,粤语,male,35-44,Bachelor or equivalent
156,4,2,汉族,3,粤语,male,35-44,Post-secondary non-tertiary education
157,3,1,華人,4,國語,female,25-34,Bachelor or equivalent
158,4,1,華人,4,國語,female,35-44,Bachelor or equivalent
159,2,2,汉族,4,普通话,male,18-24,Bachelor or equivalent
160,2,2,華人,4,國語,male,18-24,Bachelor or equivalent
161,3,2,華人,3,粤語,male,25-34,Post-secondary non-tertiary education
162,4,2,漢族,3,國語,male,35-44,Post-secondary non-tertiary education
163,4,2,漢族,4,國語,male,35-44,Bachelor or equivalent
165,5,2,漢族,4,國語,male,45-54,Bachelor or equivalent
166,4,2,華人,4,國語,male,35-44,Bachelor or equivalent
167,3,2,華人,4,國語,male,25-34,Bachelor or equivalent
168,4,1,華人,5,粤語,female,35-44,Master or equivalent
169,3,1,華人,2,國語,female,25-34,Upper secondary education
170,4,1,華人,4,粤語,female,35-44,Bachelor or equivalent
171,3,1,漢,4,國語,female,25-34,Bachelor or equivalent
172,3,1,漢,4,粤語,female,25-34,Bachelor or equivalent
173,2,1,華人,5,國語,female,18-24,Master or equivalent
174,3,1,華人,4,粤語,female,25-34,Bachelor or equivalent
175,3,2,華人,3,國語,male,25-34,Post-secondary non-tertiary education
176,4,2,華人,4,粤語,male,35-44,Bachelor or equivalent
177,3,1,華人,4,國語,female,25-34,Bachelor or equivalent
178,3,1,華人,4,粤語,female,25-34,Bachelor or equivalent
179,4,2,漢,4,國語,male,35-44,Bachelor or equivalent
180,2,1,漢,4,國語,female,18-24,Bachelor or equivalent
182,4,1,華人,4,國語,female,35-44,Bachelor or equivalent
183,3,1,華人,4,國語,female,25-34,Bachelor or equivalent
184,2,1,漢,2,國語,female,18-24,Upper secondary education
185,3,1,汉,4,粤语,female,25-34,Bachelor or equivalent
186,4,2,汉,4,粤语,male,35-44,Bachelor or equivalent
188,3,1,汉,4,粤语,female,25-34,Bachelor or equivalent
189,3,1,漢族,4,粤語,female,25-34,Bachelor or equivalent
190,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
191,5,2,漢族,6,國語,male,45-54,Doctoral or equivalent
192,3,1,華人,4,國語,female,25-34,Bachelor or equivalent
193,2,2,華人,2,國語,male,18-24,Upper secondary education
194,3,1,華人,3,國語,female,25-34,Post-secondary non-tertiary education
195,3,2,華人,4,國語,male,25-34,Bachelor or equivalent
196,3,1,漢族,4,國語,female,25-34,Bachelor or equivalent
197,3,2,華人,4,粤語,male,25-34,Bachelor or equivalent
198,4,1,華人,4,國語,female,35-44,Bachelor or equivalent
199,3,1,漢族,4,國語,female,25-34,Bachelor or equivalent
200,2,1,漢,4,國語,female,18-24,Bachelor or equivalent
201,2,1,不知道,4,國語,female,18-24,Bachelor or equivalent
202,3,2,汉族,3,汉语,male,25-34,Post-secondary non-tertiary education
203,2,2,汉,3,中文,male,18-24,Post-secondary non-tertiary education
205,3,2,汉族,4,中文,male,25-34,Bachelor or equivalent
206,2,1,汉,4,汉语,female,18-24,Bachelor or equivalent
207,2,2,不知道,4,國語,male,18-24,Bachelor or equivalent
208,3,1,汉,4,粤语,female,25-34,Bachelor or equivalent
209,2,1,汉族,4,汉语,female,18-24,Bachelor or equivalent
210,3,2,漢,4,粵語,male,25-34,Bachelor or equivalent
211,2,2,漢,3,中文,male,18-24,Post-secondary non-tertiary education
212,2,1,漢族,4,中文,female,18-24,Bachelor or equivalent
213,3,1,漢族,3,粵語,female,25-34,Post-secondary non-tertiary education
214,2,1,漢,4,中文,female,18-24,Bachelor or equivalent
215,4,2,漢族,4,粵語,male,35-44,Bachelor or equivalent
216,3,2,漢,2,中文,male,25-34,Upper secondary education
217,4,2,漢族,4,粵語,male,35-44,Bachelor or equivalent
218,2,1,漢族,4,中文,female,18-24,Bachelor or equivalent
219,3,2,漢,3,漢語,male,25-34,Post-secondary non-tertiary education
220,6,2,漢族,2,中文,male,55-64,Upper secondary education
221,2,2,漢,4,漢語,male,18-24,Bachelor or equivalent
222,3,1,漢,4,中文,female,25-34,Bachelor or equivalent
223,3,1,漢,3,中文,female,25-34,Post-secondary non-tertiary education
224,3,2,漢族,4,中文,male,25-34,Bachelor or equivalent
225,2,1,漢,4,中文,female,18-24,Bachelor or equivalent
226,3,1,漢族,3,漢語,female,25-34,Post-secondary non-tertiary education
227,3,2,漢族,4,粵語,male,25-34,Bachelor or equivalent
228,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
229,3,1,漢,4,漢語,female,25-34,Bachelor or equivalent
230,2,1,漢,3,粵語,female,18-24,Post-secondary non-tertiary education
231,3,1,漢族,4,漢語,female,25-34,Bachelor or equivalent
232,3,1,漢,4,mandarin,female,25-34,Bachelor or equivalent
234,4,1,汉,4,粤语,female,35-44,Bachelor or equivalent
235,3,1,漢族,4,國語,female,25-34,Bachelor or equivalent
236,2,1,汉,5,普通话,female,18-24,Master or equivalent
237,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
238,4,2,漢族,4,中文,male,35-44,Bachelor or equivalent
239,3,2,漢族,5,中文,male,25-34,Master or equivalent
240,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
241,4,2,漢族,5,粵語,male,35-44,Master or equivalent
242,4,2,漢,4,國語,male,35-44,Bachelor or equivalent
244,4,1,漢,4,中文,female,35-44,Bachelor or equivalent
245,3,2,漢,4,中文,male,25-34,Bachelor or equivalent
246,2,2,漢,4,粵語,male,18-24,Bachelor or equivalent
247,3,2,無,4,粵語,male,25-34,Bachelor or equivalent
248,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
249,3,2,沒有,4,粵語,male,25-34,Bachelor or equivalent
250,2,1,不清楚,4,粵語,female,18-24,Bachelor or equivalent
251,4,2,漢,2,國語,male,35-44,Upper secondary education
253,6,1,汉族,2,汉语,female,55-64,Upper secondary education
254,4,2,汉,4,中文,male,35-44,Bachelor or equivalent
255,3,2,漢族,5,粵語,male,25-34,Master or equivalent
256,3,1,漢族,4,中文,female,25-34,Bachelor or equivalent
257,4,1,汉,5,汉语,female,35-44,Master or equivalent
258,2,1,漢,4,國語,female,18-24,Bachelor or equivalent
259,2,1,漢族,4,粤语,female,18-24,Bachelor or equivalent
260,2,1,汉,4,汉语,female,18-24,Bachelor or equivalent
261,3,2,漢族,3,粵語,male,25-34,Post-secondary non-tertiary education
262,3,2,漢,3,中文,male,25-34,Post-secondary non-tertiary education
263,4,1,漢,5,中文,female,35-44,Master or equivalent
264,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
265,5,1,汉族,1,中文,female,45-54,Lower secondary education
266,2,2,漢,3,粵語,male,18-24,Post-secondary non-tertiary education
267,3,1,漢,4,中文,female,25-34,Bachelor or equivalent
268,3,1,漢,6,粵語,female,25-34,Doctoral or equivalent
269,2,1,漢,2,中文,female,18-24,Upper secondary education
270,2,1,汉,2,中文,female,18-24,Upper secondary education
271,2,1,漢,2,漢語,female,18-24,Upper secondary education
272,6,1,漢族,3,中文,female,55-64,Post-secondary non-tertiary education
273,4,2,漢,4,漢語,male,35-44,Bachelor or equivalent
275,3,2,漢族,5,粵語,male,25-34,Master or equivalent
276,2,2,漢族,4,漢語,male,18-24,Bachelor or equivalent
277,2,1,漢,3,漢語,female,18-24,Post-secondary non-tertiary education
278,3,1,漢族,4,漢語,female,25-34,Bachelor or equivalent
280,3,2,漢族,4,粵語,male,25-34,Bachelor or equivalent
281,5,1,漢,4,中文,female,45-54,Bachelor or equivalent
282,3,1,漢,4,漢語,female,25-34,Bachelor or equivalent
283,2,2,漢族,4,中文,male,18-24,Bachelor or equivalent
284,2,2,漢,4,漢語,male,18-24,Bachelor or equivalent
285,3,1,漢族,4,漢語,female,25-34,Bachelor or equivalent
286,3,2,漢,4,粵語,male,25-34,Bachelor or equivalent
287,2,1,漢族,4,中文,female,18-24,Bachelor or equivalent
288,2,2,漢,4,漢語,male,18-24,Bachelor or equivalent
289,3,2,漢,4,粵語,male,25-34,Bachelor or equivalent
290,6,2,漢族,4,粵語,male,55-64,Bachelor or equivalent
291,2,1,漢,4,漢語,female,18-24,Bachelor or equivalent
292,2,1,漢,3,粵語,female,18-24,Post-secondary non-tertiary education
293,3,2,漢,4,漢語,male,25-34,Bachelor or equivalent
294,5,2,漢,4,粤语,male,45-54,Bachelor or equivalent
295,2,1,漢族,4,中文,female,18-24,Bachelor or equivalent
296,2,1,漢,4,粤语,female,18-24,Bachelor or equivalent
297,3,2,漢,3,國語,male,25-34,Post-secondary non-tertiary education
298,4,1,漢,1,中文,female,35-44,Lower secondary education
299,3,2,漢,3,粵語,male,25-34,Post-secondary non-tertiary education
300,2,2,漢族,4,中文,male,18-24,Bachelor or equivalent
301,2,1,漢,4,中文,female,18-24,Bachelor or equivalent
302,4,1,漢,5,粵語,female,35-44,Master or equivalent
303,4,2,漢,4,粵語,male,35-44,Bachelor or equivalent
304,4,1,漢,3,國語,female,35-44,Post-secondary non-tertiary education
305,3,2,漢,3,國語,male,25-34,Post-secondary non-tertiary education
306,6,2,漢,4,國語,male,55-64,Bachelor or equivalent
307,3,2,漢族,4,中文,male,25-34,Bachelor or equivalent
308,2,1,漢族,4,中文,female,18-24,Bachelor or equivalent
309,3,1,汉,4,汉语,female,25-34,Bachelor or equivalent
310,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
311,4,2,汉,4,汉语,male,35-44,Bachelor or equivalent
312,3,1,漢,3,國語,female,25-34,Post-secondary non-tertiary education
313,3,2,汉,3,汉语,male,25-34,Post-secondary non-tertiary education
314,2,2,漢,4,粵語,male,18-24,Bachelor or equivalent
315,3,1,漢族,3,粵語,female,25-34,Post-secondary non-tertiary education
316,3,1,漢,4,中文,female,25-34,Bachelor or equivalent
317,3,2,汉族,4,汉语,male,25-34,Bachelor or equivalent
318,3,2,漢族,4,國語,male,25-34,Bachelor or equivalent
319,2,1,汉族,4,汉语,female,18-24,Bachelor or equivalent
320,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
321,3,2,汉,4,汉语,male,25-34,Bachelor or equivalent
322,3,1,不知道,4,粵語,female,25-34,Bachelor or equivalent
323,2,1,漢,4,粵語,female,18-24,Bachelor or equivalent
325,2,2,漢族,3,粤语,male,18-24,Post-secondary non-tertiary education
326,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
327,3,1,漢族,4,漢語,female,25-34,Bachelor or equivalent
328,3,1,漢族,5,中文,female,25-34,Master or equivalent
329,2,1,漢,4,中文,female,18-24,Bachelor or equivalent
330,5,1,漢族,5,粵語,female,45-54,Master or equivalent
332,2,1,漢族,2,漢語,female,18-24,Upper secondary education
333,2,1,漢族,4,漢語,female,18-24,Bachelor or equivalent
334,3,2,漢,4,粵語,male,25-34,Bachelor or equivalent
335,4,2,漢族,4,粵語,male,35-44,Bachelor or equivalent
336,3,2,漢,4,粵語,male,25-34,Bachelor or equivalent
337,3,2,漢族,4,中文,male,25-34,Bachelor or equivalent
338,3,2,漢族,3,中文,male,25-34,Post-secondary non-tertiary education
340,3,2,漢,2,粵語,male,25-34,Upper secondary education
341,2,2,漢族,4,中文,male,18-24,Bachelor or equivalent
342,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
343,3,2,漢,4,中文,male,25-34,Bachelor or equivalent
344,3,1,汉族,4,中文,female,25-34,Bachelor or equivalent
345,3,1,漢族,4,漢語,female,25-34,Bachelor or equivalent
346,2,2,漢,4,中文,male,18-24,Bachelor or equivalent
347,5,1,漢族,4,中文,female,45-54,Bachelor or equivalent
348,3,1,漢,5,粵語,female,25-34,Master or equivalent
349,6,1,漢,3,中文,female,55-64,Post-secondary non-tertiary education
350,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
351,4,2,漢,4,粵語,male,35-44,Bachelor or equivalent
352,3,2,漢族,4,漢語,male,25-34,Bachelor or equivalent
353,2,1,漢,4,漢語,female,18-24,Bachelor or equivalent
354,3,2,漢族,2,粵語,male,25-34,Upper secondary education
355,4,2,漢,4,中文,male,35-44,Bachelor or equivalent
356,2,2,漢,4,漢語,male,18-24,Bachelor or equivalent
357,3,2,漢族,4,漢語,male,25-34,Bachelor or equivalent
358,3,2,漢,4,中文,male,25-34,Bachelor or equivalent
359,2,2,漢,2,中文,male,18-24,Upper secondary education
360,4,1,漢,4,粵語,female,35-44,Bachelor or equivalent
361,3,1,漢族,3,中文,female,25-34,Post-secondary non-tertiary education
362,3,2,漢,4,粵語,male,25-34,Bachelor or equivalent
363,3,1,漢族,4,中文,female,25-34,Bachelor or equivalent
364,5,1,漢,4,粵語,female,45-54,Bachelor or equivalent
365,3,2,漢族,3,漢語,male,25-34,Post-secondary non-tertiary education
366,4,2,漢,4,中文,male,35-44,Bachelor or equivalent
367,3,2,漢,5,漢語,male,25-34,Master or equivalent
368,3,1,漢,2,粵語,female,25-34,Upper secondary education
369,4,1,漢族,4,漢語,female,35-44,Bachelor or equivalent
370,4,2,漢族,5,漢語,male,35-44,Master or equivalent
371,4,2,漢,4,中文,male,35-44,Bachelor or equivalent
372,3,1,漢,5,粵語,female,25-34,Master or equivalent
373,3,1,漢,4,中文,female,25-34,Bachelor or equivalent
375,5,1,漢,2,中文,female,45-54,Upper secondary education
376,3,2,漢族,4,中文,male,25-34,Bachelor or equivalent
377,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
378,2,2,漢,4,中文,male,18-24,Bachelor or equivalent
379,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
380,3,2,漢,5,粵語,male,25-34,Master or equivalent
381,2,1,汉,4,中文,female,18-24,Bachelor or equivalent
382,2,1,漢,3,中文,female,18-24,Post-secondary non-tertiary education
383,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
384,3,1,漢族,4,中文,female,25-34,Bachelor or equivalent
385,4,2,漢族,4,中文,male,35-44,Bachelor or equivalent
386,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
387,3,1,漢族,4,中文,female,25-34,Bachelor or equivalent
388,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
389,3,1,不知道,4,中文,female,25-34,Bachelor or equivalent
390,5,2,漢族,3,粵語,male,45-54,Post-secondary non-tertiary education
391,3,2,漢,5,漢語,male,25-34,Master or equivalent
392,5,1,漢,2,中文,female,45-54,Upper secondary education
393,4,1,漢,4,漢語,female,35-44,Bachelor or equivalent
394,2,1,漢,4,粵語,female,18-24,Bachelor or equivalent
396,4,1,漢族,5,漢語,female,35-44,Master or equivalent
397,3,1,漢,4,漢語,female,25-34,Bachelor or equivalent
398,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
399,4,1,漢族,3,中文,female,35-44,Post-secondary non-tertiary education
400,3,2,漢族,3,漢語,male,25-34,Post-secondary non-tertiary education
401,4,1,漢,4,中文,female,35-44,Bachelor or equivalent
402,3,1,漢,4,漢語,female,25-34,Bachelor or equivalent
403,2,1,漢族,4,粵語,female,18-24,Bachelor or equivalent
404,3,1,漢族,4,中文,female,25-34,Bachelor or equivalent
405,3,2,漢,4,中文,male,25-34,Bachelor or equivalent
406,2,2,漢,2,中文,male,18-24,Upper secondary education
407,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
408,3,2,漢,4,中文,male,25-34,Bachelor or equivalent
409,2,2,漢,3,粵語,male,18-24,Post-secondary non-tertiary education
410,2,2,漢,4,中文,male,18-24,Bachelor or equivalent
411,3,2,漢,3,粵語,male,25-34,Post-secondary non-tertiary education
412,4,2,汉族,4,中文,male,35-44,Bachelor or equivalent
413,3,1,漢,3,粵語,female,25-34,Post-secondary non-tertiary education
414,2,1,漢,4,中文,female,18-24,Bachelor or equivalent
415,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
416,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
417,3,2,漢,4,中文,male,25-34,Bachelor or equivalent
418,3,2,漢族,4,粵語,male,25-34,Bachelor or equivalent
419,2,2,汉族,4,中文,male,18-24,Bachelor or equivalent
420,6,2,漢,3,粵語,male,55-64,Post-secondary non-tertiary education
421,4,2,漢,4,中文,male,35-44,Bachelor or equivalent
422,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
423,3,1,漢,4,中文,female,25-34,Bachelor or equivalent
424,3,1,漢,4,中文,female,25-34,Bachelor or equivalent
425,3,2,漢,3,漢語,male,25-34,Post-secondary non-tertiary education
426,3,2,漢,4,中文,male,25-34,Bachelor or equivalent
427,3,1,漢族,1,中文,female,25-34,Lower secondary education
429,5,1,漢族,4,漢語,female,45-54,Bachelor or equivalent
430,2,2,漢,3,國語,male,18-24,Post-secondary non-tertiary education
431,2,2,漢,5,粤语,male,18-24,Master or equivalent
432,4,1,漢族,3,漢語,female,35-44,Post-secondary non-tertiary education
433,3,2,漢族,4,粵語,male,25-34,Bachelor or equivalent
434,4,2,漢,2,中文,male,35-44,Upper secondary education
435,3,2,漢,3,中文,male,25-34,Post-secondary non-tertiary education
436,4,1,漢,4,粵語,female,35-44,Bachelor or equivalent
437,3,1,漢族,4,中文,female,25-34,Bachelor or equivalent
438,3,1,漢,4,粵語,female,25-34,Bachelor or equivalent
439,2,2,漢,4,中文,male,18-24,Bachelor or equivalent
440,3,1,漢,4,漢語,female,25-34,Bachelor or equivalent
441,2,1,漢,3,漢語,female,18-24,Post-secondary non-tertiary education
442,3,1,漢,3,粵語,female,25-34,Post-secondary non-tertiary education
443,4,2,汉族,4,中文,male,35-44,Bachelor or equivalent
444,2,1,漢,4,漢語,female,18-24,Bachelor or equivalent
445,2,2,漢,4,中文,male,18-24,Bachelor or equivalent
446,4,2,漢,5,漢語,male,35-44,Master or equivalent
447,3,1,漢族,4,粵語,female,25-34,Bachelor or equivalent
448,6,1,漢,2,中文,female,55-64,Upper secondary education
449,3,2,不知道,4,粵語,male,25-34,Bachelor or equivalent
450,3,2,漢族,4,粤语,male,25-34,Bachelor or equivalent
451,2,1,漢,1,粵語,female,18-24,Lower secondary education
452,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
453,2,1,漢族,3,粵語,female,18-24,Post-secondary non-tertiary education
454,4,2,漢,4,粵語,male,35-44,Bachelor or equivalent
455,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
456,3,1,漢族,4,中文,female,25-34,Bachelor or equivalent
457,2,1,漢族,4,中文,female,18-24,Bachelor or equivalent
458,2,1,漢族,4,中文,female,18-24,Bachelor or equivalent
459,2,1,汉,5,粤语,female,18-24,Master or equivalent
460,3,2,漢族,4,粵語,male,25-34,Bachelor or equivalent
461,2,2,漢,3,粵語,male,18-24,Post-secondary non-tertiary education
462,3,1,漢族,5,漢語,female,25-34,Master or equivalent
463,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
464,3,2,漢,4,漢語,male,25-34,Bachelor or equivalent
465,3,1,漢,4,國語,female,25-34,Bachelor or equivalent
466,2,1,漢族,2,漢語,female,18-24,Upper secondary education
467,5,2,漢,2,漢語,male,45-54,Upper secondary education
468,3,1,漢,4,漢語,female,25-34,Bachelor or equivalent
469,3,2,漢,3,漢語,male,25-34,Post-secondary non-tertiary education
470,3,2,漢,4,國語,male,25-34,Bachelor or equivalent
471,2,1,漢族,5,漢語,female,18-24,Master or equivalent
472,3,2,漢,2,漢語,male,25-34,Upper secondary education
473,2,2,漢族,4,國語,male,18-24,Bachelor or equivalent
474,2,2,汉族,4,汉语,male,18-24,Bachelor or equivalent
