"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Between.enemies",20.4574362366029,61.0235367256201,52.0950858555025,45.8997935706269,48.0453952683119,25.7726886539387,50.839135324552,28.0299234715901,40.6824969012469,72.5684936976604,43.1375404687905,53.6744436736103,18.4210469777136,24.5677801519468,28.5946373071373,24.9558000024667,16.5122158705492,22.0628914603915,15.9174979958313,92.3618316559983,32.659918291585,64.7218648326982,41.2923277339944,46.6348845598846,24.2698704073704,29.3622271247271,44.8503208211542,50.676406001406,46.9853751187084,37.4340619257286,26.2763921263921,14.1010555802222,35.7566425858093
"Teacher.and.Student",81.0922204338871,34.7019633144633,63.7321514134014,41.7994179431679,74.7061898749399,36.9820387945388,77.8887381908215,57.7150686504853,55.7106106085273,52.4287420141587,55.1504781483948,51.2501564793231,45.3585437710438,89.0616093166093,25.3504614521281,32.600566008066,66.5894327585994,57.1718918735585,19.7508605591939,25.4472767664434,42.4470950654284,26.6200012641679,76.2301067759401,72.7534872534873,71.1221237096237,78.6137068178735,72.3773865023865,57.3072395197395,75.3193650485317,75.2775984817651,83.0726780935114,78.1010185801852,77.2544902628236
"Professor.and.Graduate.student",78.7602254227254,40.0397710314377,63.4361037881871,40.115067648401,77.2891762558429,33.5576140680307,75.0277506444173,57.4900265629432,59.5115154906822,55.8254736004736,54.2127562252562,56.0564651089651,41.3707220865554,86.6721518296518,27.3456832365166,34.6646180671181,63.8114673598007,49.2212399020732,19.0934715284715,23.6967876567877,43.3095908412575,24.2645772129105,68.752639027639,67.424251365918,72.8066968525302,78.8951132201132,70.9753232878233,54.9317168942169,74.3225515225515,73.1588525671859,82.672819618653,79.8498963998964,76.1589035964036
"Master.and.Servant",55.738947703531,26.760588023088,54.5418325501659,34.7402783944451,73.2074068678235,33.987539620873,48.6037918871252,36.6650886150886,48.8741449908117,56.9816331816332,63.3370007307507,53.726832303499,26.2544393569394,49.1070475203809,65.261871338538,47.3643394260061,75.8070601928935,38.9725094350094,18.8500535883869,36.0882767232767,39.1168461168461,44.355513683847,39.9206558873226,50.7863835238835,41.5091379299713,62.3182951307951,56.4861655319989,51.8567093400427,59.4515052848386,70.9111795611796,49.0986530444864,53.7424883758217,55.1588827838828
"Between.Close.Friends",87.5182523495023,89.2492978472145,83.6516573704073,86.1682457974125,25.0655335405335,73.1604792583959,51.5911868224368,85.5827241431408,71.0692853442853,26.1967103112936,41.4581498748165,74.4373070139737,86.2525822017489,79.5976609193276,34.4146498254832,42.0091653716654,33.8377286602287,87.4314179647513,36.3005884547551,19.8403762903763,47.008580709414,16.7451670551671,66.4594257594258,87.7338588880255,87.901805293472,27.4818659735326,80.0244769119769,90.6258479175146,81.1780777864111,81.6331433998101,88.729195650029,93.5410005118338,26.714971294138
"Between.casual.acquaintances",61.6370515287182,71.79178337095,44.3308629641963,57.1559252475919,40.5929651367151,41.7476612122445,56.3348503348503,55.1392934997102,56.0729670021337,40.1983418587585,42.4179012345679,42.0653061444728,40.4443374526708,42.5684616309616,28.8487873854541,35.4096661671662,28.9946051479385,37.7387925346259,27.7676827185161,23.6099489091156,34.7314610697944,19.1508826050493,48.4417309542309,51.6813132854799,51.3016367891368,27.7409944993278,48.3633864592198,42.3365119448453,46.7662040120373,47.7813048063048,64.2014365264365,44.8954772079772,39.4721263304597
"Between.teammates.in.sports",75.3433979600646,78.4383494591828,70.8279394987728,44.4419333752667,58.8704772079772,40.0368956660623,86.829384966885,61.1575658908992,80.9632039257039,76.9732349440683,58.6402040860374,45.2402817861151,39.802727673561,78.5163259579926,33.7861802549303,40.0417869167869,49.8273027898028,52.2398188231522,18.1481060606061,43.0527076318743,59.9021815375982,24.2592201779702,63.2322604864271,69.2724802974803,91.7694654111321,78.7251265709599,81.4084799459799,47.3147118313785,90.5953208828209,73.4521458479792,79.4374502041169,78.1294987419987,23.5301618134951
"Between.second.cousins",70.669822615656,76.8012670971004,51.3659632034632,71.9635278301945,33.5949070990738,42.6273183606517,63.8508052133052,68.6894975394976,60.566997662831,38.9191994733661,46.7257131757132,58.7439985169152,49.4863846801347,51.9580266955267,23.8919322190156,33.9948272406606,29.8103876062209,47.0647266313933,23.9012776575277,31.8066047378547,39.3839195526695,17.6975639329806,43.9475664767331,54.3417741209408,53.7173275798276,21.387378670712,52.0695964529298,73.3256146631147,53.553549382716,34.0003417878418,73.1202578285912,54.8349830724831,36.0524873274873
"Parent.and.Infant",89.1686133311133,33.9294538794539,92.4534635117969,90.9213285171618,29.1114317780984,81.7479802604802,60.7793521293521,90.5201042784376,50.4201818243485,27.3525382025382,47.4954872288206,86.4740460157127,100.146064814815,85.0513618326118,29.8418480439314,37.3638758617925,46.4611982924483,99.0838614317781,64.7600308641975,22.9582601811768,35.6989307760141,22.8349617203784,82.2900335775336,91.1386412969746,84.9861684611685,26.6220429262096,87.2432864974532,95.8525292608626,79.9350558392225,92.4922384714051,90.5872457789124,97.509319692653,74.551831039331
"Grandparent.and.Grandchild",89.2454175454175,38.8218788927122,81.3287234370568,87.4154219237552,30.8158224491558,73.221007387674,63.2595390720391,87.2527023902024,48.9073676323676,26.9333017291351,46.9671174504508,82.4436788520122,95.0351360830527,80.3273749398749,28.8779140612474,39.3406495510662,40.8167608625942,91.723572029822,53.89325998076,20.1059383517717,37.3924553070386,19.0031525573192,74.2692930526264,84.4417164625498,77.2604907438241,24.4066966983634,78.9172645255979,93.4513477263477,70.2933660475327,72.0884879009879,87.7644830478164,91.4354518937852,90.8828188786522
"Step.parent.and.Step.child",65.5817817984485,31.7481185481185,68.3231668023335,71.2362063862064,36.7520337687004,58.160762694096,57.5486343903011,74.33758001258,45.2952898952899,36.4917873792874,43.2155677655678,67.4919282106782,69.3493356180856,64.9093103655604,30.0595348324515,38.9212632275132,37.3046987734488,69.6884179092512,31.9901274651275,39.6596300304634,37.8846059804393,29.1920695045695,65.849825328992,73.7383214008214,65.4032368865702,25.2083691000358,68.184414351081,75.2105838605839,65.4621938246938,75.1173832340499,77.9995299453633,72.3384243842577,69.4215155215155
"Foster.parent.and.Foster.child",71.2239132780799,33.0739236072569,75.7371542038209,74.6738850655517,35.8452979119646,58.39777660611,58.1454053662387,77.0245687954021,45.5216678383345,33.1320933695934,41.8476377018044,65.6897747314414,71.063927970178,67.966816979317,32.5597643097643,36.4353916145583,42.1071548821549,73.1242875180375,30.1946037758538,31.9036696328363,38.6055715889049,26.5752104377104,68.2543826543827,77.1864086530753,67.3964331964332,28.9930017513351,73.7782092907093,74.6486658403325,67.0838878713879,79.7316561524895,80.2010307593641,76.3311020769354,71.7911391078058
"Godparent.and.Godchild",75.6623990207324,38.832694311861,60.5380392755393,71.4014613472947,36.9515914640915,52.4445950654284,59.4805341263675,70.2540491915492,47.1037732329399,34.4268640310307,40.086293644627,62.9398518919352,67.2429072470739,62.6677338864839,28.8359718213885,36.5148819544653,34.4906896344396,64.0654531425365,27.4579795975629,20.2169312169312,36.7755872214206,19.9320336299503,50.6722513597514,63.3614091155758,63.0174256299256,26.0147298688965,60.7737654320988,73.34669666753,56.7375761584095,55.3910257951925,77.6844271469271,71.4451677951678,70.3761732095065
