,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Guard and Prisoner,-1.6166057247409598,-1.2177483944958398,0.7196656654793872,-0.10281014485521663,1.2640651771707012,-0.2865263138402733,0.1317028156393691,-0.968653993352919,-1.6251776681911692,-1.0279199858947263,-0.6140631172577268,-0.46010617609423954,-0.9934506931864625,-1.896487276023338,-0.8758382774772837,-0.2572820051636344,-0.6013077860353863,-0.9333301707072352,-0.5154623601282687,1.407280919225234,-1.1077399810765922,1.974380579739821,1.5604881483466206,-1.597929135571504,-1.3263124188005777,-0.16680778352790832,-1.1422644856505797,-0.5209984898505982,-0.6753748031311061,0.44882301260223856
Nurse and Patient,1.4752435650290254,0.5719051447211503,0.8284867650506837,0.7120211965899862,0.7965851627147921,0.801023654107361,0.9620233859639612,0.5448621956687881,0.19773725007042048,-0.9299477285359832,0.043132912399321134,-0.2593969356367527,-0.5286851142760985,-0.45451770795618146,-1.0384792988154397,-0.3615617498564817,1.1997212287647945,-0.11951598835796907,-0.4816230125649181,-0.930570826411148,-1.0215301928759661,-0.849507067605643,1.3358176281093472,-0.5759269256829175,0.1709441177010774,0.37246337978030525,0.7951503009901608,-0.5135732131065861,-0.20305403866456528,0.6565141814910637
Therapist and Patient,1.292602678713499,0.7340340367756509,1.6482723818211147,0.8924481364814241,0.5468355659506761,1.2270741570146815,-1.1053053809666558,-0.14026858948507107,0.28646319741943577,-0.19515579834540908,0.42102062945212354,0.7221966934756443,-0.830543170681799,0.7016271573092449,0.5666009445545576,-0.7052986860662372,1.709747144460421,0.35728925344788914,-0.4054844805473791,-0.920479380027106,-0.9422171877313901,-0.8846300482940195,0.7767537754258991,0.27423420466687987,0.5749068961136529,0.5310725454591916,0.9847696205337229,0.07673628804237359,0.7578744131811558,1.080373709835605
Salesperson and Customer,0.4315813575117313,0.3536547131093222,-0.38305481017641385,-0.1551921596624082,1.0399309236644434,-0.3369796628687719,1.1060585869386355,-0.7319724493906767,-0.3265524388101252,1.4143884296910865,2.0886555547068824,-1.1625885176954436,-0.9527238125602967,-0.4577292214708076,2.059698845363857,1.0288348460481476,1.696465219572514,-1.2728354737731866,-0.47880306693463887,-0.779199130650519,1.8820154737211203,-0.5088141549283917,0.30651315167346616,-1.5798406008832104,-1.0817111034314955,1.1626254051623934,-0.35905425275325903,-1.3674800386679746,0.10639749667558256,-1.0643555035877732
Between Business Partners,0.6729282430001053,1.3763138783761735,0.4947687263653753,-0.11445059259014806,1.3985457292744559,-0.2641026031609407,0.4028278998269913,-0.7693432194899781,1.9722561970507286,1.5123606870498296,1.4807492272741134,-0.15277015164371271,-0.7658593014520059,0.489667265343917,1.9530489953060501,-0.16072668600359075,0.4187440453558667,-0.48897764169444574,-0.5436618164310609,-0.6984675595781835,0.602662216823829,-0.6493060776818974,-0.1219283055231954,0.04360538739113708,0.6267920236161851,0.7531253774096325,0.057283818418474505,-0.795733729379045,-0.1759091671434998,-0.5302924978736513
Between opposing negotiators,-1.2578468409068897,0.3536547131093222,-0.2742337106051175,0.18820104851806996,1.4305649083467782,-0.746212382766593,-0.4613833060210539,-0.7755716811731951,-0.17329852975273483,1.1694577862942284,0.355301026486419,0.17965452786399988,-0.9670980057224728,-0.5283825187925836,0.7639031671615008,-0.09120685620835936,-0.6597482555421768,-1.342733624404412,-0.5239221970191064,2.7258965800733805,0.737149486416806,1.2965070524541562,-0.696666845665058,-1.1728485703966054,-1.2151300027237222,0.9088507400761754,-0.9320343705044566,-1.2486756107637813,-0.251914807402483,-1.2890010536103802
Between political opponents,-1.5880680862541587,0.9639764557952556,0.04860221812306101,-1.08279033853976,0.5676480323476858,-0.7994686956300081,1.1357128930216567,0.08317747340033527,0.9438418073235048,1.5657205772184304,0.021568667676199253,-0.9211102127700298,-0.9784775753091958,-1.6307345326880214,-0.46456979319186503,-1.3261493882653181,-1.1511794763947336,-1.1436487132315472,-0.6465898319362525,2.385310264611965,0.8026689254492817,2.3835633047594063,1.7425556719020503,-0.8789098817118348,-1.4081312737084175,1.153308503122515,-0.14279944350792606,0.07530835020698673,0.2362752665686804,-0.8768791737430723
Between business rivals,-2.1359907452007385,0.827569936037863,-0.0021809616768772096,-1.006399900279272,0.48359768728283914,-0.7994686956300081,0.9281327504405086,-0.1348186855122563,0.5556657876715623,1.6881858989168594,0.043132912399321134,-0.9320864993575486,-0.9910549943260999,-1.7599979516517252,0.5899305992547029,-0.8192339626750889,-0.46782444091192155,-1.270339111250643,-0.6367200222302752,2.2322566611206622,0.8147382957973693,2.2176072210068276,0.593078591618325,-1.1620650208708918,-1.28896653032348,1.4558859884176214,-0.3939340606960546,0.30463516657012873,-0.9535053328700243,-1.522449839990912
Between enemies,-1.822076721845927,-0.11636318068329331,0.21999544994785247,-0.6753746678171584,-0.4969896718070386,-0.7553220152300719,-0.16166299811051857,-0.014920798110330933,1.1061699609961353,0.9227776383016782,-0.2587665137243852,0.03382672034410713,-1.049749616404986,-2.153408357193433,-0.7025322711333472,-1.2518017925120846,-1.3045857088500588,-1.2834450144939977,-0.5824360688474002,2.6855307945372124,-1.2732627744217944,3.164171550558572,-0.39281905800963973,-0.7067209457367327,-1.6778199034743289,-1.0110965731416726,-0.35905425275325903,0.6407717330202135,-0.9259428479409421,-1.551141869601927
Teacher and Student,-0.10411088494050529,-0.5092139575845838,-0.45288168240132887,-0.5378718789482804,0.9822964013342627,-0.6326923474524714,-0.10235438594447628,-0.9087050496519563,-0.6582664919672396,0.010410991648382332,0.3234680937999056,0.35762717467591215,-0.5173055446893757,0.729727900562224,-0.758523442413696,0.12700816509333931,0.28990937394316935,0.16694161110392744,-0.626850212524298,-0.363767921174126,-0.4344415352297025,-0.5175949001004858,1.1810803288403842,0.8238473740419535,0.5580869921430516,1.0727838497778497,0.26878229021706285,-0.17286724558326308,0.64511879301673,0.47881922537739124
Professor and Graduate student,-0.2011388557956288,-0.3346136122951214,-0.40209850260139063,-0.690652755469256,1.2232407238534897,-0.8779516830076725,-0.05787292681994456,-0.6743591788209203,-0.48888059248275567,0.04715058815791103,0.3450323385230275,0.11066072645673883,-0.6808119919091301,0.33631749502051644,-0.6465410998529985,-0.18389996260200137,0.2248279419924253,-0.22623548619671494,-0.6219153076713093,-0.3519945670594104,-0.06632573961302919,-0.413104032552566,0.8362372047552666,0.8085416908441667,0.7305622786212504,1.0727838497778497,0.5268928689937504,-0.39591113547070256,0.7002437628748938,0.5541358031063057
Master and Servant,-0.33811952053227373,-1.1421402092588853,0.31521391207273664,-0.5175010954121503,0.5564413196723729,-0.22065666371973364,-0.3173481050463796,-0.35826474839766265,-0.7359016958976281,0.7452029218389563,0.5247343778823765,-0.4326654596254425,-0.5089205986781062,-0.6640689647855399,-0.20794359149026664,-0.5759145583917787,1.2335901372289573,-0.30923954007129495,-0.6613945464952183,-0.39320130646091495,0.24747788943724972,0.14622943490982845,-1.1001895689534704,-1.0090081888930231,-0.6743273276011708,0.9678577863287403,-0.21255905939351713,-0.19171602501037058,-0.264443209642975,0.7549800103834113
Between Close Friends,1.214328013149702,1.482321230873347,1.400704380296416,1.2802205516513285,-1.5336105942734808,1.5108742452999857,-0.7992305788954732,1.1840580759089225,0.033392597594403314,-1.3795704096287866,-0.5894182661455875,1.7077104249407264,1.4657341869758505,0.128371994948471,-0.0772975251694529,0.2757033565998066,-0.38879698782887523,1.6522773120174652,-0.09881539325451387,-0.9995290433687679,-0.3318518872709575,-0.89867924056937,1.1943435259205808,1.9105508810848213,1.5678513966154164,-0.9793747400058952,1.4651597026549537,1.7465667927438577,1.320399673779238,1.0383138027921857
Between casual acquaintances,0.5237171617691173,1.084014193181761,-0.592535426851159,0.1649201530482071,-0.6706937182743884,0.5690783967680138,-0.5916504363143252,0.5464193110895923,-0.08658908120710618,-0.8162299298160134,-0.6037944292943354,-0.5973097584382248,-0.24898727232875312,-1.422789032615976,-0.45990386225183594,-0.8057162179926827,-0.6165819996564792,-0.5014594543071645,-0.36036535046291157,-0.3696545982314838,-1.037910052634085,-0.46227620551629295,-0.003765276990532485,-0.5000942225666101,-0.6398322703055309,-0.9964557270790061,-0.9903787765178602,-0.7697452607750027,-2.005473507663319,-0.7370055293893737
Between teammates in sports,0.8889989344001704,1.193139408987675,0.8674809923970648,0.26677407072885745,-0.5978500858848546,0.14232715290196393,2.025342075512291,1.0260108606972937,0.7603404162153138,1.5779671093882734,0.7619410698367172,-1.4611435128759556,-0.5349139313130414,0.7555805843549649,-0.5830844390686032,-0.6435032818038093,0.7491983365669911,-0.36166315304471397,0.0028436467170520146,-0.027049993493260094,0.010918230614731836,-0.2791098612264099,0.4353939152204293,0.3591498258424802,1.6682006542027326,-0.1985296166636856,1.1876714527989352,-0.14808459115132527,1.6506390765406465,0.9857117485053242
Between second cousins,-0.4408550190847574,0.5329318533618952,-0.7829723511009272,0.26677407072885745,-0.07113459014514885,-0.544398986652599,0.4759045826744361,0.48647036738862964,1.0567657403131607,0.05327385424283248,0.7403768251135954,-1.0484351371852478,-0.09554276032252199,-1.613874086736234,-0.7435924634056029,-0.12982898387237687,-1.318531729982361,-0.015667307420148734,-0.3208861116390025,-0.3943786418723864,-0.6939329977135871,-0.4561296838958271,-1.8444022940089595,-1.9511580212901258,-1.6746839891747252,-1.0232972781938947,-1.8050160686929324,1.6170686970502113,-0.8376408128903647,-2.112230448661778
