,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Negotiation,97,37,11,2,3,76,2,81,94,1,98,11,90,42,100,85,62,2,90,61,53,1,3,10,1,63,57,42,8,1,33,2,7,2,14,63,75,58,99,3,1,1,39,97,64,1,2,2,98,79,86,3,78,0,76,15,72,8,2,3,44,90,1,77,83,8,3,1,44,2,3,2,4,2,78,79,56,54,26,60,1,57,63,0,14,70,30,53,35,18,9,98,0,73,98,0,3,1,100,31,67,36,55,37,26,53,69,60,98,5,53,22,82,20,6,0,2,100,94,27,5,38,98,56,19,58,58,59,57,38,3,20,0,31,1,22,80,7,98,61,1,2,70,55,56,17,55,56,53,2,59,54,57,73,15,4,72,59,44
Coercion,2,6,0,0,4,63,0,16,6,90,90,1,8,2,81,79,62,95,1,9,65,0,0,7,0,0,0,0,0,8,36,0,0,0,0,57,27,18,13,58,42,100,96,43,8,91,0,1,9,37,12,10,58,100,1,57,31,6,0,3,0,1,22,0,100,0,0,0,20,0,0,0,1,58,58,25,4,5,0,0,68,1,1,0,37,4,7,5,1,3,2,4,100,100,62,100,63,96,9,0,0,57,3,5,0,6,3,2,11,1,1,17,11,0,15,100,1,3,3,2,57,56,6,1,3,12,3,0,0,2,0,58,1,2,2,4,0,1,8,0,8,0,2,1,2,25,1,0,10,0,1,1,4,2,13,1,4,0,1
Importance for society,56,37,12,3,9,3,7,69,75,64,100,67,59,80,76,60,87,0,96,67,25,18,8,6,4,43,37,14,5,6,2,1,0,37,22,66,76,57,86,3,59,67,67,62,97,20,0,60,37,0,62,72,41,0,62,63,34,32,42,31,4,36,17,63,0,0,13,7,17,42,36,3,1,0,79,90,77,95,96,68,0,84,68,46,54,45,68,34,13,45,91,94,0,0,52,100,2,47,45,89,53,100,94,100,85,44,68,59,59,56,92,2,3,11,59,0,36,52,87,47,11,4,100,78,57,85,56,76,59,60,100,57,5,1,3,0,57,0,61,74,7,48,56,84,82,10,83,96,76,43,56,88,65,56,44,41,3,53,58
Importance for individuals,100,96,100,100,99,16,75,7,7,1,59,81,9,75,44,76,42,17,43,87,59,99,3,94,43,99,87,86,83,16,69,89,63,100,94,8,27,31,75,14,4,7,11,10,2,5,2,28,1,66,55,60,7,0,1,40,58,80,42,31,82,26,3,47,4,57,97,88,88,100,100,34,34,85,6,75,84,100,100,100,0,100,99,71,19,7,41,21,21,41,81,20,1,0,22,4,13,56,10,67,6,90,28,70,67,86,75,83,74,32,94,56,8,15,42,1,28,28,73,33,14,31,58,24,76,94,88,58,73,97,0,41,18,59,9,0,100,31,87,100,0,0,26,84,84,41,95,99,100,7,100,100,91,85,67,83,20,100,85
Affiliation Coalition,95,95,100,99,99,5,79,70,8,1,10,34,15,98,0,0,0,0,67,69,40,97,65,100,83,99,82,90,66,99,66,90,12,97,85,72,92,88,3,61,3,1,1,10,77,98,99,37,6,60,57,73,6,0,68,84,92,5,78,94,98,57,4,91,0,55,98,90,90,99,93,97,98,0,13,92,70,67,88,75,0,69,67,47,56,56,56,45,57,42,4,7,1,0,1,5,9,4,0,4,13,7,59,9,2,42,90,90,92,73,2,87,1,1,9,0,9,3,89,20,1,59,43,45,36,36,43,98,98,36,83,0,4,16,0,6,43,20,95,40,0,0,15,71,67,41,65,71,73,100,40,41,30,37,14,46,40,32,99
Occupational,0,0,0,0,0,0,0,100,91,97,94,96,91,100,93,97,98,0,94,100,90,0,0,59,0,0,0,0,0,0,0,0,0,0,0,93,100,90,88,28,6,87,95,100,92,98,0,56,73,58,95,98,82,0,89,20,86,85,72,62,0,0,83,43,0,12,0,3,0,0,0,0,0,0,95,99,0,0,0,0,0,0,0,0,100,100,96,100,100,100,100,100,0,9,43,91,94,94,100,91,99,100,100,69,96,83,17,25,97,57,0,94,97,100,89,100,99,94,100,86,0,4,97,100,93,57,0,0,0,0,0,93,90,93,90,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,85
Activeness,96,97,99,100,96,62,40,41,94,88,92,99,87,76,96,58,73,66,100,99,74,97,30,100,3,90,95,90,92,4,93,96,8,95,94,76,90,70,67,93,62,92,63,77,11,96,41,3,5,96,97,98,99,0,8,93,92,77,92,89,90,94,85,76,41,4,97,54,99,99,97,64,6,11,88,93,75,71,87,99,2,87,95,1,71,32,57,63,77,67,99,84,71,89,83,93,6,64,99,58,70,90,64,77,63,97,98,96,65,68,95,83,89,70,76,74,69,60,70,68,37,100,70,72,77,99,99,83,90,94,2,27,24,14,3,1,99,6,63,99,1,0,9,78,76,79,73,97,89,10,96,98,85,99,98,27,94,99,86
Endurance,100,100,92,94,100,84,100,66,4,2,1,45,8,91,1,67,68,59,13,58,67,96,61,20,100,100,93,100,98,100,32,91,100,100,87,62,69,69,59,2,8,4,5,1,80,84,100,6,9,24,12,38,2,100,15,1,35,1,32,23,1,13,7,8,43,47,30,75,46,100,100,84,70,67,61,59,100,91,97,94,90,99,100,100,64,46,71,58,79,27,10,48,13,11,0,15,64,10,11,4,1,43,46,68,2,64,63,59,64,56,1,91,1,0,15,52,3,1,44,30,20,31,45,60,26,64,66,69,69,8,100,59,68,82,4,2,86,57,79,71,99,48,35,100,100,60,92,99,93,100,92,91,78,59,32,57,44,80,77
Synchronicity,100,94,100,100,100,100,100,87,96,93,91,72,71,91,77,75,84,100,97,94,83,100,95,99,100,100,89,90,100,1,84,100,99,100,28,80,83,86,34,91,95,68,83,88,65,86,0,3,3,78,71,96,92,100,88,86,85,81,92,93,95,82,96,75,84,33,5,10,95,100,96,100,9,18,89,70,98,93,89,99,99,94,80,0,89,87,88,89,87,86,88,90,100,100,94,90,56,85,96,99,92,96,55,97,95,93,90,96,75,89,85,88,100,88,99,96,100,90,97,86,87,96,88,85,83,90,98,32,32,98,0,99,79,91,97,100,93,86,81,94,99,0,100,85,95,90,93,89,92,8,90,100,89,86,88,81,100,90,61
Spatial Distance,3,4,100,95,55,5,1,69,99,100,100,83,58,75,69,1,60,1,76,88,98,72,55,100,1,1,86,6,12,0,72,1,0,73,72,69,3,62,4,87,99,93,37,100,3,52,4,0,0,15,91,85,100,0,0,86,83,21,73,90,97,78,94,61,95,0,95,9,92,100,58,62,0,0,3,91,38,68,89,97,6,41,28,0,20,47,16,27,31,40,16,35,46,100,15,70,11,57,8,93,96,68,61,94,100,21,63,43,52,37,99,76,99,92,89,81,80,58,81,39,3,80,43,59,33,11,98,56,57,94,0,86,23,2,0,77,19,4,3,62,1,49,93,37,39,8,65,65,30,1,58,70,82,69,90,56,96,0,38
