,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Negotiation,97,78,100,73,1,99,68,95,99,0,1,1,67,99,100,93,84,2,76,78,0,1,0,97,1,1,79,1,1,0,97,0,1,0,2,99,93,77,99,99,1,1,100,79,84,17,0,1,67,100,81,2,94,0,81,87,85,2,8,1,2,22,1,2,0,1,1,1,99,0,0,2,0,1,69,99,2,0,86,83,90,0,1,0,87,99,81,88,78,64,98,100,1,93,99,69,0,2,94,1,3,78,68,1,79,89,75,74,67,80,0,76,99,84,78,0,0,100,81,1,50,97,99,96,97,94,81,89,84,2,0,79,84,0,1,1,1,0,96,67,79,0,78,1,4,93,3,18,0,0,27,70,7,39,1,2,83,73,1
Coercion,59,72,2,2,0,61,31,99,57,100,6,0,79,70,74,85,91,100,0,5,100,1,5,77,1,60,57,1,1,0,77,1,68,0,2,97,61,99,93,69,0,100,100,85,4,99,0,1,0,100,31,1,57,100,80,2,2,56,1,4,1,1,1,0,99,0,1,2,7,2,3,1,1,2,99,100,1,1,1,1,78,1,1,0,91,88,85,85,81,80,80,77,99,100,90,100,96,100,85,62,90,29,77,3,76,72,69,64,80,69,1,97,100,100,87,100,47,22,42,1,64,66,1,72,70,1,1,24,23,24,1,99,93,1,1,66,0,1,66,1,30,1,0,2,1,75,2,2,0,1,1,1,9,4,24,1,1,1,96
Importance for society,98,100,17,9,64,10,13,92,68,97,100,96,8,62,70,87,17,5,97,62,4,90,74,23,1,2,97,0,3,4,1,1,3,17,14,90,100,83,69,86,76,94,95,8,100,82,18,83,67,1,72,93,59,0,77,3,29,69,100,81,30,75,73,79,27,2,14,0,1,22,1,90,7,5,28,0,2,98,66,85,0,2,2,3,97,63,79,85,2,72,99,94,84,6,78,94,99,98,66,71,76,91,83,78,79,64,64,59,90,63,21,98,92,59,69,100,65,71,81,65,1,18,96,95,89,81,25,2,17,65,1,97,80,65,1,0,24,1,96,2,3,98,95,1,1,1,1,98,99,1,5,3,3,1,60,1,16,3,78
Importance for individuals,100,100,100,93,100,69,64,79,29,9,14,69,10,21,13,20,8,71,76,77,65,100,45,22,11,85,80,58,27,60,68,71,41,100,58,9,7,62,25,58,6,17,21,37,15,12,66,23,30,70,61,68,17,75,10,27,36,0,77,78,84,28,4,37,64,8,63,41,70,100,100,76,6,4,58,38,2,100,86,98,78,98,98,99,82,66,14,58,16,5,2,1,22,80,61,75,2,72,2,1,1,42,1,62,2,75,58,57,2,65,32,72,24,0,22,61,2,3,1,3,3,69,67,20,4,98,89,61,62,58,1,1,2,2,2,1,98,0,76,99,78,1,1,5,2,19,82,97,100,1,98,100,97,75,2,3,97,100,69
Affiliation Coalition,0,0,1,0,0,0,1,100,1,99,0,80,1,98,0,99,68,0,100,100,0,2,0,100,1,1,0,0,0,0,0,0,1,0,0,100,100,100,26,0,0,1,0,2,73,100,69,2,90,0,98,1,99,0,97,99,98,40,0,0,1,25,64,96,82,0,0,2,1,1,1,100,0,1,98,99,0,1,2,49,46,25,1,50,98,23,99,99,99,97,76,98,0,23,12,1,1,0,56,2,1,75,98,2,50,96,99,99,98,98,1,98,0,1,77,0,49,18,99,96,76,99,0,98,99,99,0,100,100,62,97,1,0,0,49,0,82,1,99,84,49,1,67,48,1,76,75,1,1,99,74,76,76,1,90,79,2,1,99
Occupational,0,0,0,0,0,0,0,100,97,100,100,79,86,96,94,99,72,0,85,70,68,0,0,62,0,0,0,0,0,0,0,0,0,0,0,96,100,90,92,100,65,99,100,93,98,100,0,63,88,0,90,84,76,0,100,76,100,96,0,0,0,0,94,97,0,0,0,15,0,0,0,0,0,0,98,0,0,0,0,1,58,1,2,0,100,100,99,99,99,99,99,100,2,41,49,99,2,82,97,98,100,83,100,98,98,60,20,57,71,96,65,63,99,99,99,100,66,68,100,28,36,94,99,100,99,78,0,58,67,0,89,79,99,68,69,0,0,21,80,1,0,0,20,1,2,0,1,1,0,1,50,1,1,2,36,28,28,0,97
Activeness,0,2,1,97,1,81,28,99,98,64,99,0,99,1,100,2,2,2,22,9,22,1,0,97,2,1,98,0,0,2,28,2,2,2,0,25,2,2,35,98,98,95,100,1,1,37,1,0,2,78,99,1,99,0,1,72,98,99,0,1,99,100,99,96,95,1,1,77,0,0,0,27,1,1,73,2,2,0,4,98,99,0,1,0,78,8,89,92,97,90,98,97,91,99,94,34,0,96,81,3,97,95,97,98,97,92,89,89,0,89,91,76,99,97,93,79,98,93,97,93,42,95,27,96,97,99,99,59,73,96,2,22,28,0,1,0,77,0,0,86,0,0,21,1,2,90,1,1,0,1,2,79,2,100,92,63,97,75,93
Endurance,99,99,98,99,0,96,86,1,0,3,1,67,1,70,1,1,0,73,18,76,1,99,0,67,90,99,3,70,97,99,2,99,97,100,68,1,4,2,1,1,2,0,0,0,0,2,1,87,0,2,1,2,0,0,1,2,0,0,85,1,1,2,0,2,2,1,1,1,88,100,99,1,1,0,2,2,99,99,99,1,1,98,98,100,2,2,2,2,2,2,2,1,2,1,1,2,97,2,1,1,1,2,2,1,2,1,2,3,1,2,2,98,1,2,1,100,1,2,1,98,1,1,2,2,2,99,2,96,98,1,99,1,1,55,56,2,99,49,25,79,99,99,2,99,98,22,99,99,100,97,98,89,99,22,1,1,65,2,98
Synchronicity,99,99,99,98,98,99,99,1,99,1,98,99,2,99,100,99,0,99,100,99,0,98,1,98,1,99,97,1,80,1,98,85,3,99,3,0,99,99,97,95,1,0,98,2,1,99,1,96,1,99,98,98,97,0,1,1,99,97,98,99,100,98,99,99,99,2,100,99,99,98,99,1,1,0,1,97,1,2,1,99,97,0,0,0,99,99,98,99,99,98,99,98,98,95,98,1,0,97,100,99,99,99,99,99,99,93,99,99,0,98,99,1,100,98,99,0,99,94,99,0,99,98,99,99,98,1,98,0,1,94,1,100,1,1,1,0,1,1,1,1,2,1,50,48,1,0,95,2,1,1,1,1,1,99,98,1,99,1,1
Spatial Distance,93,96,100,95,98,32,39,86,95,99,100,97,9,82,92,2,1,92,83,80,79,99,87,100,4,58,91,33,61,0,92,63,24,99,70,97,78,91,65,91,78,94,91,2,2,1,5,0,1,93,95,92,68,0,16,91,91,59,77,100,95,97,98,80,44,3,96,0,89,99,59,100,6,0,65,3,26,100,93,100,99,97,84,0,98,48,95,61,97,71,76,96,99,99,97,88,76,95,56,59,98,75,59,100,100,86,91,76,2,79,96,75,72,96,99,98,100,61,86,44,98,61,1,61,99,84,99,96,97,100,1,39,17,0,1,61,95,1,2,92,31,50,96,39,35,99,77,100,100,15,95,99,99,96,98,75,100,0,74
