,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation_Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Native and Tourist,-0.8066587426984828,0.25954617334589836,-1.7313328372794,-0.505122613960788,-0.08022781490056434,-0.8063026990519495,0.7862799460223892,-0.9888016825823265,-0.16976006629773555,0.4434496769381233,0.10083667356538187,-1.2082372703666648,-0.8854705843524687,-0.34462893172430603,0.4785812443819639,1.778983463361466,-0.23388692872359537,-1.2126770010239936,-0.559414977456084,-0.6848334895036913,0.08431745626416208,-0.5953556000671787,-0.45018618740843586,-1.8524288256109787,-1.1064275040508813,-0.25356189204514656,-2.3265736014005407,-1.6217414199618063,-1.1413758174710749,-0.31643438057169393
Bully and Victim,-2.2368844057038286,-0.9651932721831983,-0.2560883560422752,0.25800375303262074,-1.113626834548064,-0.9721311389126704,0.2804996658853495,-0.6605410574341417,-2.111827498552853,-0.9914619803041851,-0.7409192050125526,0.30836345158993606,-1.2546403881732278,-1.9986108716150617,-0.3654719280846622,-0.9878356716637756,-1.0044588636792326,-0.5701665641254586,-0.5999446750387615,2.142149626899497,-1.456541866512097,3.206879845402015,-1.0846979511620078,-1.321953669134368,-1.9169166269974234,-1.0013400449705891,0.10641783509551556,-0.6393597933148967,0.7543330168020176,0.1703755442055607
Between friends,0.8766034777654155,1.5738269528471445,1.1860305310991859,1.4119756756988406,-1.2548645455509262,1.251138973029277,-0.4382748246668342,1.387259620376265,1.0950985319098292,-1.1560627386567965,-0.19255346282195607,0.10192993741724535,1.2651409399108429,0.4355383855734109,-0.8983318049128288,-0.42718819570444233,-1.0704574675739063,1.4000526841921908,-0.4398126345895555,-0.8414172385193666,0.06682702662605033,-1.0727060036527678,-0.27447859545053266,1.3022839116212577,1.0874174701993762,-1.060070071261143,1.1914005027221348,1.0527008424574364,0.5856115591267986,0.068014533127703
Between Facebook Friends,-0.3025685114496369,1.318910478288961,-0.8169123677083989,1.0468678713768536,-0.9822167076494543,0.2241835319021926,0.5003681565080045,0.3856412725248682,0.03067783411245814,-1.0480506120405466,-1.3859105605857795,-1.1171947372451216,0.25979482977329477,-0.675941203863227,-1.067220628676415,-1.0152209281007318,-1.188656647912903,-0.01978658615079032,0.17269633342387825,-0.8885539748916312,-0.22921750633555862,-0.9163741004909491,-0.9543905817224196,-0.2726968806313321,0.027685494442569406,-0.956254368222285,-1.2641673407972627,-0.0602743583127116,-1.9490657473629398,-1.7605408042996809
Between a person and their social media follower,-0.4135952815944294,-0.5757231266925791,-1.2178433308714214,0.3584849948158031,-0.6195146142605603,-0.6944152331877916,0.9231921769361875,0.05293587725954409,-1.2944393963771552,0.34330812867194077,-0.8530257471438946,-1.7413203579208925,-0.23967019892537905,-0.9134628695510565,-0.39401101172989794,-0.23757674047918229,-1.4127325801784758,-0.5165217636640803,-0.2714750319503301,-0.8307698815976314,-1.5896434023469106,-0.47180525087452785,-1.1606560157599586,-0.5781785877305861,0.6715026037461364,-0.560144493933614,-1.9727669638260017,-0.5048428070935357,-1.2088210059630682,-2.296830885594638
Between childhood friends,0.5378715809945592,1.25524066461744,1.124401518828183,1.3041638072262978,-1.5172678032336304,0.6988946213033455,-0.033101401976151565,1.2362580664198801,1.4163718522815965,-0.9398675801606636,-1.5030921961784727,0.4781192042770332,1.4220614848644881,-0.3336022848961529,-1.1680847873130011,1.010537767235768,-1.2452238241195004,1.0930559965845097,-0.5236354182264565,-0.800879645239219,0.14859478518422387,-1.1545941434041964,0.2886190945078395,1.2274949302304858,0.5620339429845256,-1.1185628045161795,0.7738465669991632,1.0478093156857502,-0.012036929632874584,0.4994323186365283
Between pen-friends,0.5973001496364254,1.3885428134457045,0.11111784207244883,1.0640073374903503,-1.27552275846732,0.673189947311927,-1.7708872055611418,0.5915193711150508,1.5640277722504392,-1.1227606272859638,-0.4967750167645248,0.16011263169840192,0.3866352570218709,-0.42188872627770974,-1.0833471656677296,-0.022349073719755863,-1.0089764151757663,0.8365777512413838,0.02317233325106533,-1.2234604868165715,0.6440492273568725,-1.0045434327801295,-1.18987695224861,0.5549592537442024,0.47753939483585256,-1.0952953749085725,-0.3308630582206677,0.5708854554463791,-0.4853061261852363,-2.1805270125427194
Between friends with benefits,0.5242785271726077,1.4568130320968522,0.5899099033142154,0.8098766148022755,-1.229888533439241,2.183148805361531,-1.8848335138700452,0.5120114609178191,1.189208898483377,-0.3947903749292364,1.1824086584282811,-0.09248197083456051,0.15476898184139964,-0.6921820015170957,-0.744689888850122,0.056430431098885805,0.7969147955636252,0.4175693357723941,2.153105472578584,-0.45102582612254727,0.4388408604940671,-0.3930964801854178,-1.8084822678482286,-0.20344874184525494,0.20836596206239805,-1.013050610359759,1.123740499047173,-0.37440209318191275,0.7861633570897663,0.5118268820306833
Between political allies,0.35752205737342746,0.9521723515410006,-0.3670205781300798,-0.625369714582474,0.7977157106819329,-0.6362427890300358,0.5649490215774092,-0.6454792884814244,0.22376634484094465,1.0911136044363432,-0.14347672372783388,-0.7228837150701997,-0.6598722991566547,0.32286785184969696,0.5137664159993777,-0.4994027417881972,-0.2195342911564827,0.04068097402581018,-0.6411516737174061,0.05040981364388066,1.6940453457404878,1.1782468339018224,1.2180537198390873,-0.15908006874372912,0.24469040454739685,0.6965455543916782,-0.3736047996726255,-0.2517921129179448,-0.1365676856079572,-0.8861079809834054
Between romantic lovers,1.0796237260723418,1.210880548534823,1.8309781445152282,1.6333786070722134,-1.0158492534432215,2.496246785613858,-1.492911211570352,1.7156310900980014,1.6555610801044276,-1.0941136497626665,-0.7057839425878131,1.009185509259007,1.7362662376801294,1.1665345510269802,-0.6285788225126564,0.04642668445524881,-1.1056331940703543,1.735472934920149,3.093892950103332,-0.9108025144593401,1.1068024423375529,-1.0718917749904666,0.3275108935182844,1.5973189077941095,0.8788113862140956,-0.8311416152457414,1.5854464806465296,1.2122869033836872,1.3996604637317167,0.9865169151787508
