,V1,V2,V3,V4,V5,cl_k3
a person and their family friends,-1.32398508162667,-1.16706986499088,-0.228085036064488,-0.0871462065199807,0.596273607515387,0
manager and staff,0.522088738322029,1.28242551679043,0.0197516855854877,-0.286680508236274,0.608422245962241,2
union leader and union member,-0.15901904489813,1.76768953607411,-0.165259435792909,-1.05196377450807,0.130529534340975,2
manager and assistant,-0.104859236199716,0.985383834961873,0.621790802173121,-0.116828071747851,1.02248843058063,2
entrepreneur and investor,-0.128514615635901,2.39639600718201,-1.11594125383018,-1.39133588421577,-0.570934381149166,2
drug dealer and addict,0.700375806187751,-0.300664527050586,-2.31746305604631,0.647932354122612,-0.792747497913687,2
victim and witness,0.580443984293996,-0.723751578429664,0.259935065349091,0.490887750111667,1.00328445410415,1
criminal and police officer,2.02750335712084,-0.224016163346299,0.736929635784817,1.69189461687161,0.543659099483749,1
criminal and prosecutor,1.8095384808563,0.800232508802135,0.68842995924726,0.841897615014511,0.352646119633785,1
customer and businessman,0.295281811632943,1.48088769654424,-2.25260053051661,0.337371392565795,-0.276760195090227,2
representative and citizen,0.154063071103363,1.32530066750795,0.584163887220594,-1.99375102185631,0.727061209890587,2
officer and soldier,0.483959591899189,0.132017907906506,1.07880096472614,1.03445831628356,1.66602352450019,1
religious followers,-0.158333924321538,-1.35533487686235,-0.11578715068651,-2.51722691348222,0.52403923834854,0
reader and writer,-0.0481795970644545,0.006117418107271,-1.24443522256552,-2.53964211568142,0.250124289017152,2
reviewer and writer,0.720068418879089,1.48946994168057,0.390192305375824,-2.53704682706265,-0.166878422262815,2
sugar daddy and sugar baby,0.122208546009944,1.10171416845891,-1.71352975954879,-0.0215296619076317,-2.75670325932055,2
director and performer,-0.0638571074225406,0.785488212188508,-0.16698967111195,0.572702738484504,1.08998924362004,2
psychologist and client,-0.653601228714914,0.648425927059278,-0.667281541190428,0.866281893102944,0.758992615889931,2
judge and contestant,1.19893929544921,0.448484139802676,-0.294977821906746,1.17598372017077,0.248011506265985,1
man and god,1.81478338380037,-0.881395123951506,1.98975132064817,-0.922471533230263,0.0490534557801086,1
university student and administrator,0.109710395508986,1.12531473532371,-0.981717418629029,-1.6424829501915,0.498487818420943,2
student and dorm resident assistant,0.178624291377959,-0.259293003110382,0.726583478114972,0.979630422238724,0.718569064651419,1
athletic trainer and trainee,-0.551673678734048,0.387078138649557,0.0666201218481074,0.881341364705355,1.20919806097875,2
researcher and research subject,0.12372034672244,-0.240941098214407,-0.788416822478273,0.0136714078592151,1.23230297952865,2
peers,-0.225247092055108,-1.25156315751965,0.13054450022156,0.809461168599515,1.04173765515815,0
classmates,-0.232558221802278,-1.41013514984707,0.222166282733897,0.853171093462575,1.47047622879405,0
bride and bridesmaid,-1.16967343957144,-1.0481363885866,-0.909476525334521,1.57004144502789,0.837566092673898,0
