"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Between.Co.workers",72.1817922817923,76.0813473563474,64.2722199097199,37.9550893550893,71.1133782883783,32.85197996448,81.991378991379,56.0101454101454,80.1975205350205,68.7386405261405,69.3262815887816,45.8747915664582,32.3939514189514,85.2296256212923,43.2312690396024,42.3739979156646,51.9586179252846,45.6518879268879,17.3389750681417,43.998709315376,63.8472522847523,27.6880711880712,72.5823987740654,73.5000376167043,78.9924183840851,86.8479522021189,67.6241351241351,62.5278252611586,82.4520494937162,76.9826397368064,81.5443203401537,71.8011243386243,47.8772287897288
"Between.sports.rivals",29.4300000925001,78.3673442298442,49.8042526917527,36.9700147075147,65.4236388611389,24.6197224072224,79.9816026566027,38.7116600991601,48.6684588559588,80.9738677988678,49.2126928626929,45.5340848965849,24.4374358666025,27.4795835337502,28.9586139169472,27.3656184864518,24.1021464646465,25.5040143498477,10.1550966009299,84.3960798460798,27.8574675324675,37.7145121853455,45.112421683255,54.7839473797807,33.1948927615594,61.8272247813915,51.6281542531542,44.4705755664089,68.1433788433788,50.6033161283161,62.4880306421973,29.3572913197913,36.094573019573
"Between.romantic.rivals",31.1063875938876,70.5512556887557,48.8525923150923,62.3773097273097,30.4512496762497,43.7963735338735,40.439257039257,40.1118284493284,41.845202020202,61.0697968697969,42.365157990158,67.1592592592593,49.6495410453744,31.4171196087863,20.4096641013308,28.3319624819625,17.4262145262145,35.6960758377425,43.5071468654802,83.5136544011544,34.0156786115119,44.9608124899792,34.3041470874804,56.3546220754554,31.4646956438623,24.8192941317941,49.4705196038529,42.7143222518223,59.6526661609995,43.1777381569048,45.7263785597119,30.1531169447836,34.8406638114971
"Between.criminal.and.their.accomplice",60.883312058312,50.8342490842491,60.4753908128908,41.3015877640878,40.0839082214082,27.6884629259629,29.0564241314241,43.7059745809746,65.205648980649,72.580204980205,67.0129416879417,60.262177328844,24.0136824595158,63.3212421837422,64.5848685265352,54.4113876863877,43.2735409652076,40.4618406285073,13.1370670995671,52.5101270642937,53.1369929453263,53.0442921276255,42.0153485403485,51.4181401931402,58.6287291412291,45.7558327474994,63.7162753912754,42.8549694133027,67.1211902295235,58.5440661190661,23.3045651878985,49.7888814888815,41.2229213687547
"Between.diplomats",56.6033087283087,65.9964114589115,49.7754065379065,31.0668216043216,84.660637973138,22.9309135309135,71.7014124764125,39.8389050764051,67.1562553187553,79.9925777925778,51.8992451992452,45.6003928170595,19.6933261183261,64.8583654000321,42.3515873015873,42.2507375340709,51.1663740580407,30.967133637967,12.0847462722463,54.1347242263909,79.7223585056918,39.9656044572711,74.5605223480223,57.0135671427338,57.611065631899,78.4700939492606,60.4280817947485,49.6730719897387,63.5436404644738,49.5448993907327,68.9008693467027,51.9831352289686,42.516165624499
"Principal.and.Teacher",76.8336524586525,32.6315318940319,58.8728674103674,34.271953971954,82.5832866207866,27.1252058127058,75.8339304214304,46.0453588078588,62.5562257187257,67.4569819069819,60.9896085396086,53.0159090909091,31.0206810165144,80.9431297097964,42.9174021965689,31.5943943402277,57.2720999679333,46.2596480679814,12.9459275292609,26.7751142376142,50.4422178130511,29.5204986371653,67.8677880761214,67.1987216487216,72.1795961754295,83.4260087135087,61.6608057066391,63.3608786275453,61.7216747758414,67.2467167092167,78.424981037481,72.8044040835708,55.5947464572465
"Professor.and.Teaching.Assistant",77.3847656972657,33.5927956302956,58.588684001184,33.9077621452621,78.1580081955082,28.914368964369,74.5559602434602,47.0244431494432,63.5827630702631,64.2587574462574,59.2289553039553,53.5251302709636,31.3394320185987,82.8121091871092,36.1150933942601,33.8289442039442,58.3007575757576,47.616207712041,13.7838664421998,24.7413159371493,45.4566077441077,26.4742243867244,64.057398311565,65.4955140538474,73.0935391768725,81.5104583687917,62.5415457998791,55.8220054636721,66.7110651693985,68.2260395468729,78.7027161110494,74.3773424106757,58.25377662461
"University.student.and.Administrator",69.5307960557961,34.2076044326044,39.2331187331187,31.0947251822252,80.5537730787731,24.7024581899582,76.0674228549229,43.2827922077922,53.2686674436674,57.3794289044289,60.8075281200281,44.4679272887606,28.7420133878467,76.385405643739,33.3457391374058,37.2555515472182,63.5019039602373,37.8607964566298,12.7915945165945,28.3078322911656,47.3661034952702,28.9343374218374,59.8567696192696,56.6809624017957,59.3840750299084,68.9417932376266,51.718919043919,44.2222118930452,50.8933785350452,55.76973998224,74.2170465337132,63.6361265277932,67.6489265364265
"Student.and.Dorm.Resident.assistant",66.5771822222802,38.9087900117312,43.3092975470426,36.913928954125,71.7230697407168,23.2615330022193,72.3921713544263,43.0026373045981,54.3354894198031,62.8894276565845,62.4337430543313,42.6661411119744,27.381894031894,55.2701975493642,45.9673006006339,42.4746606788273,71.3038527830195,29.1677166968834,14.7062514645848,36.0360172235172,53.9433802308802,26.1581660623327,48.9600840517507,55.4126973335307,51.8520299145299,61.6212876629543,51.5534747659748,38.570290666124,51.7832750582751,59.8152290610624,75.0709680751347,55.573785011285,59.4531892490226
"Mentor.and.Mentee",79.9182757148443,32.3389000433118,63.5845781669311,39.8454256165041,78.8340517688557,31.724336919435,71.6195797303641,47.3626357121455,60.0939900694803,66.2538146675402,55.566775762364,63.0729814938148,38.8728993228993,86.5873677248677,39.91551334468,40.9533321616655,68.6094228302562,55.3547014713681,16.5852824644491,29.5724012099012,51.0469118844119,26.852941040441,70.6938487438487,74.7556002639336,72.167612017612,79.6467148592149,74.9107722524389,50.3492188367188,72.2133651841985,69.6695290820291,83.3527497194164,80.7564700731368,74.9460110876777
"Athletic.trainer.and.Trainee",75.7672186564343,38.2687425319778,66.9838226588227,39.7234542690425,72.5010059475746,31.6611124532693,74.3502029742226,45.1527378395025,62.2335717115129,70.9514259705436,63.7338410500175,56.4093451301785,34.5970025345025,81.0813990022323,59.3527899569566,44.701761355928,75.5822426030759,55.5829513079513,17.1117649325983,31.7153067611401,54.0586598586599,32.0948129031462,59.9843505260172,70.8630104463438,74.3022475980809,86.2664852123185,77.626038621872,51.3457900124567,74.0935299268633,75.6118711535378,83.6201660993328,80.8173129339796,68.779220625054
"Researcher.and.Research.Subject",73.4607649793924,48.8629812816087,49.0783116121351,30.4071507287194,84.1683373452981,22.0274080131923,63.9970034504348,37.0517397453672,56.6118232529997,74.6267350478135,69.2431826887709,49.3297144213811,26.3373721957055,75.7204958621625,51.7068628901962,47.9858430150097,60.0865301365301,36.5790457998791,14.0597208347208,23.0428705553706,46.9045030586697,24.4599773683107,70.9045704295704,61.061755682589,65.4577661535995,81.8659638201305,65.9873880748881,33.116000357667,64.7439521897855,54.0497641247641,75.9696363821364,67.5873871498872,57.5985218485218
"Between.peers",66.6708714125381,82.4585604845409,65.6881516087399,67.2851273454215,36.858513926161,50.4159518767362,65.5509551450728,61.4438135938136,59.7795912692971,42.6213752841204,43.9821229242798,45.610072643406,47.3714762089762,59.6100522933856,28.9703816245483,39.6492863617864,31.2805654222321,53.4391870475204,36.5343847510514,40.5791418458085,52.0484780651447,23.8213402338402,66.1419333752667,66.0806647056647,63.9975855934189,33.968880348047,59.9068960360627,61.9312341979009,67.3030318446985,59.0599428349428,73.0117407284074,59.6831148789482,23.1045473045473
"Between.classmates",64.0202273398352,82.6354190471838,67.4017670601004,63.3411497725223,38.8879583923702,50.1970449666528,71.9672361226283,64.7023496837222,65.4574085863302,44.9009672426339,45.4263373699648,47.8748333456667,49.4322965614632,67.0251940960274,23.8261795303462,38.3854144312478,30.0899487857821,55.0937027478694,30.7988250946584,40.7004569504569,53.2961213169546,24.1112222653889,59.9669136419136,70.2170796795797,73.0099992599993,39.3451927701928,68.1041372208039,57.9643786768787,79.0213724547058,76.9285179326846,75.5198901407235,65.8508617925285,19.4500769292436
"Between.roommates",75.4472236369295,83.274899428821,73.9782083203652,69.601939545567,33.4412864368747,57.2965314460413,52.2375381517538,70.5329085039869,68.1391775073148,44.2891658631855,48.6559528343842,66.6583479791813,56.3187954021287,63.8379786879787,35.2213089379756,42.8205320913654,33.1812075270409,65.6831363081363,26.9144944561611,39.6459677668011,57.1286258494592,23.7433497058497,53.8196345321345,75.2440155523489,74.0781409948077,32.8786252327919,65.7044762336429,57.0232572982573,69.4260501843835,86.0154731071398,76.5023487315154,75.6047537339204,30.1243571243571
"Between.sorority.sisters",64.4900747944866,72.4044758981034,67.2491889918361,64.6729120189904,39.9733865626022,53.499647937393,58.0636929519282,64.7804220289514,64.771243534969,45.028051940797,48.8769666607902,50.3013471096804,51.2208785042118,57.7604679271346,25.4131804923472,38.976517001517,33.0825948742615,60.5933871683872,18.824169657503,31.9538951788952,49.2433042266375,22.8751617209951,46.5853792812126,61.4970344470344,69.0108067858068,31.897069288736,61.8117889826223,55.2983627483627,59.929540675374,69.1722262305596,73.3833638583639,68.2912254412254,27.9604773313107
"Between.fraternity.brothers",71.8372342164009,75.8307715432715,69.3395138811805,70.6527464819132,34.935861669195,53.5737199528866,67.3583760375427,71.2938418063418,69.4335311293645,37.934907376574,48.8682481099148,56.1263812576313,56.7483694546195,72.2246913580247,25.5260115655949,31.8207485415819,30.7523063356397,70.1428130511464,14.5821208112875,32.1443808506309,43.0300239112739,21.7031567969068,47.5168192646134,72.3922239162435,85.9837293969647,37.247656174617,76.4871303351696,68.4494917210604,77.5767235306451,77.5362757250012,72.0362177401393,82.7324301696851,30.8348325331168
"Bride.and.Bridesmaid",82.2858299108299,61.4212915171248,77.2574952824953,77.7034932659933,36.6487339820673,66.612661720995,59.9008086049753,74.0132102465436,60.0398209814876,34.3157974741308,43.7616633366633,78.9371718559219,76.4452431827432,73.3048093881427,22.5438254646588,31.2274394586895,38.0377145231312,78.6144205331705,20.0103954687288,25.8390923890924,41.1340014923348,16.7810676977344,43.8849279986535,76.7897884341512,73.9439583201838,30.8192498224361,80.1840975291956,60.4785602469426,79.9418956678761,76.7593823206568,79.6256903590237,87.5602426168603,32.1978452919629
"Groom.and.Groomsman",84.4767960434627,63.1989266905934,76.984095996596,78.7769303227637,35.5482924482924,61.3703376870044,58.924239340906,73.7874329374329,59.2006609131609,34.0786517494851,42.2830527497194,77.3285604056437,74.6544863315697,72.62994335911,22.759097307014,31.3797729276896,38.0120607787274,77.8760514177181,19.1744403744404,23.0820512820513,40.2062559354226,15.13212335504,43.4225764159588,76.5131131395837,74.608442120697,30.4337082670416,79.1947071265699,62.8097103332397,80.6376252378703,76.0893648744139,79.4248827697357,88.1451440081342,34.8796906796907
"Predecessor.and.Successor",54.4003837212171,46.0547700756034,47.4100953059286,33.8265563140563,74.33974667308,27.5644025727359,68.1632310590644,43.1077572119239,49.4775113775114,68.4569142277476,57.7927450635784,53.4701278659612,25.4552943969611,72.8178885158052,47.031657000407,44.2674704924705,45.7756749423416,34.7431496743997,15.2235610839777,41.7825210283544,51.0305614909782,26.4515584723918,60.0665148486227,55.2932324755854,57.5140453772807,75.3149297325768,54.614361328577,43.6124319489516,47.5194874660561,46.1878972878973,65.0124103474594,57.4575538296127,62.8489775565756
"Landlord.and.Tenant",60.1099463807797,36.3095990429324,35.3032259407259,31.1760857969191,80.0318847818848,24.3409348367682,57.4830240746907,23.8270425562092,54.6176254301254,74.6638187429854,74.7958717208717,35.2618242097409,17.8552426739927,50.2791598833265,92.2116207095374,61.149039309456,72.7623388956722,24.1790191290191,12.7402642110975,46.8801595780762,67.8199014719848,29.8361696174196,63.7224404226855,59.4166380460498,51.3584940930529,59.8663982078198,53.8488774025539,50.2727308639073,60.1208125026752,46.9710993708543,66.579676151735,59.136177130785,57.5734758433288
"Landlord.and.Housekeeper",63.8596479138146,32.5366456074789,46.0523561315228,33.3888927430594,74.7013301513302,24.8653069153069,53.1537487204154,27.7056738015071,50.7751148542815,65.8966875716876,71.6010739260739,42.2558557183557,20.2674374236874,50.3260785510785,86.4841023945191,47.6960936440103,83.5382944987112,30.0296389567223,12.5534679826346,34.8803291615792,58.9301816239316,29.1622439289106,47.6446447796938,54.3836935395759,49.7825331712587,71.4750072277033,55.3223914157738,53.9466203096105,62.7060577131656,60.4021119584845,65.2184415802063,67.2701984108847,55.6740893728639
"Guest.and.Host",78.8369624202957,55.5439968981636,57.1028203278203,57.1227852394519,53.5094663052996,42.4363431321765,54.6304410096077,52.9539482122816,56.6557977516311,46.3811429311429,50.239547952048,41.6558921788089,39.645173653507,54.7730709876543,35.8678808845475,36.2978276353276,48.967411986162,43.4518688102021,14.428138990639,21.562644993895,40.0294252815086,18.2987951092118,54.7602882411706,65.7446185350597,56.6305684058135,41.1202771085124,67.8047788903181,37.4644897767447,68.8950742975253,67.8353166894834,72.732644262056,67.2840283899107,42.4454170194366
"Television.host.and.Guest",69.1680143930144,52.1471847596848,43.2860997027664,38.232110944611,73.8170530087197,27.675119633453,83.5936469394803,37.0119784536451,55.2801781551782,66.8717476967477,57.2135295260295,35.6919108669109,19.3985924569258,57.9835495522996,47.8110907610908,36.410409035409,57.1773555148555,26.3859720526387,11.8506461131461,25.3930555555556,41.3237416904084,20.1364765635599,44.9205668151747,44.8602470423549,48.6825395374415,72.7634249283759,60.6642105806321,25.8720435519455,66.7748102659867,56.1713195664176,62.9977389894057,49.2145500196971,47.6594445224347
"Volunteer.and.Organizer",83.3031117031117,51.1933917933918,61.0849776766443,42.4211284086284,75.4823963073963,31.5400761275761,77.3837953712954,55.2044742294742,58.3083555333555,67.7343548426882,68.5270138811806,45.5407237823905,45.7412715371049,79.7200354429521,35.6891449599783,43.9670567087234,77.1833621625288,41.2441722629223,18.835407339574,23.4054054741555,57.7989384072717,20.9585029168362,79.064892977393,66.4192540484207,82.5563011063011,74.8986531986532,76.9596861471861,45.1101270642937,77.3767977392977,70.8045574795575,87.7143298059965,77.0032808241142,45.9654521404521
"Celebrity.and.Fans",74.2317569775903,34.7240754615755,47.0890880724214,59.1451429743096,46.6039121372455,36.1487264278931,76.818033663867,46.0622086247086,36.7522927689594,54.7487026862027,40.0108312983313,37.7621896621897,59.8916039207706,47.5307582078415,47.7028557861891,49.3518399810066,53.8895316103649,58.3546652421652,22.3490537240537,24.27631003256,34.69971001221,20.7961953941121,41.3260221260221,61.2229737854738,64.579487333654,48.5903158569825,56.6425284591951,52.4209395542729,51.2855920314254,37.0707772166106,67.1515291806958,57.4634339426006,40.1048821548821
"Celebrity.and.Haters",24.7973085556419,35.3294603544604,34.6633943217277,52.0695827320827,38.4537238995572,25.620689033189,64.3873641790308,36.5652905736239,25.058115033115,49.7071260529594,38.5914775039775,39.5327380952381,22.2870955433455,28.3076940035273,26.8222925993759,29.3586394315561,30.448312644146,29.1380859110026,16.1586284086284,80.7303579907746,23.3546364129697,48.0950210283544,24.0202942119609,30.8985028860029,21.2211680295014,32.8703563411897,33.6945827320827,34.6508197049864,36.4323833573834,23.0930856180856,25.7885101010101,15.7194143819144,41.1945286195286
"Native.and.Tourist",66.04915670749,56.1792826001159,40.8797236713903,42.8796371838039,58.8288916330583,26.6006837298504,67.8322533947534,49.7391586808253,55.1368455618456,60.262890658724,61.2508420591754,38.0688102021435,34.484275369692,59.7920143128477,52.2008004341338,55.9549204653371,63.2881342423009,28.4611034798535,19.0092448446615,28.3696284425451,47.0716676841677,22.5116088386922,64.8204625621292,50.3636764470098,50.0804453262787,38.4858766233766,45.1417688792689,30.3146504729838,48.6999218374218,60.1647025813692,66.7742123617124,48.4364478114478,45.8908148949816
"Bully.and.Victim",23.0449804824805,30.7341951258618,49.4360463610464,56.7778124653125,29.4981446023113,32.2323283198283,40.306925019425,34.1038000579667,25.8273154314821,48.8350570725571,42.9799251674252,59.5066120607787,19.0099172432506,24.2479115791616,26.3505401234568,30.6956077872745,19.6342651946819,21.7224749016416,15.1261446886447,89.7172203568037,25.9403295007462,84.475553690137,37.8853775853776,41.6074835658169,21.2881152797819,17.4624098124098,40.7974126182459,34.9382034632035,50.3861271444605,58.1775212441879,15.8865800865801,12.9726491101491,33.2020041686708
"Between.friends",85.8583590791924,85.8955532122199,82.5705971497638,83.7222858931192,32.8071027737694,71.778188015688,56.9762470554137,81.8567694651028,76.5365372282039,36.7444410527744,46.7140612473946,70.8113951634785,85.2884182946683,82.7652947361281,33.0567155067155,44.111163681997,37.4195792633293,86.2990070885904,33.4936541853208,26.1668939085606,51.6758801383801,18.7368937389771,67.6558381433381,84.3610870610871,84.472272326439,30.5959094917428,84.252405002405,85.3866422158089,78.0425665383999,80.6951098284432,85.2589927048261,89.7501683501684,34.6700757575758
"Between.Facebook.Friends",64.4752690211023,71.1015336515336,51.4990751532418,65.9680757514091,39.1995906870907,45.6284084742418,62.2004020670687,61.1980517938851,57.291746370913,41.1947418322418,44.2259347134347,49.1257334486501,53.1718448989282,62.3384004884005,26.9205696309863,39.0180352055352,30.6363671822005,55.6332188644689,24.7252764211098,30.1178062678063,38.3722951431285,21.2748355040022,40.1211960878628,51.2953503286837,61.0860068943402,26.151455026455,57.3983325316659,56.2478014269681,52.3992865159532,36.3309804393138,68.4473885682219,58.0376102292769,37.744721019721
"Between.a.person.and.their.social.media.follower",66.8010652927319,50.0747303622304,44.426517001517,54.8686632811633,46.6678665470332,35.4631259172926,68.1374374082707,47.3867882117882,42.7597721722722,54.5531675115008,47.3051670551671,38.0908348595849,44.5693783068783,56.5473392348392,44.174799043549,46.0929766992267,48.4728149165649,45.7187033645367,20.8036078890246,28.8247422330756,35.1185863519197,23.0834800230634,38.0685465768799,46.0552409010742,54.4714546256213,43.4365400032067,47.5666285874619,45.1883497675164,47.1891333974667,28.3481822190156,61.4635121051788,48.504322991823,41.5546556838223
"Between.childhood.friends",83.5890271765272,86.1279561487895,74.9081689915023,81.4848645181978,25.8630491422158,61.5425905884239,69.8408750200417,73.6646825396825,66.1569183902517,26.5936728395062,44.6217592592593,66.8277026214526,70.7817089546256,73.7877585377585,26.388946007696,35.9852022206189,32.3347462722463,75.1193592672759,20.3580928330928,27.8611221340388,45.8977573352573,19.6006403318903,57.0356583231583,86.5724918599919,79.6701346493013,26.1614248405915,78.4935371727039,81.5593118301452,72.3951906118573,63.7781457739791,89.4849698141365,87.2585147876815,23.2963573463574
"Between.pen.friends",72.0032728074395,74.294087702421,49.1019921436588,56.3501122334456,39.379645662979,37.2478595478596,47.0514830848164,57.382683982684,59.7823472823473,37.0205286996954,45.486714365881,52.8876072230239,44.8468965448132,63.7756723985891,22.9994558682059,36.0311618165785,32.2004459275293,45.3427509219176,18.0192079525413,21.0728084415584,41.1628246753247,18.8132074715408,35.9233058608059,60.1926231176231,56.7880850630851,27.700407000407,65.6213471713472,50.5048009089676,51.6214234839235,28.820177045177,79.4968711843712,60.4464319630986,38.6469712386379
"Between.friends.with.benefits",64.277709636043,68.8175184383518,54.9018197851531,55.6601170434504,33.7384820426487,65.5071989738657,27.6811467853135,43.2711960878628,68.1330948372615,53.4466610549944,59.4537077120411,53.8703884078884,41.4937790604457,45.5115891053391,35.4946258217091,45.0646013708514,53.4209916626583,43.5950096200096,62.1368085618086,36.5720007615841,52.4465478194645,31.0340067340067,30.1068223443223,53.2761887803555,54.0646774521774,24.9185269976937,70.6278998778999,34.9521231854565,63.134361009361,62.7681590014924,44.2675213675214,46.4151811151811,32.3898131189798
"Between.political.allies",51.4153238736572,49.7219817219817,45.1299643257977,32.0501222542889,80.6706048581049,22.9227894019561,70.1730419272086,31.9069785153118,63.2277376944044,83.629621612955,60.0865901074234,39.8854477312811,22.7542458313292,59.6308972663139,54.214905002405,52.3505561568062,55.9744157848325,31.1810355539522,13.8417678771845,54.4710908690075,70.6975839746673,45.5182339265673,72.8008563966897,57.3109076109076,73.8424874508208,77.6862993487993,64.1478005019672,43.1203941120608,60.9382749966083,46.1813271604938,62.7026658526658,46.9383682675349,50.7747507122507
