code1,Country,InterdependentSubsistenceStyleComposite1990,InterdependentSubsistenceStyleComposite2000,HistoricalDiseasePrevalence7Items,ZIndividualismHofstede,Continent,Continent7,Continent8,Continent9,Continent10,LanguageFamilies,TightnessGelfand2021,TightnessGelfand2021ControllingPercentMuslim,TightnessControllingPercentMuslim,TightnessImputed,RelationalMobility,RelationalMobilityImputed,PercentMuslim,PercentMuslimSquared,RiceHarvestedAreaPerCerealProduc,RiceHarvestedAreaPerCerealProducSquared,RiceHarvestedAreaPerCerealProducBins,TotalPopulation,PopulationDensity,PopulationDensityLog,InternationalTrade,PopulationOver65,FreedomIndex,GiniInequality,GDPPerCapita2011PPP,GDPPerCapita2011PPP10k,LogGDPPerCapita2011PPP,GDP_2018,PercentPastureLand1961,ProportionPastureLand1990,MedianAge_2020_UN,Pop_Density2020_UN,Population_2020_UN,Region,PercentUrban,GlobalCollectivismIndex,filter_$
32,Cambodia, , ,0.28, ,2,2,8,8,10,10, , , , , , ,1.9,3.61,0.13,0.0169,2,15157.54,85.86872252,4.452819648,121.7080676,4.035906792,29.3,0.363799661, , , , ,3.29, , , , , , ,0.65, 
33,Cameroon,-0.036,-0.036,1.2, ,1,1,1,1,1,1, , , , , , ,30,900, , , ,22428.92,47.44751729,3.859624201,49.81650331,2.781789064,22.5,0.446509063, , , , ,4.23, , , , , , ,0.65,1
34,Canada,0.579, ,-1.18,1.47,6,6,6,6,6,3,-0.135152584,-0.081143676,-0.081143676,-0.135152584,0.175,0.175,3.2,10.24,0,0,0,35453.2,3.877723827,1.355248339,63.34982534,15.4686594,98.6,0.31262809, , , ,48130.25597,1.87, ,41.124,4.150449826,37603,North America,81.411,-1.1, 
36,Central African Republic, , ,1.19, ,1,1,1,1,1,1, , , , , , ,15,225,0.01,0.0001,0,4478.48,7.188805901,1.97252508,45.16371593,2.925969362,16.8,0.529471099,10384,1.0384,9.248021439, ,4.82,0.05, , , , , , , 
37,Chad,-0.344,-0.344,1.04, ,1,1,1,1,1,2, , , , , , ,58,3364,0.01,0.0001,0,13470.91,10.69799635,2.370056467,74.56731586,2.495659351,19.5,0.430388302, , , , ,35.71,0.4, , , , , ,1.53,1
38,Chile,0.526,0.524,-0.22,-0.86,4,4,4,4,4,3,-0.339407811,-0.264534831,-0.264534831,-0.339407811,0.109,0.109,0.1,0.01,0.038754771,0.001501932,0,17729.12,23.84445102,3.171551529,63.37921247,10.23795319,94.7,0.450007439, , , ,25222.52778,12.84, ,35.339,25.71000172,18473,Latin America & Caribbean,87.564,-0.14,1
39,China,0.616,0.618,1.03,-0.98,2,2,8,9,9,9,0.186152449,0.250088617,0.250088617,0.186152449, ,-0.338,1.725,2.975625,0.34,0.1156,4,1395159,145.0164487,4.976847175,43.80072068,9.076490402,15,0.420249403, , , ,18236.61298,25.25, ,38.422,153.3118263,1424548,East Asia & Pacific,59.152,-0.13,1
40,Colombia,-0.005,-0.007,0.53,-1.27,4,4,4,4,4,3,-0.583601985,-0.50940204,-0.50940204,-0.583601985,0.199,0.199,0.2,0.04,0.335520826,0.112574225,4,46944.1,42.30923722,3.745005436,36.9608642,7.368287086,63.2,0.495697647, , , ,15012.93027,31.55,0.4,31.307,45.86109419,50220,Latin America & Caribbean,80.778,0.15,1
41,Comoros, , ,-0.25, ,1,1,1,1,1,1, , , , , , ,98.3,9662.89, , , , , , , , , , , , , , ,8.06, , , , , , ,0.89, 
42,Congo, , ,1.19, ,1,1,1, , ,1, , , , , , ,2,4,0.01,0.0001,0,4687.605,13.72651772,2.619329562,146.2284819,2.575591564,26.4,0.482706219, , , , , , , , , , , ,0.52, 
43,DRC,-0.071,-0.071,0.95, ,1,1,1, , ,1, , , , , , ,10,100,0.01,0.0001,0,72841.51,32.13052681,3.469806569,72.52390371,3.01039362,20,0.434821904, , , , , , , , , , , ,1.47,1
45,Costa Rica, , ,0.18,-1.19,6,5,5,5,5,3, , , , , , ,0.1,0.01,0.39,0.1521,4,4765.324,93.32794947,4.536119629,66.76108454,8.264676094,90.7,0.455905557, , , , ,17.92,0.25, , , , , ,-0.25, 
46,Croatia,0.374, ,-0.38,-0.45,3,3,3,3,3,3, , , , , , ,1.5,2.25,0,0,0,4259.124,75.47032345,4.323739512,86.34396037,18.78476906,86,0.288161635, , , , ,19.3, , , , , , ,-0.34, 
47,Cuba, , ,0, ,6,6,6,6,6,3, , , , , , ,0.1,0.01,0.48,0.2304,4,11287.32,107.4651804,4.677166892,36.18260989,13.62092018,13, , , , , ,17.69, , , , , , ,-0.8, 
48,Cyprus,0.115, ,-0.25, ,2,2,2,2,2,3, , , , , , ,28.2,795.24, , , ,1146.688,124.1000216,4.821087867,125.7242138,12.41318798,93.5,0.30264774, , , , ,0.54,0.05,37.25,130.6667749,1207,Europe & Central Asia,66.81,-0.43, 
49,Czech Republic,0.462, ,-0.78,0.57,3,3,3,3,3,3,-0.462699395,-0.388162933,-0.388162933,-0.462699395, ,-0.011,0.15,0.0225,0,0,0,10587.71,136.3534241,4.915250221,144.5449172,17.22171974,93.8,0.252473891, , , , ,11.3, , , , , , ,-1.12, 
50,Denmark,0.363, ,-0.91,1.22,3,3,3,3,3,3, , , ,-0.544559055, , ,5.4,29.16,0,0,0,5646.193,134.0530289,4.89823546,100.6390145,18.20259857,97.5,0.24690026, , , , ,8.1, , , , , , ,-1.37, 
51,Djibouti, , ,0.5, ,1,1,1,1,1,2, , , , , , ,97,9409,0,0,0, , , , , , , , , , , ,56.08, , , , , , ,0.56, 
52,Dominica, , ,-0.02, ,6,6,6,6,6,3, , , , , , ,0.2,0.04, , , , ,94.83786667,4.552168767,95.18249805, ,94.6,0.442439109, , , , ,2.67, , , , , , ,-0.29, 
53,Dominican Republic,0.421, ,-0.13, ,6,6,6,6,6,3, , , , , , ,0.1,0.01,0.67,0.4489,6,10104.91,209.1680811,5.343138145,54.22068386,6.339062691,71.1,0.451999694, , , , ,24.84,0.05, , , , , ,-0.03, 
54,Ecuador,0.191,0.164,0.3,-1.47,4,4,4,4,4,3,-0.177708163,-0.102835183,-0.102835183,-0.177708163, ,0.199,0.1,0.01,0.34,0.1156,4,15873.57, , , , , , , , , ,11734.38739,7.95, ,27.93,71.03825093,17336,Latin America & Caribbean,63.821,0.23,1
