"","FA1","FA2","FA3","FA4","FA5"
"Step-grandparent and Step-grandchild",1.01460234258406,-0.124360768685048,-0.76179416608805,0.974887991762099,-0.433986880715188
"Ancestor and Descendant",0.532068711604816,-2.01604998853089,-1.22693234202701,1.41976355925705,-0.950338538138956
"Bride and Groom",1.80103118829538,1.08920941679371,0.395824307894592,0.294149684227047,0.769164004815858
"Man and His Mistress",2.27000029496508,-0.2433583216873,1.65395256594015,-0.148301879249171,-0.101554050923738
"Man Wife and Man Mistress",1.59258709615136,-1.36430326094738,0.341539501300988,-0.975540754476504,-0.371811904821467
"Brother and Sister",0.615535451633172,0.677242832050393,-1.33503479229906,0.233462552417498,0.435815038855694
"Between step-siblings",0.357454629833842,0.346701507013083,-1.27470713184516,-0.030417912593896,1.16588567596939
"Between distant relatives",0.354911661184728,-2.06839344206247,-1.06558981639,0.936636182745435,0.0558747637670675
"Between close relatives",1.0249321546675,0.722642485583455,-0.827456770259413,0.190317397752791,0.390702525793845
"Between twins",0.930287951851973,0.837135850563361,-1.16679746051489,0.186052240906198,0.39072494890972
"Between a person and their family friends",0.957205009756408,0.485826759636414,-0.569420491258425,0.417833040215596,0.608620919486356
"Between a person and their deceased spouse",1.52831230759017,-1.4370974753717,-1.40005837136363,0.914942652277134,-2.19937924789323
"Manager and Staff",-1.15854971966194,1.1655410394168,0.368438262228347,-0.199047527343602,0.0585006665069682
"Foreman and Laborer",-0.683147047199879,0.564248025726833,1.17761895015532,-0.308054867804825,-0.371599506410883
"Owner and Manager",-0.677236240504187,0.788694419420473,0.955541021678246,-0.306669860533111,-0.428221149984564
"Union leader and union member",-1.33214702846712,0.250017827442502,0.579851156568027,0.597690652107081,0.298669468269643
"Manager and Assistant",-1.00111475964933,1.12032594379517,0.388997068171101,-0.22243421259685,-0.129574789344789
"Chief and Deputy",-1.22031208988254,1.33418215842199,-0.765421608282652,0.231367454255941,-0.862847575557783
"Supervisor and Subordinate",-1.2738141542123,0.911592898788754,0.171653277966303,-0.175861590701589,-0.0889077882226573
"Boss and Secretary",-0.872454700242887,0.990570920111457,0.77725309783479,0.234707205427441,-0.666246788566766
"Entrepreneur and Investor",-0.69546708514463,0.329747688637046,1.97789412470542,0.429867338080061,0.784552292142869
"Intern and Employee",-1.27976769452712,0.389066092453127,0.388281969535795,0.259611496448075,0.607881939245825
"Lawyer and Client",-0.522805121480031,0.710809629028041,1.71239338557699,0.191468066952591,-0.33688888428231
"Judge and Lawyer",-1.28339472663243,0.502127138577813,0.136467909127391,-0.528484852835747,0.167367751689212
"Victim and Criminal",1.03377232617629,-1.32279857879087,0.208953502407999,-2.44954789517356,-0.971871627796464
"Drug dealer and Addict",0.751342228894188,-0.118353407569861,2.54996776725714,-0.91434904329586,0.533352385148137
"Victim and Witness",-0.540643356665251,-0.962594425942085,-0.791927713402122,-0.073882282338743,-0.388627587706
"Criminal and Police officer",-0.735988037416944,-0.266241268868514,-0.911431577170649,-2.22856601624456,-1.33323333792375
"Criminal and Prosecutor",-0.889103402372935,0.271026578203629,-0.453348055250164,-2.11044058061015,-0.35549967606425
"Criminal and Hostage",0.504472806360309,-0.432485461096778,0.435236168300518,-2.97712906127851,-0.189327459417593
"Defendant and Plaintiff",-0.706622020834419,0.482091845127779,0.115003142754577,-2.45107578498407,0.698753556315837
"Police officer and Offender",-0.89868496239767,-0.242252424748171,-0.758098606047262,-2.11066573064745,-0.819888387939593
"Police officer and Civilian",-1.13224072875469,-0.209126425772375,-0.771842275469268,-0.606179688010739,-1.43917403447182
"Parole officer and Parolee",-1.00749834691886,0.650675018458534,-0.368718202071532,-0.868665377381205,-1.70178200646703
"Consultant and Client",-0.827251642954407,-0.0975059660999901,1.55012786829953,0.695161968244075,0.0795825330794472
"Chef and Customer",-0.206391680752439,-1.72302044286278,2.19108638548658,0.932606466625255,-0.190483491159443
"Customer and Server",-0.397173559527834,-0.585509044617551,2.18667774232974,0.376103319753192,0.172268699480569
"Customer and Businessman",-0.607249638974598,-0.0437925658896125,2.25154494737876,-0.0472935144726349,1.0406348273041
"Doctor and Patient",-0.311055379158193,0.127727759661326,1.28156763599157,0.605982924889284,-1.3998291079746
"Doctor and Nurse",-1.36730442885244,1.01081996867323,-0.286510365211752,0.458231616001548,-0.211300641125675
"Patient and Caretaker",0.214660796709976,0.978044228903101,0.697571206645791,0.396066660440144,-2.06942076806898
"Driver and Passenger",-0.301450164220766,-0.955762222334989,0.80546569967064,0.362979487794007,0.379758347079965
"Coach and athlete",-0.852546839572758,1.35061242025928,-0.172604471783928,0.262879155146795,-0.529442964659194
"Team Captain and Team Members",-1.46633931352058,1.1911220483719,-1.03211502961226,0.52534368037104,0.321197272836676
"Club Member and Club President",-0.554495921852685,0.0729870925172353,0.154812654257663,0.490820202260612,-0.307950926119548
"Politician and Supporter",-1.27589887703488,-0.82342918558496,-0.0673340478225347,0.71975725040532,-0.579113816906048
"Leader and Follower",-0.663816131756079,0.416585640610432,-0.245485835248157,0.200242338141132,-0.450743053655585
"Representative and Citizen",-1.28628151637925,-0.684386920714728,-0.354185054764767,0.214334205800064,-0.159601945675403
"Officer and Soldier",-1.1590943743164,0.460485330991842,-0.736995716599216,0.00755692857084699,-1.63424065960182
"Babysitter and Infant",0.813617889540512,0.16550924187063,0.826996061867867,0.630427856382449,-2.3454631399857
"Religious leader and Congregant",-0.533503173747351,0.500422236643612,-0.673038957183571,0.675939233105773,-1.09475925041568
