,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,cl_k3
Guard and Prisoner,-2.593308015304201,-1.9983861010079464,-0.2294356017211753,-1.5047613568932996,2.1011325044703124,-1.0707595418862987,0.9018074907479404,-1.5615968362668993,-1.617972930498001,1.0228364197458335,0.98756663206486,-0.9152704842267786,-1.2110403189657926,-1.777346125410469,-1.5692570041087053,-1.4061837754321538,-1.0472039681977297,-1.068105773822111,-0.8080990126613066,2.125954712549409,-1.7731232131761043,2.7075764211367828,0.888613362847027,-1.456180582335883,-1.6357724473630106,0.0599837468025306,-1.6918479271577282,-0.4815232774457611,-0.3176440350675407,0.9636435468660248,-0.7989754393337846,-1.5631621477784745,0.1902604590258457,2
Nurse and Patient,1.603657430630819,-0.4086317283096249,0.5638507631647229,0.2361059534033666,0.7095266354883614,-0.2829998130499532,1.053118185648948,0.7373067547009278,-0.6580291947433539,-1.210877161219022,0.3890321477059819,-0.6680994387148399,-0.7577638613742911,0.1084787421261471,-0.6457548451404149,-0.8904261514718232,1.1899120221508577,-0.4089062791358758,-0.6271018933653122,-1.251571183783757,0.1580716640923782,-0.9673392574277856,1.9953469155445784,0.9138062741083196,0.2184499107128212,0.7667582871510813,-0.2527920560708728,-0.4297177262950389,-0.0223561913704713,0.9792104271930884,0.42703599544299,0.693020059921989,0.1845285386980435,0
Therapist and Patient,1.3186782954130087,-1.05055147501431,0.3226488278953619,-0.101744306276849,0.9229062020655936,-0.6336489606417413,1.2530644610538513,0.650190408095831,-1.1849156060974082,-0.8636677963022052,0.6455469267169299,-0.6314815060464045,-0.9390744444108916,0.6407310161754112,-0.0487433484336411,-0.5957075092087774,1.3734101923888735,-0.5642348956998737,-0.7176004530133093,-1.1865294196177814,1.022962621396668,-0.9521117062735128,1.8674329873433533,0.8602136065002853,0.1709057476852357,0.8878261482293053,-0.1273971461421426,-0.0859172504766108,-0.109600327008242,1.0362889883923216,0.4540406525966634,0.8212662064649622,0.3679499891877107,0
Salesperson and Customer,-0.2046647182967391,0.2282730203739293,-1.6766472133373411,-1.5610697335066686,1.4517164322787353,-1.5655110788993696,1.5286660839092576,-1.5954754155022148,0.0709506346643105,1.3121775571765135,2.8686750114784774,-1.6018567217599422,-1.2255451656087206,0.4939028026445798,2.46989890329806,4.21189034270716,1.584237877343191,-1.2007033733279628,-0.752076094783975,-0.5779243406361516,1.360625529385329,-0.5612712266471704,0.933105163960496,0.395743820563984,-0.7086612683250949,1.0808803050837703,0.0995079289669879,-1.3998944114812886,-0.2907996856405341,0.5329598578172627,-0.7287633307342337,-0.6511895501395502,-0.056212115069644,0
Between Business Partners,0.9041631896416488,2.199167242678157,1.6948198374277272,0.062488458845478,-0.2599587865690643,0.4279053080950413,-0.2654464413455477,1.274524225432357,1.312381631279343,0.1085184254648819,0.4562145898278968,0.3388937096671333,-0.794025977981611,1.448286190594984,2.031468585404023,0.2761684741527336,0.7370229211378799,0.4851803918178686,-0.4202480427413185,0.1096600234041627,2.213668665356684,-0.3937681639501665,0.6494699318621291,0.8244851614282617,0.5512590519059193,1.0645197833164426,0.6966265476752271,0.2531736297826609,0.1923986040455785,-0.1519828765735398,-0.3506981305828055,0.4032787658804554,-0.3198804501485404,0
Between opposing negotiators,-1.5362944955872329,0.2282730203739293,-0.4920777090144795,-1.3405285917709726,0.9414609469853532,-1.2388789962111286,0.8531719102440449,-0.7388313405520981,-0.3693243118096254,2.2727901334463745,0.3768171582292699,0.0276412819854326,-1.2327975889301843,0.19106961223724,-0.0160942822074896,0.4173878235704433,-0.0516287892467878,-1.2764734301884495,-0.7994801022186401,1.8518501349927967,2.0714948093614574,1.0883801483990794,-0.0512759356750139,-0.0806354470629913,-0.7847319291692313,0.4984457301669092,-0.0796276566454836,-0.651068717575397,-0.1163114143649937,-0.203872477663752,-0.8853903422255396,-0.5419428327140542,-0.1937782029368946,0
Between political opponents,-2.087254157008332,0.9125416392570485,-0.7713955056597398,-1.090269140155998,1.067736294355938,-1.206322530452987,1.066327849489512,-0.9291966905410128,0.1166622411288175,1.9332965321943751,-0.3065436419401066,1.0163254640331882,-0.9100647511250356,-1.6993436369722148,-0.7810152623630434,-0.294848895231918,-0.594314867184752,-1.177972356269817,-0.5021276919466493,2.41399681099873,-0.2092107972286213,2.169536280352468,1.298772154361823,-0.0523504280476396,-2.2740528360083454,1.4678066448810672,-0.0736564704584012,-0.1977701450065789,0.1823319730104513,-0.8369256109643424,-0.7085098378689786,-2.069021948031315,-1.6152944442318136,2
Between business rivals,-1.8051535989139345,1.0741360199379155,-1.182332136118651,-1.100696617306622,1.1553559231436905,-1.3397506688060266,0.916218033119465,-1.5906356184685984,0.4855629248774702,1.9204369260863452,0.3856390950735618,0.1603812879085107,-0.8629239995355192,-1.9562930106511696,1.1079664264357325,0.6200068901262875,-0.2390311758728473,-1.2272228932291334,-0.5452222441599813,2.246746560286221,-0.6594280078801693,2.265977437662864,0.5827322301919249,-0.3873046005978567,-2.1076482654117963,1.3655533838352698,-0.648383140965081,-0.4155889396175694,-0.4719990442728266,-0.9990806143712558,-0.6545005235616318,-2.0749592696305266,-1.2355547225149248,2
Between enemies,-2.1851257792043475,0.4779084774257515,-0.3306808585009069,-0.7096662241582244,-0.0558565924517115,-0.9287920026786646,-0.2246165712928945,-1.6444111410643367,-1.230627212561915,1.4253420909271803,0.1820559371283654,0.6409916541817253,-0.8592977878747874,-2.149005040910386,-0.8183284809072167,-0.6693871697745388,-1.023778669869472,-1.212068881857036,-0.5969357068159797,2.632351304984505,-1.986383997168943,3.067961798454579,-1.6557615133295045,0.0518575367457612,-2.3097109582790347,-0.7858552285683044,-1.103686087730113,-0.3743799784749496,-2.2336594754201133,-1.6671592284077392,-2.018235709822141,-2.270890882404514,-1.0922567143198725,2
Teacher and Student,1.0503949075109895,-1.2216186297350895,0.1457674086978306,-0.7357349170347842,0.6863332043386622,-0.6192387216996129,1.0062839229414928,0.1624464181524815,-0.8617265288132623,-0.8122293718700841,0.4738584635164803,-0.3980421852851287,-0.1050457624425288,0.9114455348728814,-0.4638529047375698,-0.9334059534685176,1.174295156598686,-0.0527870118915876,-0.2952738413226557,-0.8613205987879029,0.057365182762427,-0.5054368724148358,-0.0707410986621569,-0.9157878506215328,-0.1939957035514823,1.2551198619058088,0.2099748734280122,-0.4567979007601893,0.6772746655708795,0.2787008124752222,0.5134508983347447,-0.2165776090772505,1.0572134086059122,0
