,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Guard and Prisoner,28.9667782834449,18.8376031376031,49.1546404213071,27.06157330324,78.2942310775644,19.0425170508504,62.6246293829627,25.1583200749867,31.5452713952714,49.4137236220569,50.2287625954293,40.662822671156,12.8736852653519,30.9968253968254,17.1922599005932,28.089411976912,36.6745851370851,20.839424001924,12.3351350809684,71.7446669071669,21.6254008337342,76.6922077922078,69.9494463234659,50.6945352849765,23.4724474508788,63.7642617096048,44.1600316894435,51.6439654209262,51.6406532011924,71.1632456414319,56.5180151819858,27.3884848992692,46.2658152667957,2
Nurse and Patient,84.2940238773572,56.6648508898509,56.3773285356619,44.9607654690988,72.3688453521787,36.6851460268127,63.3797443297443,47.5109554026221,47.4379429212763,44.7766964516965,60.3771102354436,44.0312149270483,43.2019640852974,66.8730800064133,34.6812510020843,37.5311447811448,77.7332431457431,48.1848665223665,15.6661315536316,21.4016835016835,31.6983766233766,25.8106080647747,82.2960581176267,73.2076914824464,66.4631082697259,75.946091317905,67.0115119901885,39.7170572619102,67.1064007978224,75.6596528380842,82.8152541630483,78.5052270441976,48.9736912234461,1
Therapist and Patient,85.6551251217918,54.2743925827259,67.3221608638275,50.9225499808833,72.0113978613979,42.7135882635883,47.6960749127416,42.929464054464,55.5333524500191,49.981006031006,60.8676410009743,57.2398709315376,40.4991201699535,78.2018097643098,54.4316518358185,33.9241883116883,79.3380291005291,53.7340307840308,15.563602292769,22.0983826358826,38.4518558601892,24.2883918550585,79.3789999035097,78.7673660308464,71.989122687407,75.8932708812611,74.0972592313279,53.4735437583477,74.1005878290192,73.8048069940227,83.5713986267908,84.8605377556358,50.96199844092,1
Salesperson and Customer,68.6839925506592,61.2364857364857,37.6168442668443,32.4085938752606,74.181380348047,21.458497983498,78.2584212084212,31.6532640199307,61.4962987629654,75.2648305398305,81.8132050048717,29.1526374859708,19.849348645182,60.8439133397467,89.6612433862434,78.7017175725509,80.0435105018439,22.5403699695366,14.4737514029181,27.2947049863717,73.5424863716531,25.4905583613917,64.4407988253577,54.3880218093453,48.3023933401384,72.8074918998938,60.3200657911442,26.9861615145929,60.3857751725399,59.6362306448091,62.0881173474311,47.19928806669,44.3558692124869,1
Between Business Partners,72.4834767084767,82.3357531357531,70.3820747154081,44.4387655554322,67.2990472490472,35.6554556554557,60.9999824249824,53.7531764531765,78.7275138441805,76.6124175207509,69.0902985902986,63.8005711880712,29.510594035594,79.2101551226551,85.6702881994549,54.6395803270803,61.3330567580568,47.3112353695687,16.0121693121693,39.9047619047619,75.8076378868046,28.451607343274,64.4266458577733,65.7014530041491,81.6177290755722,79.920416012818,76.5043421266461,69.4173761242389,76.4923861541509,64.8859573614475,72.2979695776264,76.3485811483361,39.6691849363418,1
Between opposing negotiators,29.7434355767689,61.5294652877986,40.5278983362317,31.1107068857069,76.9300643800644,17.9396187146187,62.8992131325465,31.3311244311244,56.725760659094,85.3005250921918,63.3332161665495,47.3291165624499,15.5970117845118,55.5436427769761,54.0075937950938,45.4701318742985,39.5501002084335,18.6015492223826,13.7414141414141,77.6719917428251,77.7983064774731,46.0343875260542,55.0012681490623,51.6447154425096,28.980916188024,65.0496154988802,51.0790355795258,33.4729415827455,51.4037800706919,45.8231097424725,55.7183807024493,27.6668312714881,40.9184075546821,2
Between political opponents,28.2581798602632,64.3299506049506,49.6575971867639,29.5658980679814,78.3473556536057,21.973570333987,82.1128293774127,28.7908630721131,50.296252667086,89.4869486223653,43.4870391953725,45.6703171211505,12.8227348269015,46.5240931907599,39.5618129093129,28.9785725077392,24.0975628692295,18.361866004366,13.9543683168683,87.6994043919044,61.2909290092623,53.2657148098815,73.0350633933967,56.7957224873892,27.10964328881,72.0741301907969,57.5503222086555,50.2923630381964,64.5282433615767,44.4043559835226,44.690637294804,17.1408555950223,37.9853950062283,2
Between business rivals,26.2004978046645,67.3090708674042,47.122587674671,26.5565050690051,77.7163919413919,22.0197935552102,68.6741837637671,26.2134303196803,46.6526513609847,88.8850512913013,58.4507407715741,43.512705997706,14.7376980118647,37.5028547378547,63.0446649029982,46.0325462500462,39.846713687547,20.7552136752137,14.4464026097359,84.6887835621169,64.1805701397368,52.3604103612437,63.9694513819514,56.2597314722315,35.7679895721562,79.6393008226342,55.8648464190131,50.6625741542408,60.410189656023,39.1268475351809,44.98120999371,18.3124488166155,38.8268561685228,2
Between enemies,17.8463251254918,60.4062527750028,50.9407648678482,44.8627565335899,47.1997162559663,24.7233059378893,49.7033328554162,25.8509111259111,39.0466944321111,72.2104690063023,42.872108370025,53.5990745982413,16.5655691222358,22.787671371838,27.1490273615274,23.6846267312934,15.0036688620022,20.3581517556518,14.1894482677816,93.1939994881662,30.9206020522687,65.3531779640113,38.4425802592469,45.9297077922078,21.6354007104007,28.0907624782625,43.9778460736794,49.7603706478706,45.2315872399206,35.3355770772437,25.6318214193214,13.0455000246667,35.1449001615668,2
Teacher and Student,80.8699982116649,31.4982596107596,63.2136328948829,39.9105290542791,74.9901404922238,34.6240141031808,77.8455283142783,57.3693896381396,53.5377711023544,50.5521988042821,54.6381324693825,50.2505449797116,43.2586991711992,88.8040335590336,24.4126215142882,29.9925629000629,67.1123542815209,55.085256286923,17.8165171248505,24.4301827493494,42.5100321283655,25.22567336984,73.4687431395765,70.8121993746994,70.2427045177045,79.6257017673684,71.9897602397602,55.9454970954971,75.2783296949964,74.5907297948965,83.628233649067,76.7209680751347,77.200828646662,1
