,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Customer and Businessman,63.9358312983313,51.750980963481,43.3133156195656,31.204290308457,75.2785970202637,30.1567874255374,62.7830136684303,32.356134297801,63.9119884744885,76.8024174899175,76.9193001443002,41.19905042307,21.7850698502659,66.8169003654298,89.3708745593549,74.0079939849548,80.40100631032,26.5447690200141,15.374639630522,33.4798981338197,78.2076085769713,24.4324709604121,67.3203322911656,63.1211348836349,58.4711140711141,78.7217900926234,60.0902301402301,42.1267749226083,55.6461755836756,50.3585903294237,68.958738946239,60.5125095583429,47.5200466200466,1
Doctor and Patient,82.291417301834,44.7934181559182,59.1518769810436,44.5658209074876,76.4473319119152,42.6084511167844,49.365319711153,39.267143042143,49.1035562431396,54.1895618270618,64.5597239951407,49.1457683656213,43.4549091340758,85.1677951043147,55.825214192126,39.5054729765514,78.6152901836725,50.5832488680528,14.1246211123662,25.8288068050323,38.1691510377785,21.9620252750155,82.5671228462895,76.5107751816085,67.0416244249578,81.8324918908252,70.6392767726101,53.8131942131942,70.2978080561414,75.5517886434553,85.2995552287219,85.0361428694762,50.5637487512488,1
Doctor and Nurse,77.073347023347,43.684408723992,67.9498838353005,43.7753394753395,70.2970590366424,39.5234229505063,58.6822505426672,49.5471261762928,58.3253618295285,50.8968411218411,56.1259085821586,48.8393025366065,36.2234706651373,81.4118512841552,32.0706876547563,33.0751369273428,52.4223185764852,42.1328822593528,17.422872035372,21.8972130175562,32.3184892993717,19.8110188195973,76.4757267423934,70.7152145693812,80.1097216055549,83.0889439264439,70.3604136604137,66.095518678852,74.5840458923792,76.9855191105191,82.9885810177477,83.0017232767233,47.6024571107904,1
Patient and Caretaker,78.4212619941786,52.0926561864062,65.7151599172433,56.6764380681047,59.9186339123839,48.8061413894747,55.1328298244965,47.6751522397356,51.6309869143203,49.7236409423909,58.5956994394494,52.7492535968026,49.5439069644952,68.8945171658407,52.8498400927323,39.3978633748242,76.5993359128163,60.5298555202967,17.0719919060605,26.0441134936233,39.9547479934735,21.7181974978544,70.2252102835436,75.5021712855046,64.4593711843712,71.1030494197161,71.601249367916,59.3822077613744,71.7636155511155,78.2383257174924,85.9080892872559,85.4057914307914,54.2962324712325,1
Driver and Passenger,80.9588311828637,59.6218495924249,31.0225670098735,30.4996425830791,59.6029900206242,25.8241908489973,73.4276171488375,36.6776237302811,56.9148192083306,53.2748926817554,78.609282636295,33.3316418149751,22.1435906685907,41.8756313131313,77.2544432419432,50.0931036556037,88.3034611992945,20.612962962963,15.8508738175405,27.1064554272888,53.0669292127625,17.3281746031746,62.648963998964,54.46467999593,48.8545173191007,65.0627481314981,49.6440328190328,20.2467436884104,69.1014751452252,73.6833237749904,75.5390537703038,61.3207020602854,49.8575328991996,1
Coach and athlete,82.178887060079,38.5419412697535,73.5385099358655,46.3369759669295,61.4795279749872,43.9295814665784,71.1297903554611,54.877784009363,61.6075198193619,66.7909269332128,56.0900444355553,65.6600629308963,41.728342953343,86.6901334776335,56.3744648869649,35.9665363957031,74.7907728074395,65.9425565175565,15.7519781144781,33.6399871733205,52.234942680776,31.281411335578,55.7794901086568,71.8977586456753,81.6324144990812,84.6584133459133,80.1645108749275,63.1976221309555,75.8871229850396,80.4848957369791,80.9433277370777,85.7141441891442,65.4673655819489,1
Team Captain and Team Members,77.9424210550372,44.3000701912467,69.544210268862,43.6394199033776,58.6010071188606,41.7744894987671,73.2898124321499,58.7114363959436,66.7685393997701,66.3344907156827,50.0499718705214,55.5359287317621,41.7034892576559,82.0369708994709,39.9050124258458,35.3021324354658,57.5100849767516,61.4643678852012,14.7591249799583,38.6104216770883,53.2960878627545,32.5369749078082,54.4840811194978,66.3922164255497,80.6783674658675,75.8494646557147,75.6455667018167,59.3985105943439,75.7593535322702,74.5475887538387,77.7245714933215,80.4713306754973,41.971338306755,1
Club Member and Club President,72.5144527786169,37.9062558872156,47.8259491955699,36.6387048504567,66.8989144942318,29.6412934073151,71.0059133328354,44.8907707416995,54.2715150485145,59.7408037171711,56.4727371069476,49.1357042648709,28.1770262145262,62.7661135161135,53.2448392656726,37.8011443803111,52.859632034632,38.4436808561809,14.3791265832933,31.6671156004489,54.2122073913741,27.5374458874459,47.4224897787398,57.6985299422799,73.5687829916996,66.2461591649092,60.8661673974174,52.2158018678852,58.5729124270791,56.0089050609884,71.1057141161308,65.7594432573599,55.5520342312009,1
Politician and Supporter,66.5168612075346,37.2215144647807,38.5265825987833,32.3753398609952,74.7533442974104,25.8892178006987,75.5343154399398,33.2886174273687,47.6192169242866,65.9646382231651,35.4736353935786,35.9761042969376,28.1782607824274,54.2870330286997,50.4112373737374,39.0476691518358,56.6788961038961,37.3390492223826,15.3257315215649,41.3637285553952,51.7802188552189,34.940051306718,72.4802745865246,61.7380953922621,71.0696801655135,61.4877509065009,51.7796556067389,51.45248331915,51.3702865036198,37.7042237083904,63.5091509570676,62.609251705085,57.5365938845106,1
Leader and Follower,72.3032834950663,28.9475167352618,47.7268149162499,41.3465919901678,64.5873354514995,31.3640474439752,68.7953994806936,46.257571307739,42.1190970192518,58.4872554599206,35.9260207499759,45.0031385281385,35.6198713323713,60.8371753246753,33.2051767676768,33.030132675966,46.1989458072791,46.3197370530704,15.2792408209075,31.99420995671,43.8712101170435,34.4946147987815,66.2879987296654,67.8721568554902,71.8350614663115,59.178804991305,58.6816550733217,58.0206871831872,60.5594326969327,47.2765968599302,70.6489952177452,71.2951322597156,57.7109022150689,1
