,Dim1,Dim2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
soul mates,5.215311,1.1896724,0,0,2,3,4,3,4,3,4,3
enemies,-1.7683494,4.563509,2,1,3,1,3,0,3,5,6,5
long distance lovers,4.952028,1.4859251,0,0,2,3,4,3,4,3,4,3
team captain and team members,-0.10467987,10.047006,1,2,1,2,1,2,5,0,0,2
alumni,3.3427775,5.564366,0,0,2,0,2,1,2,1,1,1
politician and supporter,-0.39438003,9.113171,1,2,1,2,1,2,1,0,5,0
patient and caretaker,-1.9190022,10.15601,1,2,1,2,1,2,1,0,5,0
babysitter and infant,7.975271,6.201587,0,0,0,0,0,4,0,4,3,4
co workers,3.512633,5.501242,0,0,2,0,2,1,2,1,1,1
competitors in sports,-1.6607723,4.2733192,2,1,3,1,3,0,3,5,6,5
manager and staff,0.21720672,11.131852,1,2,1,2,1,2,5,0,0,2
interviewer and job applicant,-0.059499916,10.626207,1,2,1,2,1,2,5,0,0,2
reviewer and writer,-0.48458162,10.084185,1,2,1,2,1,2,5,0,0,2
performer and audience,-0.4470445,8.8298855,1,2,1,2,1,2,1,0,5,0
frenemies,-1.7452892,4.4051995,2,1,3,1,3,0,3,5,6,5
religious leader and congregant,0.21645744,9.667562,1,2,1,2,1,2,5,0,0,2
a person and their deceased spouse,5.198687,1.1993033,0,0,2,3,4,3,4,3,4,3
distant relatives,7.8619857,5.753399,0,0,0,0,0,4,0,4,3,4
divorced spouses,-1.3905351,4.4660993,2,1,3,1,3,0,3,5,6,5
defendant and plaintiff,-1.4692233,6.0207477,2,1,3,1,3,0,3,2,2,6
a person and their in laws,7.535507,5.7450953,0,0,0,0,0,4,0,4,3,4
lawyer and client,-1.6950618,9.692556,1,2,1,2,1,2,1,0,5,0
customer and businessman,-2.0031018,9.4645195,1,2,1,2,1,2,1,0,5,0
fiance and fiancee,5.021599,1.3837569,0,0,2,3,4,3,4,3,4,3
facebook friends,3.364697,5.6478863,0,0,2,0,2,1,2,1,1,1
drug dealer and addict,-2.3369195,9.043419,1,2,1,2,1,2,1,0,5,0
police officer and civilian,-1.4665159,7.119071,2,1,3,1,3,0,3,2,2,6
cousins,7.3481092,5.777274,0,0,0,0,0,4,0,4,3,4
mother and infant,7.8374524,6.5501466,0,0,0,0,0,4,0,4,3,4
landlord and tenant,0.1689866,11.266348,1,2,1,2,1,2,5,0,0,2
director and performer,-0.30230615,10.38143,1,2,1,2,1,2,5,0,0,2
native and tourist,-1.6110444,8.92623,1,2,1,2,1,2,1,0,5,0
owner and manager,0.2727164,10.700408,1,2,1,2,1,2,5,0,0,2
customer and server,-2.0600574,9.482849,1,2,1,2,1,2,1,0,5,0
companions,4.0878973,4.986347,0,0,2,0,2,1,2,1,1,1
doctor and patient,-1.9470868,9.9985075,1,2,1,2,1,2,1,0,5,0
aunt and niece/nephew,7.828452,6.0607367,0,0,0,0,0,4,0,4,3,4
parent and child,7.7755637,6.5533366,0,0,0,0,0,4,0,4,3,4
leader and follower,0.1985195,9.721392,1,2,1,2,1,2,5,0,0,2
supervisor and subordinate,0.24131401,10.951317,1,2,1,2,1,2,5,0,0,2
bride and groom,5.1101637,1.3109032,0,0,2,3,4,3,4,3,4,3
sorority sisters,4.015006,4.705028,0,0,2,0,2,1,2,1,1,1
classmates,3.4702582,5.5799365,0,0,2,0,2,1,2,1,1,1
club member and club president,0.013764038,9.924504,1,2,1,2,1,2,5,0,0,2
political opponents,-1.7076839,4.4738894,2,1,3,1,3,0,3,5,6,5
friends with benefits,4.849925,1.552731,0,0,2,3,4,3,4,3,4,3
foster parent and foster child,7.78578,6.497674,0,0,0,0,0,4,0,4,3,4
business rivals,-1.6419494,4.4359565,2,1,3,1,3,0,3,5,6,5
manager and assistant,0.31344417,10.608349,1,2,1,2,1,2,5,0,0,2
victim and witness,-1.5928494,6.322784,2,1,3,1,3,0,3,2,2,6
business partners,2.940329,5.570558,0,0,2,0,2,1,2,1,1,1
