,Dim1,Dim2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
Between classmates,4.1591387,16.430567,0,0,0,1,1,1,1,0,1,4
Guest and Host,9.501173,13.299714,1,0,0,0,4,4,4,4,4,1
Judge and Lawyer,13.351374,8.862453,1,0,3,0,0,0,0,2,0,2
Babysitter and Infant,10.153809,12.537569,1,0,0,0,4,4,4,4,4,1
Bride and Bridesmaid,2.9981363,17.532543,0,0,0,1,1,1,1,0,6,6
Between a person and their family friends,2.832762,17.659855,0,0,0,1,1,1,1,0,6,6
Between playmates,2.7718427,17.418207,0,0,0,1,1,1,1,0,6,6
Coach and athlete,12.071285,9.080616,1,0,3,0,0,0,0,2,0,2
University student and Administrator,12.473434,9.421908,1,0,3,0,0,0,0,2,0,2
Between religious followers,3.9831007,16.784466,0,0,0,1,1,1,1,0,1,4
Criminal and Police officer,15.665677,8.086776,1,0,3,0,0,0,5,1,5,0
Leader and Follower,12.830542,9.192385,1,0,3,0,0,0,0,2,0,2
Man and His Mistress,4.7921367,-6.911103,2,1,2,3,3,3,3,3,3,3
Man and God,12.715199,8.768723,1,0,3,0,0,0,0,2,0,2
Volunteer and Organizer,12.878228,9.261344,1,0,3,0,0,0,0,2,0,2
Between romantic rivals,16.70439,8.40804,1,0,3,0,0,0,5,1,5,0
Foster-parent and Foster-child,-7.716421,9.359658,0,2,1,2,2,2,2,5,2,5
Television host and Guest,9.30111,13.230718,1,0,0,0,4,4,4,4,4,1
Between Siblings,-6.899839,8.979468,0,2,1,2,2,2,2,5,2,5
Manager and Staff,13.443717,9.201772,1,0,3,0,0,0,0,2,0,2
Owner and Manager,13.575767,8.9874325,1,0,3,0,0,0,0,2,0,2
Between adoptive parents and adopted kids,-7.521271,9.147212,0,2,1,2,2,2,2,5,2,5
Step-grandparent and Step-grandchild,-7.648118,9.489768,0,2,1,2,2,2,2,5,2,5
Master and Servant,15.279552,8.213512,1,0,3,0,0,0,5,1,5,0
Between confidants,3.0172057,17.403597,0,0,0,1,1,1,1,0,6,6
Between Co-workers,3.89481,16.409657,0,0,0,1,1,1,1,0,1,4
Bride and Groom,5.044745,-6.5918283,2,1,2,3,3,3,3,3,3,3
Between brothers-in-arms,3.2631483,17.33426,0,0,0,1,1,1,1,0,6,6
Parent and Infant,-7.6114197,9.142456,0,2,1,2,2,2,2,5,2,5
Grandparent and Grandchild,-7.6456804,9.131076,0,2,1,2,2,2,2,5,2,5
Manager and Assistant,13.383374,9.035765,1,0,3,0,0,0,0,2,0,2
Boss and Secretary,13.570883,8.979378,1,0,3,0,0,0,0,2,0,2
Professor and Teaching Assistant,12.577494,9.078265,1,0,3,0,0,0,0,2,0,2
Customer and Server,9.775476,13.291342,1,0,0,0,4,4,4,4,4,1
Celebrity and Fans,9.060077,13.595944,1,0,0,0,4,4,4,4,4,1
Judge and Contestant,9.21105,13.059092,1,0,0,0,4,4,4,4,4,1
