,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Negotiation,27,35,100,100,66,87,89,92,75,0,11,82,96,100,76,49,61,60,19,30,0,86,49,93,49,64,32,50,64,50,84,57,50,90,66,42,88,54,92,10,14,0,0,94,61,0,73,45,56,89,45,76,50,0,42,24,43,50,67,49,63,52,50,56,0,37,61,53,97,100,100,83,57,40,19,17,0,0,27,90,54,66,47,0,12,27,18,10,31,15,28,59,0,0,79,0,0,0,60,31,57,29,18,27,57,56,59,0,15,0,0,0,40,0,12,0,41,38,31,0,0,15,100,13,50,54,100,65,49,12,1,56,0,10,0,0,52,0,87,86,0,0,44,50,51,0,49,50,0,50,62,90,70,52,0,45,75,39,0
Coercion,0,34,12,0,3,68,1,27,0,100,0,0,0,0,69,62,55,74,9,19,92,0,0,0,0,5,28,0,0,0,13,0,0,0,0,14,0,0,0,99,0,100,97,0,0,65,0,0,0,0,0,0,0,6,14,0,0,0,3,7,0,0,0,0,98,0,0,0,0,0,0,0,0,66,56,17,0,8,0,0,15,16,0,0,18,0,0,0,4,0,0,13,100,100,50,100,64,100,0,29,43,0,0,0,0,49,0,23,0,0,0,52,52,0,60,100,0,93,0,19,0,66,0,0,8,0,0,0,0,0,3,77,0,0,36,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,9,0,0,0,27,0,0,0,0
Importance for society,88,96,66,71,77,24,35,100,80,98,100,100,84,77,46,71,61,25,100,52,18,64,0,43,0,79,24,40,46,68,15,32,0,49,62,63,76,10,62,20,27,100,100,87,100,100,72,69,57,0,57,100,5,100,66,47,57,57,73,51,40,0,16,73,16,52,51,8,0,94,86,74,35,10,62,76,68,100,64,77,58,85,83,62,67,30,58,43,37,67,37,54,86,50,51,100,100,100,41,39,40,100,96,69,60,65,58,31,71,58,58,63,59,45,17,68,65,55,45,59,0,22,79,29,32,64,53,53,61,56,51,100,42,17,0,53,100,0,88,84,18,63,58,66,51,0,55,65,100,0,66,100,82,59,55,6,77,100,93
Importance for individuals,100,100,100,100,100,71,53,30,63,4,10,65,8,63,16,27,23,51,59,36,4,93,0,83,19,98,21,52,57,55,47,84,0,100,62,34,12,10,37,5,25,0,0,14,40,14,52,38,19,31,4,53,9,67,21,10,18,14,61,54,54,37,9,6,12,27,60,32,51,100,100,57,55,3,7,38,87,100,80,100,84,100,100,100,18,42,53,48,33,18,39,37,58,8,52,30,3,62,40,6,12,42,38,64,2,72,58,11,62,63,59,73,7,0,16,32,62,25,34,75,24,39,58,50,26,73,64,70,74,86,61,56,18,64,0,0,100,0,51,100,0,0,50,81,91,12,71,77,100,0,86,100,100,68,78,71,89,100,100
Affiliation Coalition,54,48,100,100,100,33,29,58,3,0,79,75,58,99,2,0,0,0,18,76,0,100,19,100,38,94,27,50,54,100,46,60,40,100,51,12,81,26,62,13,60,0,0,28,93,94,100,42,51,63,42,53,0,33,45,51,26,63,87,50,93,59,55,58,0,51,95,50,52,100,100,100,100,0,0,86,51,51,51,66,51,51,56,51,58,60,51,35,51,51,51,51,27,23,26,16,23,51,51,51,49,51,51,51,51,59,68,100,70,51,51,88,51,0,50,51,50,51,68,0,0,91,72,51,55,51,58,100,100,51,58,51,51,52,51,0,69,51,100,72,0,28,51,51,51,51,51,51,51,100,51,51,53,53,0,51,71,51,86
Occupational,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,49,100,100,100,0,24,49,0,0,36,0,0,0,24,0,0,0,0,100,100,100,96,75,15,100,100,100,100,100,0,50,74,0,84,100,100,0,100,100,100,100,38,0,0,48,100,64,35,50,0,0,3,0,0,0,20,13,100,100,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,0,100,100,100,100,0,100,100,100,100,73,0,0,0,0,0,100,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100
Activeness,27,23,68,18,65,65,36,88,100,81,80,68,69,75,100,64,71,12,94,39,49,26,13,82,34,24,24,43,21,9,36,32,0,69,34,34,63,47,72,82,57,66,77,85,43,73,57,100,79,67,57,79,63,9,23,40,84,77,27,56,56,53,76,78,67,33,36,63,64,29,32,100,100,84,15,56,46,96,66,91,68,95,90,0,72,80,43,22,62,61,57,88,57,100,100,100,37,57,57,62,100,63,53,55,100,100,58,46,0,56,67,68,68,90,100,43,100,76,59,58,0,83,61,100,53,59,44,66,69,54,62,36,100,13,0,0,69,0,36,85,0,0,0,64,55,0,35,63,99,0,60,71,95,60,55,40,43,57,87
Endurance,100,100,100,100,100,79,92,80,10,43,26,61,7,60,42,57,59,58,56,66,63,83,14,63,48,100,50,53,65,69,54,73,51,100,85,27,28,57,26,58,24,26,34,1,58,55,56,21,16,37,55,55,42,100,18,27,43,11,48,52,91,45,36,6,42,59,85,55,54,100,100,56,75,71,37,29,100,100,81,100,57,100,100,100,27,60,36,42,54,63,41,13,4,0,0,0,0,57,12,0,0,0,25,25,0,66,56,50,54,72,56,60,0,0,0,67,0,20,53,100,50,25,39,31,53,62,67,54,68,90,69,67,16,26,25,0,100,15,31,100,49,0,52,100,100,38,100,100,100,0,100,100,100,28,100,43,100,100,100
Synchronicity,72,76,80,79,73,28,46,10,72,61,79,87,75,79,56,21,51,44,52,55,42,85,39,96,0,75,46,48,53,0,78,63,0,90,62,55,53,56,53,81,83,81,70,54,49,67,57,37,56,96,58,87,69,38,57,37,45,63,75,50,60,54,63,52,50,8,64,0,95,90,91,50,92,15,21,51,51,77,52,87,54,61,58,0,47,38,41,46,37,10,60,51,52,60,69,41,38,27,63,74,74,58,41,58,78,59,59,56,27,26,52,67,61,84,77,51,81,75,14,17,0,82,0,53,35,42,66,64,56,57,51,19,47,0,16,12,58,0,1,93,0,0,13,55,61,0,51,45,59,13,64,70,81,66,77,24,70,51,60
Spatial Distance,94,98,100,100,93,4,54,67,95,100,97,49,61,87,60,54,28,29,58,51,68,95,49,85,0,81,57,37,53,0,91,83,0,93,67,59,30,56,66,96,98,90,61,67,17,93,62,3,10,26,58,57,78,0,5,77,44,53,49,82,60,54,57,58,72,7,56,0,70,99,100,64,39,19,71,50,34,100,77,93,45,60,63,0,31,64,46,61,87,54,63,73,85,94,88,100,11,46,60,100,100,93,60,96,100,70,62,38,0,60,100,57,100,78,100,75,100,100,74,25,0,59,58,79,33,50,100,61,41,19,30,0,0,0,0,62,74,0,21,100,0,0,59,39,44,15,62,61,100,0,91,100,81,100,100,42,100,0,64
