"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Afghanistan","AFG","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","643174.51","744281.07","626710.87","433679.25","0","0","463662.430553814","12809.26","0","0","0","5555.67146925886","335.19545813078","",
"Afghanistan","AFG","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","308406.5","94761.12","27577849.86","47084262.04","10738034.5335198","10944020.3116408","107890.10906887","242475.541833949","36802.95","180660.399927953","2402430.87491251","4778790.72133592","6111813.8157338","",
"Africa Western and Central","AFW","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.78229129194658","2.66348435938351","3.03906002428846","4.14117909586779","4.29944182455288","8.58427180338773","3.34352189320687","3.66118229828856","4.06340073286331","3.64594748469356","","",
"Africa Western and Central","AFW","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","289288813","","287038404","","","",
"Africa Western and Central","AFW","Technicians in R&D (per million people)","SP.POP.TECH.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Researchers in R&D (per million people)","SP.POP.SCIE.RD.P6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Patent applications, residents","IP.PAT.RESD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Scientific and technical journal articles","IP.JRN.ARTC.SC","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1786.61694078781","1869.51795326076","2121.82","2306.61","2565.83","2899.84","3465.04","3829.69","3993.21","4727.78","5123.54","5640.58","5471.26","5693.76","6388.11","6603.2","7257.17","7907.5","9442.47","","","",
"Africa Western and Central","AFW","Research and development expenditure (% of GDP)","GB.XPD.RSDV.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.151855607511174","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Charges for the use of intellectual property, receipts (BoP, current US$)","BX.GSR.ROYL.CD","","","","","","","","","","","","","","","41544.686682381","46660.7468989429","41849.6727980134","40703.405884923","44315.2683454892","94019.5816431892","94661.3124054691","22333572.983764","10643797.1740831","7925614.74046772","8628503.09981687","912605.832284441","1963581.88821057","865119.364919978","1142769.84065489","1504663.04723273","1762989.63816211","1308601.1641066","14324879.6176816","1247594.96986943","1228744.24588109","1272432.99464197","366071.378418687","595792.364569889","71788.6974658794","3352321.67087245","2479276.25885428","350001.64605324","887876.728217688","634631.38107345","1439619.4701463","801048.950258312","491936.053197174","1021741.58907344","2570892.27326474","2707809.79758951","3506795.80089912","3900282.89996167","5551862.70189208","6513644.7458588","10149433.3045863","8572491.63501025","9185172.84300519","6365730.12374978","112807609.933521","79479363.4504552","49699148.5070189","36932.2986147345",
"Africa Western and Central","AFW","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","124634.060047143","139982.240696829","125549.01839404","122110.217654769","221576.341727446","3071440.95410797","58650568.4202093","85049182.9408369","30592773.9154916","14479603.20155","3249268.7707697","2660288.72814196","4111132.78287049","1466785.37753345","2529399.87322228","1252353.30427846","919342.173835729","1225449.50513456","3766087.24335112","4803075.61950148","1723322.2080514","1787869.35177278","4450062.87347925","8642808.0943644","7558945.356209","11836951.4148914","12565896.594549","8571818.72508941","7642540.62719766","56895380.2244889","15260467.6896757","105306761.340253","115950984.454925","219481160.740204","247502232.858802","262738120.496683","266899774.002394","251239858.934063","283984358.688477","278039100.438778","289056236.188106","276882578.310601","273614797.156657","278307224.628641","332642747.646662","468924196.536711","429224805.74991","1357429.11528402",
"Angola","AGO","High-technology exports (% of manufactured exports)","TX.VAL.TECH.MF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6044861413857","12.9847266742646","19.3823445175327","3.97113636089874","26.3851322674027","","",
