,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
154,100,52,12,3,5,3,100,100,6
155,100,49,96,8,3,3,96,100,11
156,100,71,38,22,2,11,77,100,30
157,100,50,50,1,4,10,66,100,30
158,98,74,19,1,1,1,100,100,2
159,99,52,52,1,6,14,68,82,22
160,100,47,33,8,4,24,96,100,42
162,100,52,51,6,6,6,98,100,5
163,100,62,51,8,4,18,72,83,32
164,100,100,42,0,3,3,100,100,44
165,61,42,48,1,2,14,51,95,32
166,72,35,67,44,0,0,84,77,7
167,100,50,50,0,0,1,90,100,3
168,100,85,39,9,2,2,100,100,20
169,100,50,50,1,1,1,69,100,13
170,99,50,53,1,0,7,99,98,7
171,100,2,1,4,2,2,100,100,2
172,100,50,50,0,0,0,100,100,6
173,77,17,43,1,10,26,96,91,7
174,99,49,50,6,6,6,96,96,6
175,100,100,100,4,6,8,100,100,42
177,98,100,49,1,13,22,99,100,27
178,95,90,30,4,5,11,99,97,4
179,79,50,52,20,3,13,68,90,32
180,97,50,50,1,1,1,100,100,1
181,97,47,47,6,9,47,96,96,48
182,100,50,50,1,2,3,83,100,11
184,100,87,10,3,4,3,100,100,7
185,100,100,8,7,5,21,57,97,9
187,98,59,41,14,8,5,99,99,6
189,100,9,9,9,11,8,94,100,9
190,85,87,38,13,2,0,100,100,0
191,100,8,56,10,4,6,88,100,30
192,96,55,37,4,6,6,96,91,8
193,67,24,69,20,1,29,77,93,1
194,100,36,28,34,5,5,99,99,1
195,100,80,55,0,0,2,100,100,6
196,100,50,50,2,2,2,52,62,3
197,100,50,50,2,3,10,96,100,19
198,100,46,41,41,1,36,93,100,1
199,100,50,50,1,1,2,100,100,10
200,100,14,13,12,7,1,100,100,18
201,97,48,49,5,5,5,97,100,33
202,92,30,14,0,0,1,100,98,0
203,100,52,52,0,0,14,100,100,45
204,100,86,92,0,0,15,99,100,5
205,99,38,61,17,5,5,95,97,16
206,98,21,73,33,6,8,77,91,1
207,98,46,52,3,6,9,99,98,7
208,100,50,50,1,1,1,100,100,5
209,100,52,52,1,0,0,100,100,0
210,99,52,50,3,3,4,97,98,2
211,100,52,53,2,2,1,100,100,1
212,100,56,13,10,1,3,66,100,47
213,98,58,48,22,5,8,56,97,20
214,100,53,3,1,1,2,100,100,34
216,100,49,50,2,3,11,100,100,25
217,63,66,71,1,1,5,77,85,1
218,64,72,53,1,1,39,100,100,39
220,52,57,67,1,32,42,100,100,1
221,98,48,98,1,7,5,97,93,1
222,57,51,54,1,15,30,100,91,36
223,100,11,23,5,0,4,95,100,11
224,92,54,27,5,7,7,97,98,11
225,100,50,20,1,11,39,94,100,27
226,100,100,100,6,8,7,98,98,19
227,96,43,51,6,6,7,96,96,19
228,100,50,50,38,1,5,100,100,10
229,100,50,51,0,0,0,100,100,0
230,87,43,21,6,7,11,83,85,22
231,98,52,31,7,16,14,98,100,17
232,92,9,1,40,1,3,100,100,2
233,100,54,60,0,0,0,100,100,0
234,77,20,6,40,1,1,100,100,1
235,100,32,10,2,2,6,84,100,14
236,100,82,41,0,3,11,87,100,28
237,100,50,51,1,1,1,100,100,1
238,67,48,54,45,22,45,90,85,31
239,100,94,0,0,0,16,63,95,40
240,85,27,35,13,21,36,96,80,35
241,100,26,16,4,9,6,80,100,8
242,99,47,21,11,13,22,76,100,36
243,86,69,51,16,35,42,71,80,44
244,80,77,81,26,4,6,97,90,19
245,100,34,3,3,8,6,99,100,4
246,100,100,5,4,2,46,100,100,21
247,100,51,25,2,2,5,100,100,27
249,87,30,30,6,5,10,74,95,22
250,80,50,50,10,1,33,100,100,10
251,100,50,33,13,1,2,100,100,4
252,57,59,55,25,0,4,87,100,24
253,100,50,50,0,1,8,69,100,25
254,99,57,98,23,0,0,99,99,0
255,100,1,1,1,1,1,100,100,1
256,100,37,14,7,2,3,87,100,22
257,100,20,18,44,3,9,82,100,23
258,98,52,25,5,2,7,53,99,44
259,99,48,16,5,5,5,98,99,32
261,90,46,22,17,21,24,69,71,29
262,100,50,50,1,1,1,100,100,1
263,88,71,69,5,5,11,74,100,9
264,99,62,54,27,24,43,84,100,33
265,95,58,14,3,5,8,96,94,33
266,97,82,50,5,9,20,84,100,30
267,100,50,50,3,1,9,100,100,30
268,53,35,66,17,1,3,90,100,10
269,100,87,53,7,10,41,86,100,45
270,100,54,54,2,0,0,99,100,1
271,99,55,53,24,6,13,98,100,28
272,77,50,51,6,5,10,74,93,22
273,88,45,45,31,2,6,67,86,12
274,88,83,59,5,6,17,97,98,38
