,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
429,93,41,20,6,8,20,57,90,48
430,100,56,76,0,0,0,69,100,7
431,90,37,12,5,6,16,61,91,38
432,100,57,54,4,3,5,86,100,12
433,94,44,28,10,6,18,67,94,33
434,100,54,73,0,0,0,76,100,11
435,100,53,75,0,0,0,81,100,9
437,100,48,75,0,0,0,80,100,16
438,75,65,50,34,4,11,82,100,1
439,100,50,38,0,1,2,98,100,10
440,100,50,43,1,3,8,80,93,20
441,100,57,31,0,0,5,78,92,16
442,100,56,29,0,0,5,82,92,17
443,96,91,78,6,3,7,100,100,16
444,100,61,59,3,2,5,88,100,14
445,65,19,14,7,5,6,97,96,11
446,100,55,27,0,0,6,79,93,18
447,98,94,77,6,5,8,100,100,15
448,100,57,28,0,0,6,77,92,17
449,100,59,31,6,6,6,100,100,8
450,98,52,52,2,1,4,61,88,11
451,62,38,24,8,4,4,98,98,8
452,98,54,52,2,2,3,67,89,6
453,95,52,44,7,3,9,71,86,17
454,100,46,20,6,5,12,65,93,19
455,100,46,24,2,6,12,59,100,17
456,90,50,45,2,11,24,69,84,37
457,98,65,50,33,3,12,80,100,24
458,93,55,41,2,16,29,69,84,42
459,92,46,36,4,10,21,68,84,37
460,96,55,40,6,16,28,70,92,40
461,94,67,59,12,4,7,80,92,16
462,100,57,29,0,0,9,72,89,26
463,96,53,52,5,8,10,68,88,18
464,91,59,71,15,3,7,81,94,20
465,93,65,72,18,5,10,92,75,20
466,93,72,66,5,4,9,76,95,16
467,100,57,55,3,1,2,93,100,10
468,92,68,74,9,4,6,79,96,17
469,95,69,72,8,3,7,80,97,15
470,100,50,42,3,3,7,84,100,24
471,95,91,77,4,4,8,100,100,16
472,100,61,47,1,7,12,69,100,29
473,86,70,50,25,6,30,87,100,11
474,62,65,50,27,5,20,77,100,2
475,100,51,71,0,0,0,69,100,16
476,100,56,54,2,3,6,92,100,13
477,95,49,28,9,6,19,59,95,38
480,97,47,48,3,1,5,77,91,11
481,100,55,24,2,7,18,62,88,21
482,96,92,83,4,3,8,100,100,14
483,99,74,46,6,12,24,70,100,47
484,100,64,40,9,5,29,79,100,11
485,100,61,49,3,8,18,73,100,45
487,100,55,21,10,8,17,78,100,45
488,98,71,36,7,5,14,74,100,44
489,100,68,46,13,9,21,68,100,44
490,100,65,31,2,9,29,76,100,47
491,95,50,23,6,8,21,85,94,34
492,100,68,48,9,10,24,73,100,30
493,100,57,74,0,0,0,80,100,10
494,65,28,38,8,6,7,95,95,16
