,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
251,11,49,44,100,1,5,80,100,20
252,5,58,61,100,4,7,69,100,9
253,1,53,51,100,1,13,100,100,15
254,5,47,51,100,1,35,84,100,3
255,22,76,40,94,4,32,95,95,5
256,4,48,47,100,3,4,100,100,10
257,11,12,14,100,2,5,66,72,19
258,6,26,26,92,4,4,90,90,9
259,3,53,51,100,5,11,89,100,24
260,22,76,40,94,4,2,95,95,5
261,4,48,47,100,3,4,100,100,10
262,8,48,24,100,1,28,100,100,26
263,5,3,3,100,6,2,67,86,13
264,4,66,54,99,1,14,100,100,4
265,41,67,66,100,9,21,100,100,5
266,5,3,3,100,6,2,67,86,13
267,7,50,50,95,8,13,93,99,10
268,17,50,50,96,9,19,90,96,12
269,2,50,50,100,1,29,100,100,8
270,14,50,50,95,17,16,99,92,3
271,9,10,92,90,6,8,93,95,6
272,1,52,51,100,1,2,100,100,24
273,42,42,51,65,7,46,78,100,13
274,23,28,51,100,7,14,100,100,16
275,3,52,47,97,5,3,91,100,4
276,1,30,40,100,2,9,97,100,22
277,41,67,66,100,9,21,100,100,5
278,0,16,50,66,5,7,100,100,19
279,1,50,50,88,1,13,79,100,27
280,12,48,75,67,7,14,51,97,39
281,1,13,25,66,3,24,62,79,46
282,16,49,48,93,5,8,100,100,13
283,8,12,94,96,7,8,92,94,7
284,6,50,50,71,9,18,94,94,16
285,8,27,59,86,7,18,88,97,37
286,9,10,92,86,6,8,93,95,6
287,1,4,10,68,4,8,64,83,22
288,8,11,95,95,5,7,93,100,8
289,42,42,51,96,13,46,78,100,5
290,11,4,7,99,6,16,77,95,36
291,3,50,50,86,1,25,73,100,22
292,23,28,51,100,7,14,100,100,16
293,3,52,47,97,5,3,91,100,4
294,1,50,51,89,1,28,74,100,21
295,7,47,44,91,7,8,86,100,9
296,44,26,30,77,27,26,75,100,35
297,5,8,11,100,5,6,100,100,7
298,4,48,47,100,7,21,74,97,32
299,0,45,47,100,7,1,65,81,22
300,7,8,92,93,7,8,92,93,9
301,1,30,40,100,2,9,100,100,22
302,0,16,50,100,5,7,100,100,19
303,12,50,55,93,20,3,96,96,21
304,19,50,50,90,1,2,84,93,14
305,12,48,75,100,7,14,51,97,39
306,27,51,48,100,1,6,100,100,20
307,29,71,36,88,4,17,99,100,6
308,1,13,25,100,3,24,62,79,46
309,2,6,43,98,3,5,100,99,24
310,16,49,48,100,5,8,100,100,13
311,20,50,50,93,11,15,69,100,8
312,1,50,50,100,1,25,80,100,22
313,1,50,50,75,1,15,75,100,32
314,20,50,50,95,9,5,91,99,13
315,1,50,50,62,30,1,89,100,22
316,5,54,50,100,6,21,72,97,41
317,29,31,24,85,23,30,60,100,34
318,11,12,83,83,5,6,86,85,6
319,32,100,100,100,6,19,74,100,44
320,20,39,83,100,5,4,100,100,7
321,1,50,52,86,1,23,89,100,36
322,8,12,94,93,7,8,92,94,7
323,16,54,49,97,12,49,99,84,28
324,8,27,59,86,7,18,88,97,37
325,1,4,10,100,4,8,99,83,22
326,31,50,50,100,1,2,100,100,1
327,16,10,22,81,42,30,58,65,35
328,5,49,53,82,4,5,100,100,5
329,13,56,55,71,0,18,65,82,23
330,17,48,50,87,0,13,70,97,30
331,4,27,56,75,5,12,100,100,1
332,1,50,38,78,1,22,66,100,28
333,7,47,44,91,7,8,86,100,9
334,1,50,8,77,1,24,94,100,36
335,2,33,27,93,3,3,96,98,7
336,11,50,50,64,27,10,100,98,19
337,1,50,50,87,16,1,90,95,7
338,17,32,22,100,9,11,99,100,9
339,2,50,58,87,2,4,100,100,18
340,11,50,50,56,16,1,55,100,15
341,1,50,82,96,1,1,71,100,1
342,9,7,6,83,10,9,66,100,11
343,3,50,50,97,9,22,64,100,9
344,11,50,91,88,5,4,93,100,6
345,12,49,1,100,14,19,100,97,11
346,44,26,30,84,27,26,77,100,35
347,15,50,50,99,25,1,79,100,3
348,5,8,11,89,5,6,81,100,7
349,1,50,50,80,1,1,75,100,4
350,2,50,20,100,29,3,59,100,27
351,9,50,50,58,15,15,99,100,24
352,23,46,54,88,13,33,96,97,49
353,16,50,50,84,12,6,53,100,28
354,1,50,50,89,1,1,68,100,4
355,1,50,50,67,2,17,91,100,6
356,27,24,27,78,0,0,100,100,0
357,3,50,50,75,2,3,90,100,23
358,8,11,95,95,5,7,93,100,8
359,16,50,50,84,27,9,73,100,25
360,12,75,64,88,8,14,100,100,37
361,1,45,46,79,2,2,94,94,4
362,11,50,32,100,1,13,100,100,12
363,4,48,47,100,7,21,74,97,32
364,10,50,50,66,11,2,74,100,7
365,8,57,45,100,9,11,68,92,7
366,4,50,88,100,35,17,63,71,35
367,23,28,22,100,20,36,100,100,30
368,0,45,47,100,7,4,65,81,22
369,9,51,85,100,3,3,100,100,3
370,14,25,38,100,2,2,100,100,1
371,11,4,7,87,6,16,77,95,36
372,3,55,53,91,43,35,70,55,5
373,32,51,48,100,1,6,100,100,20
374,7,8,92,93,7,8,92,93,9
375,5,51,43,89,9,13,77,92,19
376,6,50,50,99,23,10,90,100,7
377,3,3,54,100,2,33,65,100,1
378,2,50,50,60,26,24,55,100,19
379,2,51,75,97,28,14,100,100,19
380,4,45,48,95,3,11,84,100,41
381,1,50,50,93,1,17,88,100,1
382,16,50,50,97,23,2,59,100,21
383,12,50,50,100,1,1,80,100,3
384,12,71,36,100,4,29,99,100,6
385,5,6,6,94,4,30,75,100,2
386,5,50,50,64,10,18,57,100,11
387,2,6,43,98,3,5,100,99,24
388,1,50,50,90,1,23,86,100,3
389,1,50,50,100,1,1,80,100,22
390,3,50,50,96,34,11,88,100,22
391,4,55,52,88,12,25,100,100,35
392,13,22,58,77,7,6,66,67,7
393,1,55,67,58,22,11,89,100,24
394,1,50,79,100,1,12,100,100,1
395,5,47,53,97,6,9,90,100,11
396,1,50,50,69,1,3,94,100,1
397,1,50,87,100,1,1,96,100,3
398,10,18,34,100,7,20,100,100,44
399,5,54,50,100,6,21,72,97,41
400,2,50,75,100,5,5,100,100,6
401,20,83,46,100,14,32,56,83,45
402,3,50,68,100,4,2,100,100,11
403,28,59,51,98,7,47,65,86,30
404,2,50,50,100,2,2,100,100,29
405,18,46,36,100,6,16,82,100,5
406,19,50,46,100,0,7,87,96,16
407,15,50,50,57,39,18,81,100,19
408,5,51,50,100,4,9,93,90,11
409,2,50,50,61,4,21,65,100,14
410,29,31,24,95,23,30,78,100,34
411,11,50,50,81,26,25,95,100,25
412,4,7,30,87,7,9,73,100,7
413,1,50,38,85,1,1,100,100,4
414,3,49,49,100,2,3,86,100,2
415,11,12,83,83,5,6,86,85,6
416,34,100,100,100,6,19,74,100,44
417,20,39,83,100,5,4,100,100,7
418,32,19,57,100,7,12,100,100,27
419,14,50,50,58,4,1,83,100,10
420,1,50,50,67,16,18,62,100,18
421,27,100,100,100,1,6,100,100,13
