,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
244,5,59,44,81,21,42,56,65,38
245,0,49,61,42,6,46,82,80,20
246,20,50,50,100,6,7,100,100,5
247,0,48,53,98,5,11,88,100,22
248,15,54,41,88,8,25,75,92,32
249,1,50,50,100,1,2,100,100,9
250,6,53,59,100,8,9,100,100,12
251,0,1,1,100,0,0,100,100,0
253,41,42,88,100,0,11,96,98,29
254,6,3,55,100,5,6,81,100,15
255,10,50,50,100,5,10,74,90,33
256,0,44,42,100,1,0,100,100,1
257,0,50,39,96,6,15,80,89,33
258,0,50,50,95,0,0,94,56,36
259,3,55,55,99,2,4,92,95,29
260,19,56,58,85,5,12,77,74,39
261,1,50,55,100,1,1,100,100,1
262,1,47,63,99,5,19,81,92,28
263,0,50,61,100,0,4,67,99,15
264,3,50,50,100,2,5,100,100,26
265,0,49,50,87,7,8,76,89,37
266,4,48,19,100,5,16,63,100,34
267,0,50,65,100,9,31,100,100,46
268,7,55,86,100,5,14,69,92,29
269,3,36,50,63,8,15,86,55,30
270,8,16,59,100,7,12,51,100,22
271,49,59,39,66,26,12,80,71,15
272,6,47,38,99,3,9,100,100,31
273,0,46,39,100,1,6,100,100,21
275,1,56,55,100,1,1,100,100,3
276,1,50,57,87,2,2,100,100,2
277,5,50,50,100,5,5,100,100,5
278,1,50,50,100,1,1,100,100,1
280,0,46,44,100,0,0,100,100,0
281,1,50,38,100,3,5,100,100,18
282,1,50,50,100,2,10,100,100,15
283,13,53,66,95,4,8,79,100,15
284,15,13,89,85,9,15,83,87,29
285,4,49,52,99,2,5,100,100,9
286,0,50,50,100,0,0,100,100,0
287,33,12,32,92,35,18,67,85,46
288,1,50,55,100,0,0,100,100,0
289,3,48,48,81,1,2,75,90,14
290,6,52,55,95,10,10,92,85,6
291,4,40,53,84,8,22,69,81,29
292,42,55,56,87,23,16,96,92,11
293,0,51,51,100,0,22,74,100,35
294,17,16,10,56,1,3,88,60,10
295,0,50,50,98,31,7,80,100,23
296,11,34,25,82,12,10,90,80,23
297,5,50,50,100,0,24,64,100,36
298,1,50,50,97,1,8,81,100,26
299,13,99,100,100,7,10,94,93,16
300,0,50,43,85,1,6,72,84,20
301,0,46,52,98,5,10,59,97,31
302,19,40,52,88,3,4,75,85,10
303,15,20,32,83,8,15,74,98,31
304,4,50,50,90,10,5,100,100,9
305,2,50,60,100,2,4,100,100,3
306,4,8,5,79,1,3,78,95,17
307,1,50,68,100,6,16,100,100,28
308,2,50,50,80,3,5,96,97,18
309,27,87,74,65,13,44,79,61,40
310,2,11,10,62,8,16,81,100,27
311,23,59,60,62,3,3,99,100,3
312,5,52,49,100,3,2,100,100,1
313,13,65,60,57,0,0,100,100,0
314,1,37,35,94,5,10,100,100,29
315,24,51,60,89,19,39,80,89,37
316,2,45,3,67,4,14,100,100,23
317,1,50,57,95,4,9,67,73,15
318,3,48,48,100,1,9,73,100,15
319,3,49,58,99,5,10,66,76,25
320,0,50,60,100,1,5,90,95,10
321,5,16,27,85,3,10,95,90,14
322,5,50,75,96,2,4,83,100,7
323,0,50,55,100,0,0,100,100,0
325,1,50,50,100,1,1,100,100,25
326,40,49,65,100,7,4,87,87,8
327,12,50,63,100,8,17,77,100,32
328,0,51,53,100,0,17,100,100,21
329,0,50,50,50,0,0,100,100,0
330,3,51,50,100,2,3,80,100,35
332,7,50,50,90,2,18,97,98,43
333,1,50,50,97,1,1,100,100,1
334,2,53,65,99,1,3,67,79,17
335,1,13,28,100,1,4,78,90,12
336,10,45,55,91,7,20,71,95,46
337,42,42,52,68,12,37,69,55,43
338,15,55,52,52,4,20,92,79,33
340,4,50,50,100,1,10,100,99,31
341,10,29,17,79,3,5,100,99,6
342,1,50,50,100,1,1,100,70,30
343,15,46,77,100,4,6,65,92,24
344,5,40,52,89,3,4,92,94,10
345,1,24,46,90,2,34,72,100,13
346,25,41,38,94,1,3,94,97,3
347,2,47,46,100,4,4,100,100,38
348,0,57,49,100,0,0,98,96,0
349,1,47,5,100,3,13,66,100,23
350,2,50,69,95,3,7,75,91,22
351,4,50,60,96,2,2,71,93,23
352,2,50,60,90,2,10,89,100,21
353,3,51,48,100,2,1,100,100,11
354,10,7,7,99,3,5,89,100,12
355,2,50,97,100,5,8,100,100,13
356,3,50,50,98,1,4,80,100,10
357,0,8,5,97,1,2,100,100,4
358,15,50,49,100,3,11,91,62,24
359,10,50,60,90,11,19,51,75,35
360,17,27,45,93,5,27,91,100,3
361,6,25,67,81,5,8,70,72,9
362,1,50,50,100,1,1,98,100,1
363,31,50,51,91,2,2,100,100,31
364,1,50,48,100,1,2,96,99,4
365,3,7,6,97,3,3,100,100,7
366,24,55,65,98,8,8,100,100,5
367,18,34,47,80,18,5,67,82,43
368,28,12,19,92,1,14,99,78,40
369,0,46,40,100,5,16,53,67,27
370,6,50,55,90,4,4,88,92,24
371,0,50,50,100,0,0,100,100,0
372,11,46,46,89,10,18,76,92,23
373,2,50,66,98,3,8,56,86,19
375,4,22,63,100,5,4,97,99,6
376,0,22,22,100,0,5,100,100,10
377,0,50,50,75,0,20,100,100,7
378,0,62,50,100,4,4,100,100,5
379,3,48,69,100,5,7,100,100,8
380,6,49,47,100,2,3,100,100,31
381,3,60,64,100,2,9,72,99,13
382,6,48,48,99,4,6,100,100,49
383,3,3,0,49,10,21,61,76,10
384,13,52,59,93,12,24,54,64,38
385,20,21,15,85,2,7,100,85,26
386,6,51,56,97,11,24,60,69,38
387,3,52,73,100,0,6,100,100,18
388,1,41,50,95,0,7,97,96,14
389,0,11,30,100,0,8,100,100,16
390,2,28,28,98,2,3,100,100,6
391,4,55,57,100,3,0,99,100,6
392,1,50,50,100,2,3,100,100,7
393,4,48,51,87,4,6,80,100,19
394,1,50,55,90,1,4,65,98,9
396,14,56,71,97,7,6,55,85,21
397,8,49,60,92,5,4,100,100,4
398,3,53,56,76,7,21,83,81,35
399,5,52,49,98,2,5,91,100,4
400,5,40,45,100,3,6,93,100,9
401,7,44,56,95,6,29,100,100,8
402,1,49,50,80,1,1,98,100,10
403,6,50,50,91,1,15,71,87,42
404,2,49,50,90,4,8,91,95,41
405,2,51,49,99,2,17,85,91,26
406,32,37,43,70,1,4,55,87,13
407,1,50,50,95,1,1,100,100,1
408,21,34,42,93,7,16,99,96,22
409,30,64,40,83,5,11,90,68,20
410,12,46,50,90,11,12,94,97,11
411,1,50,50,100,1,1,100,100,1
412,34,26,45,75,35,16,73,93,18
413,12,58,56,80,7,14,88,68,30
414,2,48,49,100,3,7,99,100,13
415,5,50,55,100,2,5,80,100,10
416,0,26,50,98,0,2,96,100,5
417,1,34,55,87,0,0,100,99,1
418,1,51,52,90,2,16,65,92,32
419,1,50,50,100,2,10,87,84,31
420,0,20,23,100,15,14,78,100,38
421,10,23,38,98,4,15,93,88,34
422,5,52,52,100,2,4,98,95,3
423,22,36,44,84,2,41,75,88,32
424,45,51,52,63,26,15,69,89,8
425,29,38,73,99,32,15,77,80,24
426,39,49,55,93,6,4,99,88,19
427,9,46,55,92,6,19,59,88,32
429,12,42,45,100,5,7,94,90,9
430,30,45,44,42,3,29,53,92,47
431,1,50,50,100,4,2,84,91,4
432,2,54,54,81,2,4,100,100,6
433,1,51,50,100,2,2,100,100,4
434,43,11,9,95,3,2,100,100,2
435,7,40,51,100,6,24,94,100,45
436,3,50,68,94,1,9,51,93,26
437,4,54,51,91,6,16,78,83,9
438,4,49,49,91,5,9,84,94,32
439,10,50,50,80,5,11,85,99,21
