,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Volunteer and Organizer,84.6156117031117,51.1214220964221,60.5003817170484,42.5625425500425,75.5707801457801,32.8235357235357,77.6205377955378,54.6059893809894,58.2357545232545,67.3580922164255,70.8502462044129,44.8161867453534,43.4959011667345,78.9654058133225,35.554885700719,42.5040937457604,78.0491029032696,40.0196352258852,19.647907339574,22.8174425111925,57.1762532220866,19.4932251390585,80.3247695206029,67.0439454064454,82.7982764149431,75.6492704826038,78.0059824434824,43.8249418791086,79.6718594676928,72.8057920474587,88.1414902998236,77.8464907006574,47.4500200416867,1
Celebrity and Fans,74.7607973816307,33.6382168757169,46.340350698684,60.1779712571379,45.4991141574475,37.3002415794083,76.7694225527559,44.7200369075369,36.6418129709796,56.2581723831724,40.1377252377252,36.2413563288563,59.3684557726224,48.0261285782119,49.4158187491521,51.2430436847103,52.6279575362909,58.6694800569801,23.08285002035,23.1420507733008,32.7321174196174,19.6665657644824,41.9402196568863,61.1668009459676,65.679487333654,51.2106862273529,58.2388247554914,52.5215568382235,51.2510241301908,35.528184624018,65.9830106621773,57.6196067821068,40.9592031425365,1
Celebrity and Haters,23.0933944142277,33.5314805564806,33.3382680591014,51.8448352573353,38.8489259197593,27.558189033189,64.351379330546,34.7660481493815,24.8415746290746,50.1869240327574,36.6009472009472,38.0142195767196,20.8542251729752,30.3887125220459,28.2204407475241,28.0067875797042,28.7631274589608,28.1404007258174,16.7026098901099,83.0498024352191,21.525932709266,50.2015025098358,25.2610349527016,32.7910954785955,21.7779581529582,34.6820847362514,34.8853234728235,35.2921777296777,36.3471981721982,23.3183942600609,26.8236952861953,15.6922538880872,42.7772446689113,2
Native and Tourist,65.6691062024395,56.0296613879947,39.7124256915924,41.7457987999655,58.6805330471997,28.5255574672241,67.2558645058645,48.1798152464819,55.8199263699264,59.8020320728654,62.0734430692764,36.4160324243658,31.3430716659883,59.8059032017365,52.8119115452449,55.1377908357075,62.9848935015602,26.1486034798535,19.9583189187356,27.5131469610636,46.1619454619455,21.2176273572107,64.8278699695366,50.8914542247876,48.0236552028219,38.6704445246112,45.5331269039602,28.4825517075517,50.24806998557,60.3745791245791,67.4945827320827,47.70867003367,46.6858766233766,1
Bully and Victim,22.1598794723795,28.1792708834375,49.5547332297332,56.85357004107,30.0126648043315,33.2550555925556,37.8239704739705,31.9870071286738,25.4832497749164,49.7984409109409,41.6194453694454,59.7242046533713,17.1094542802876,27.0002263939764,27.3574845679012,29.5682929724596,17.6782466761633,20.2247897164564,16.0960520960521,91.3815722086555,25.1139406118573,87.2764796160629,38.4779701779702,43.0698292448292,21.0189794773128,18.9284591951259,42.7221039762706,36.598697290364,52.7182259098926,62.1627064293731,15.0773208273208,12.5732663940997,33.3532387365721,2
Between friends,87.413914634748,88.0899976566643,84.792819371986,85.6818818527152,30.5217492384159,70.745991045991,56.7843278634945,82.2696482529816,77.8319917736584,35.0765117598451,47.7708794292128,72.4294507190341,85.8323997761498,81.6102021435355,32.87615995116,42.1458859042192,37.0005977818478,87.4818774589608,33.4010615927283,25.5974494641161,51.064769027269,17.1165233686067,68.1299122174122,84.2561487894821,84.5358525733526,29.7545514670515,85.2869729036396,86.9384940676607,78.8505912297579,81.146961680295,86.4250420875421,90.3273288439955,33.5466189674523,0
Between Facebook Friends,64.1299407382741,71.7827205202205,50.2288731330398,66.7288080746414,38.3599442224442,45.8904034237368,62.4800737842405,60.2201477534811,58.585938290105,40.9138074888075,44.3705054205054,49.1326778930946,53.0236967507801,61.643956043956,27.3881622235789,36.6476648351648,29.3447005155339,55.8253484940985,24.8525912359246,29.5414173789174,37.7079432912766,19.8975206891874,40.580455347122,50.9885602052269,60.8489698573032,27.0076278659612,56.9285794452461,56.2212582170916,53.2252124418791,35.9729557479557,69.0486231361231,58.3024250440917,37.2595358345358,0
Between a person and their social media follower,66.4879339796006,49.60818995819,43.3924260924261,53.7335622710623,46.4412251328918,36.9265097556764,68.1475384183718,45.7605255855256,43.1795954045954,55.7330917539251,46.7906468531469,36.4125941188441,43.2591931216931,56.1306725681726,46.0312805250305,45.5304766992267,47.2529075091575,45.1284255867589,21.6948115927283,27.2599274182607,34.2806233889567,21.9584800230634,38.7401515151515,44.9447470739137,54.6467632675966,45.3846881513548,47.8851471059804,44.788967051467,46.319380311047,27.5950957992625,60.6752405002405,49.2111131152798,42.629347041847,2
Between childhood friends,83.7279160654161,86.2390672599006,75.2970578803912,81.9246793330126,24.3290985249319,60.7817881192881,69.1109367484367,74.325176366843,65.3050665383999,25.7881172839506,45.6587962962963,66.5283199054032,69.1119558682059,72.8093634760301,27.1914151434985,35.1395232082732,33.8316598524932,74.7119518598685,19.5340187590188,27.0401344797178,44.2650412858746,18.0821218133718,57.120578958079,85.9526505901506,79.3725156016823,25.3971391263058,79.2506800298467,81.2013753222087,71.777730294397,61.6130664088998,89.2008428300095,87.3354989146656,22.999531949532,0
Between pen-friends,72.2748777457111,75.3959395542729,49.821127946128,56.7112233445567,40.1018678852012,37.6352052268719,46.3601250601251,58.3641654641655,60.8826559243226,37.542133637967,45.7212822671156,52.5604467291967,43.090723705307,63.8065365961199,24.4099496953664,35.7811618165785,31.6942730880231,44.7563311688312,18.6364919031586,20.3876232563733,39.317145662979,17.9459235209235,36.7852106227106,60.2442104192104,56.4674501424501,28.4519943019943,66.7142043142043,49.9571818613485,52.6809472934473,28.5106532356532,78.5611568986569,60.1170668837335,38.3549077465744,0
