,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5,subject
221,0.0,51.0,50.0,100.0,0.0,0.0,100.0,100.0,9.0,221
223,5.0,9.0,28.0,94.0,3.0,5.0,70.0,93.0,6.0,223
224,9.0,25.0,58.0,72.0,3.0,6.0,100.0,100.0,5.0,224
226,7.0,49.0,81.0,98.0,7.0,13.0,84.0,87.0,14.0,226
228,3.0,4.0,85.0,96.0,5.0,10.0,73.0,89.0,19.0,228
229,8.0,80.0,90.0,75.0,12.0,22.0,81.0,91.0,36.0,229
230,11.0,47.0,78.0,100.0,4.0,15.0,65.0,85.0,29.0,230
231,0.0,16.0,56.0,100.0,0.0,0.0,100.0,100.0,0.0,231
232,5.0,9.0,95.0,98.0,5.0,9.0,83.0,96.0,18.0,232
233,8.0,15.0,65.0,87.0,6.0,14.0,71.0,89.0,30.0,233
235,3.0,4.0,71.0,96.0,6.0,11.0,75.0,94.0,19.0,235
236,5.0,79.0,86.0,72.0,13.0,21.0,78.0,87.0,38.0,236
237,11.0,19.0,53.0,93.0,3.0,5.0,100.0,100.0,42.0,237
238,5.0,10.0,91.0,96.0,6.0,12.0,88.0,96.0,20.0,238
239,11.0,45.0,77.0,95.0,7.0,18.0,66.0,89.0,37.0,239
241,8.0,25.0,55.0,100.0,3.0,18.0,71.0,100.0,29.0,241
243,5.0,9.0,97.0,100.0,5.0,9.0,92.0,99.0,19.0,243
245,44.0,34.0,59.0,99.0,4.0,7.0,63.0,79.0,13.0,245
246,27.0,46.0,62.0,96.0,4.0,6.0,100.0,100.0,31.0,246
248,39.0,22.0,23.0,78.0,9.0,14.0,71.0,89.0,43.0,248
249,18.0,21.0,26.0,88.0,4.0,11.0,92.0,92.0,20.0,249
250,37.0,75.0,87.0,74.0,6.0,18.0,73.0,97.0,26.0,250
252,5.0,5.0,96.0,98.0,5.0,10.0,90.0,98.0,8.0,252
256,32.0,52.0,61.0,90.0,5.0,7.0,66.0,87.0,12.0,256
257,21.0,20.0,45.0,96.0,9.0,15.0,100.0,94.0,42.0,257
259,23.0,44.0,65.0,66.0,8.0,10.0,100.0,100.0,6.0,259
260,9.0,44.0,62.0,100.0,7.0,20.0,75.0,100.0,29.0,260
261,6.0,8.0,96.0,95.0,6.0,9.0,93.0,99.0,13.0,261
264,10.0,3.0,18.0,90.0,8.0,15.0,100.0,91.0,23.0,264
267,4.0,12.0,22.0,98.0,3.0,13.0,97.0,99.0,12.0,267
268,8.0,56.0,81.0,97.0,1.0,4.0,88.0,88.0,14.0,268
269,26.0,33.0,46.0,75.0,4.0,10.0,100.0,100.0,15.0,269
270,7.0,10.0,43.0,100.0,4.0,12.0,100.0,100.0,17.0,270
271,2.0,11.0,41.0,92.0,2.0,7.0,100.0,100.0,24.0,271
272,0.0,17.0,30.0,100.0,0.0,6.0,76.0,100.0,20.0,272
275,7.0,68.0,80.0,85.0,10.0,22.0,75.0,87.0,30.0,275
276,13.0,50.0,72.0,68.0,5.0,14.0,100.0,98.0,31.0,276
277,12.0,38.0,71.0,77.0,4.0,14.0,100.0,100.0,29.0,277
278,4.0,7.0,37.0,88.0,3.0,13.0,70.0,97.0,8.0,278
279,5.0,7.0,82.0,88.0,7.0,8.0,74.0,97.0,12.0,279
280,7.0,37.0,66.0,64.0,4.0,8.0,100.0,100.0,23.0,280
281,19.0,29.0,100.0,100.0,22.0,23.0,99.0,99.0,15.0,281
282,5.0,14.0,31.0,100.0,5.0,5.0,77.0,95.0,5.0,282
283,16.0,26.0,99.0,99.0,20.0,15.0,99.0,98.0,4.0,283
